;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Organismo: 102 MUTUALIDAD GENERAL JUDICIAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
;;205;Arrendamientos de mobiliario y enseres;;0,30;
;;21;Reparaciones, mantenimiento y conservación;;221,64;
;;212;Edificios y otras construcciones;;78,64;
;;213;Maquinaria, instalaciones y utillaje;;22,36;
;;215;Mobiliario y enseres;;3,28;
;;216;Equipos para procesos de la información;;117,36;
;;22;Material, suministros y otros;;557,25;
;;220;Material de oficina;;48,07;
;;22000;  Ordinario no inventariable;36,00;;
;;22001;  Prensa, revistas, libros y otras publicaciones;2,00;;
;;22002;  Material informático no inventariable;10,07;;
;;221;Suministros;;90,50;
;;22100;  Energía eléctrica;72,00;;
;;22101;  Agua;8,50;;
;;22106;  Productos farmacéuticos y material sanitario;5,00;;
;;22199;  Otros suministros;5,00;;
;;222;Comunicaciones;;100,61;
;;22200;  Servicios de telecomunicaciones;5,39;;
;;22201;  Postales y mensajería;95,22;;
;;223;Transportes;;26,70;
;;224;Primas de seguros;;9,70;
;;225;Tributos;;43,26;
v;;22502;  Locales;43,26;;
;;226;Gastos diversos;;12,34;
v;;22601;  Atenciones protocolarias y representativas;2,34;;
;;22602;  Publicidad y propaganda;3,00;;
;;22606;  Reuniones, conferencias y cursos;5,00;;
;;22699;  Otros;2,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;226,07;
;;22700;  Limpieza y aseo;0,50;;
;;22701;  Seguridad;0,89;;
;;22706;  Estudios y trabajos técnicos;18,10;;
;;22799;  Otros;206,58;;
;;23;Indemnizaciones por razón del servicio;;20,00;
;;230;Dietas;;10,00;
;;231;Locomoción;;10,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;812,79;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;0,57;
v;;359;Otros gastos financieros;;0,57;
;;;TOTAL GASTOS FINANCIEROS;;0,57;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;18.971,40;
v;;480;Subsidios e Indemnizaciones;;11.678,32;
;;48000;  Incapacidad para el servicio;5.901,32;;
;;48001;  Invalidez Permanente;4.277,00;;
;;48002;  Gran Invalidez;1.500,00;;
v;;481;Protección a la familia;;2.290,20;
;;48100;  Protección a la familia (Discapacidad);2.100,00;;
;;48101;  Subsidio especial por maternidad, parto múltiple;190,20;;
v;;482;Servicios Sociales;;2.658,69;
;;48200;  Subsidio de jubilación;2.059,36;;
;;48201;  Ayuda de sepelio;58,67;;
;;48202;  Ayudas de protección socio-sanitaria;540,66;;
v;;483;Asistencia Social;;291,39;
;;48300;  Fondo de Asistencia Social;166,39;;
;;48302;  Ayudas psicoterapia e internamiento psiquiátricos;125,00;;
v;;486;Prestaciones económicas Mutualidades Integradas;;2.052,80;
;;48600;  Becas y ayudas de estudio;0,79;;
;;48601;  Auxilio y rescate de defunción;393,96;;
;;48602;  Ayudas a discapacitados físico y psíquicos;66,51;;
;;48603;  Pensiones a funcionarios, de carácter civil;879,72;;
;;48604;  Pensiones a familias de carácter civil;711,82;;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;18.971,40;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;467,95;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;467,95;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;146,72;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;146,72;
;;;TOTAL INVERSIONES REALES;;614,67;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;10,82;
v;;831;Préstamos a largo plazo;;10,82;
;;83108;  Familias e instituciones sin fines de lucro;10,82;;
;;;TOTAL ACTIVOS FINANCIEROS;;10,82;
 ; ;;;;;
;;;TOTAL Prestaciones económicas del Mutualismo Administrativo;;26.682,41;
 ; ;;;;;
 ; ;;;;;
v;312E;;Asistencia sanitaria del Mutualismo Administrativo;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;22;Material, suministros y otros;;117,23;
;;220;Material de oficina;;85,00;
;;22003;  Elaboración de talonarios de asistencia sanitaria;85,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;32,23;
;;22799;  Otros;32,23;;
;;25;Conciertos de asistencia sanitaria;;78.289,60;
;;250;Con la Seguridad Social;;50,00;
;;251;Con entidades de seguro libre;;78.219,60;
;;259;Otros conciertos de asistencia sanitaria;;20,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;78.406,83;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;23.083,59;
v;;484;Farmacia;;19.436,55;
v;;485;Prótesis y otras prestaciones;;3.647,04;
;;48500;  Prótesis;3.642,87;;
;;48501;  Otras prestaciones;4,17;;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;23.083,59;
 ; ;;;;;
;;;TOTAL Asistencia sanitaria del Mutualismo Administrativo;;101.490,42;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL MUTUALIDAD GENERAL JUDICIAL;;128.172,83;
;;



