;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Organismo: 101 JEFATURA CENTRAL DE TRÁFICO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
;;22706;  Estudios y trabajos técnicos;25.044,50;;
;;22708;  Medidas de regulación del tráfico;7.430,07;;
;;22709;  Sistema de tratamiento de denuncias automatizadas;18.634,30;;
;;22799;  Otros;1.584,00;;
;;23;Indemnizaciones por razón del servicio;;3.776,00;
;;230;Dietas;;2.900,00;
;;231;Locomoción;;770,00;
;;233;Otras indemnizaciones;;106,00;
;;24;Gastos de publicaciones;;100,00;
;;240;Gastos de edición y distribución;;100,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;196.404,61;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;52,89;
v;;352;Intereses de demora;;52,89;
;;;TOTAL GASTOS FINANCIEROS;;52,89;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;550,00;
v;;488;Ayudas a asociaciones de víctimas de tráfico;;550,00;
v;;49;Al exterior;;121,90;
v;;491;Cuotas y contribuciones a Organismos Internacionales;;121,90;
;;49101;  A "International Road Traffic and Accident Database" (IRTAD);4,95;;
;;49102;  A "Forum of European Road Safety Research Institutes" (FERSI);3,30;;
;;49103;  A "Prèvention Routière Internationale" (PRI);6,50;;
;;49104;  A "Commission Internationale des Examens de Conduite Automobile" (CIECA);13,00;;
;;49105;  A "Intelligent Transport Systems and Services for Europe" (ERTICO-ITS Europe);18,00;;
;;49106;  A "European Traffic Police Network" (TISPOL);5,00;;
;;49107;  A "Association of European Vehicle and Driver Registration" (EReg);14,00;;
;;49108;  A "Instituto Belga de Seguridad Vial" (ESRA);7,15;;
;;49109;  A "SEGIB" (Programa Iberoamericano de Seguridad Vial);50,00;;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;671,90;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;60;Inversión nueva en infraestructuras y bienes destinados al uso general;;15.987,39;
;;601;Otras;;15.987,39;
;;61;Inversión de reposición en infraestructuras y bienes destinados al uso general;;45.878,28;
;;611;Otras;;45.878,28;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;13.174,29;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;13.174,29;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;25.329,37;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;25.329,37;
;;64;Gastos de inversiones de carácter inmaterial;;14.791,98;
;;640;Gastos en inversiones de carácter inmaterial;;14.791,98;
;;;TOTAL INVERSIONES REALES;;115.161,31;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;598,31;
v;;830;Préstamos a corto plazo;;92,83;
;;83008;  Familias e instituciones sin fines de lucro;92,83;;
v;;831;Préstamos a largo plazo;;505,48;
;;83108;  Familias e instituciones sin fines de lucro;505,48;;
;;;TOTAL ACTIVOS FINANCIEROS;;598,31;
 ; ;;;;;
;;;TOTAL Seguridad vial;;843.692,10;
 ; ;;;;;
 ; ;;;;;
v;000X;;Transferencias y libramientos internos;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;40;A la Administración del Estado;;136.154,92;
v;;400;Al Estado, para generar crédito en el Ministerio del Interior, según la DIsposición adicional segunda de la Ley Orgánica 6/2011;;1.270,00;
v;;401;Al Estado;;116.218,84;
v;;402;Al Estado, para compensar gastos de gestión centralizada;;18.666,08;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;136.154,92;
 ; ;;;;;
;;;TOTAL Transferencias y libramientos internos;;136.154,92;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL JEFATURA CENTRAL DE TRÁFICO;;979.847,02;
;;



