Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
—;—;—;TOTAL GASTOS FINANCIEROS;2,65;2.650,00
3;923Q;63;Reposición funcionamiento operativo;0,3;300
3;923Q;64;Inversiones de carácter inmaterial;1,8;1.800,00
—;—;—;TOTAL INVERSIONES REALES;2,1;2.100,00
—;—;—;TOTAL Programa 923Q;4.687,11;4.687.110,00
3;931M;35;Otros gastos financieros;12.630,00;12.630.000,00
—;—;—;TOTAL GASTOS FINANCIEROS;12.630,00;12.630.000,00
3;931M;48;A familias e instituciones sin fines de lucro;250;250.000,00
3;931M;49;Al exterior (MEDE);2.000,00;2.000.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;2.250,00;2.250.000,00
3;931M;74;Subvenciones ICO;372,07;372.070,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;372,07;372.070,00
3;931M;89;Aportación MEDE;1;1.000,00
—;—;—;TOTAL ACTIVOS FINANCIEROS;1;1.000,00
—;—;—;TOTAL Programa 931M;15.253,07;15.253.070,00
3;000X;41;Al INE;139.253,04;139.253.040,00
3;000X;43;A la CNMC;54.503,15;54.503.150,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;193.756,19;193.756.190,00
3;000X;71;Al INE;24.053,12;24.053.120,00
3;000X;73;A la CNMC;3.913,71;3.913.710,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;27.966,83;27.966.830,00
—;—;—;TOTAL Programa 000X;221.723,02;221.723.020,00
3;;;Secretaría de Estado de Economía y Apoyo a la Empresa;241.663,20;241.663.200,00
4;923O;10;Altos cargos;132,2;132.200,00
4;923O;12;Funcionarios;7.386,28;7.386.280,00
4;923O;13;Laborales;576,56;576.560,00
4;923O;16;Cuotas, prestaciones y gastos sociales;842,9;842.900,00
—;—;—;TOTAL GASTOS DE PERSONAL;8.937,94;8.937.940,00
4;923O;20–23;Gastos corrientes en bienes y servicios;35.623,07;35.623.070,00
4;923O;35;Intereses de demora y otros gastos financieros;15.060,44;15.060.440,00
4;923O;48–49;Transferencias corrientes (síndrome tóxico, OCDE, FMI, GAFI);722,22;722.220,00
4;923O;62–64;Inversiones reales;846,36;846.360,00
4;923O;89;Activos financieros;1;1.000,00
4;923O;95;Pasivos financieros;1;1.000,00
—;—;—;TOTAL Programa 923O;61.192,03;61.192.030,00
4;923P;12;Funcionarios;706,76;706.760,00
4;923P;16;Cuotas, prestaciones y gastos sociales;114,52;114.520,00
—;—;—;TOTAL GASTOS DE PERSONAL;821,28;821.280,00
4;923P;49;Transferencias corrientes al exterior (AIF, FMI, FAfD, etc.);382.464,54;382.464.540,00
4;923P;89;Activos financieros (suscripción de acciones);136.548,84;136.548.840,00
—;—;—;TOTAL Programa 923P;519.834,66;519.834.660,00
4;;;Secretaría General del Tesoro y Financiación Internacional;581.026,69;581.026.690,00
5;931M;10;Altos cargos;61,04;61.040,00
5;931M;12;Funcionarios;2.328,74;2.328.740,00
5;931M;13;Laborales;16,87;16.870,00
5;931M;16;Cuotas, prestaciones y gastos sociales;214,77;214.770,00
—;—;—;TOTAL GASTOS DE PERSONAL;2.621,42;2.621.420,00
5;931M;22;Material, suministros y otros;53,03;53.030,00
5;931M;23;Indemnizaciones por razón del servicio;110,15;110.150,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;163,18;163.180,00
5;931M;63;Reposición funcionamiento operativo;4,49;4.490,00
—;—;—;TOTAL INVERSIONES REALES;4,49;4.490,00
5;931M;;Previsión y política económica;2.789,09;2.789.090,00
6;931M;10;Altos cargos;61,04;61.040,00
6;931M;12;Funcionarios;1.690,65;1.690.650,00
6;931M;16;Cuotas, prestaciones y gastos sociales;236,09;236.090,00
—;—;—;TOTAL GASTOS DE PERSONAL;1.987,78;1.987.780,00
6;931M;22;Material, suministros y otros;140,68;140.680,00
6;931M;23;Indemnizaciones por razón del servicio;116,24;116.240,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;256,92;256.920,00
6;931M;49;Al exterior – OCDE Foro Global de Productividad;21;21.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;21;21.000,00
6;931M;;Previsión y política económica;2.265,70;2.265.700,00
7;493M;10;Altos cargos;61,04;61.040,00
7;493M;12;Funcionarios;9.219,64;9.219.640,00
7;493M;13;Laborales;660,63;660.630,00
7;493M;16;Cuotas, prestaciones y gastos sociales;1.103,64;1.103.640,00
—;—;—;TOTAL GASTOS DE PERSONAL;11.044,95;11.044.950,00
7;493M;21;Reparaciones, mantenimiento y conservación;1.228,18;1.228.180,00
7;493M;22;Material, suministros y otros;1.220,92;1.220.920,00
7;493M;23;Indemnizaciones por razón del servicio;176,97;176.970,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.626,07;2.626.070,00
7;493M;49;Al exterior – Cuotas internacionales de seguros;1.999,93;1.999.930,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;1.999,93;1.999.930,00
7;493M;63;Reposición funcionamiento operativo;929;929.000,00
7;493M;64;Inversiones de carácter inmaterial;2.338,47;2.338.470,00
—;—;—;TOTAL INVERSIONES REALES;3.267,47;3.267.470,00
7;493M;;Dirección, control y gestión de seguros;18.938,42;18.938.420,00
10;431A;44;A entidades del Sector Público Estatal (ICEX funcionamiento);15.886,77;15.886.770,00
10;431A;46;A Entidades Locales (Fira de Mollerussa);100;100.000,00
10;431A;48;Becas Fulbright de comercio;120;120.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;16.106,77;16.106.770,00
10;431A;74;Al ICEX – operaciones de capital;66.816,29;66.816.290,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;66.816,29;66.816.290,00
—;—;—;TOTAL Programa 431A;82.923,06;82.923.060,00
10;431N;48;Acuerdos sectoriales a la exportación;2.273,74;2.273.740,00
—;—;—;TOTAL Programa 431N;2.273,74;2.273.740,00
10;923Q;10;Altos cargos;80,3;80.300,00
10;923Q;11;Personal eventual;210,14;210.140,00
10;923Q;12;Funcionarios;2.389,82;2.389.820,00
10;923Q;13;Laborales;389,03;389.030,00
10;923Q;15;Incentivos al rendimiento;1.872,19;1.872.190,00
10;923Q;16;Cuotas, prestaciones y gastos sociales;275,99;275.990,00
—;—;—;TOTAL GASTOS DE PERSONAL;5.217,47;5.217.470,00
10;923Q;21–23;Gastos corrientes en bienes y servicios;547,96;547.960,00
10;923Q;48;Transferencia a Cámara de Comercio;1.000,00;1.000.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;1.000,00;1.000.000,00
10;923Q;63;Reposición funcionamiento operativo;72,5;72.500,00
—;—;—;TOTAL INVERSIONES REALES;72,5;72.500,00
—;—;—;TOTAL Programa 923Q;6.837,93;6.837.930,00
10;;;Secretaría de Estado de Comercio;92.034,73;92.034.730,00
14;431A;10;Altos cargos;61,04;61.040,00
14;431A;12;Funcionarios;14.052,67;14.052.670,00
14;431A;13;Laborales;2.817,07;2.817.070,00
14;431A;16;Cuotas, prestaciones y gastos sociales;1.867,09;1.867.090,00
—;—;—;TOTAL GASTOS DE PERSONAL;18.797,87;18.797.870,00
14;431A;20–23;Gastos corrientes en bienes y servicios;15.381,06;15.381.060,00
14;431A;35;Otros gastos financieros;116,93;116.930,00
14;431A;44–49;Transferencias corrientes (ICO, Canarias, Cámaras);535;535.000,00
14;431A;62–63;Inversiones reales;1.400,00;1.400.000,00
14;431A;84–87;Activos financieros (FIEM, FIEX, FONPYME, FRRI);230.146,50;230.146.500,00
—;—;—;TOTAL Programa 431A;266.377,36;266.377.360,00
14;431N;12;Funcionarios;3.298,04;3.298.040,00
14;431N;13;Laborales;256,68;256.680,00
14;431N;16;Cuotas, prestaciones y gastos sociales;287,51;287.510,00
—;—;—;TOTAL GASTOS DE PERSONAL;3.842,23;3.842.230,00
—;—;—;TOTAL Programa 431N;3.842,23;3.842.230,00
14;923Q;20–23;Gastos corrientes en bienes y servicios;2.825,81;2.825.810,00
14;923Q;62–63;Inversiones reales;128,91;128.910,00
—;—;—;TOTAL Programa 923Q;2.954,72;2.954.720,00
14;;;Dirección General de Comercio Internacional e Inversiones;273.174,31;273.174.310,00
15;431A;12;Funcionarios;31.655,17;31.655.170,00
15;431A;13;Laborales;22.111,13;22.111.130,00
15;431A;16;Cuotas, prestaciones y gastos sociales;6.383,90;6.383.900,00
—;—;—;TOTAL GASTOS DE PERSONAL;60.150,20;60.150.200,00
—;—;—;TOTAL Programa 431A;60.150,20;60.150.200,00
15;431N;21–23;Gastos corrientes en bienes y servicios;794,1;794.100,00
15;431N;48–49;Transferencias corrientes (CATICES, OCDE, OMC);2.502,38;2.502.380,00
15;431N;62–63;Inversiones reales;420;420.000,00
—;—;—;TOTAL Programa 431N;3.716,48;3.716.480,00
15;431O;10;Altos cargos;61,04;61.040,00
15;431O;12;Funcionarios;6.070,34;6.070.340,00
15;431O;13;Laborales;287,65;287.650,00
15;431O;16;Cuotas, prestaciones y gastos sociales;666,41;666.410,00
—;—;—;TOTAL GASTOS DE PERSONAL;7.085,44;7.085.440,00
15;431O;22–23;Gastos corrientes en bienes y servicios;652,13;652.130,00
15;431O;47–48;Transferencias corrientes (premios y asociaciones);134;134.000,00
15;431O;64;Inversiones reales;5;5.000,00
15;431O;76–78;Transferencias de capital (Ayuntamientos, comercio minorista);2.727,50;2.727.500,00
—;—;—;TOTAL Programa 431O;10.604,07;10.604.070,00
15;;;Dirección General de Política Comercial;74.470,75;74.470.750,00
50;43MD;29;Gastos corrientes en bienes y servicios;734,39;734.390,00
50;43MD;69;Inversiones reales;900;900.000,00
50;43MD;75–76;Transferencias de capital (CCAA y Entidades Locales);121.515,61;121.515.610,00
—;—;—;TOTAL Programa 43MD;123.150,00;123.150.000,00
50;43ME;29;Gastos corrientes en bienes y servicios;1.000,00;1.000.000,00
50;43ME;44–49;Transferencias corrientes (ICEX, empresas, exterior);2.255,00;2.255.000,00
50;43ME;69;Inversiones reales;2.350,00;2.350.000,00
50;43ME;74–78;Transferencias de capital (ICEX, COFIDES, Cámaras);66.745,00;66.745.000,00
50;43ME;87;Activos financieros (FIEM, Coinversión);970.000,00;970.000.000,00
—;—;—;TOTAL Programa 43ME;1.042.350,00;1.042.350.000,00
50;92KA;69;Inversiones reales;2.606,83;2.606.830,00
—;—;—;TOTAL Programa 92KA;2.606,83;2.606.830,00
50;;;Mecanismo de Recuperación y Resiliencia;1.168.106,83;1.168.106.830,00
;;;Ministerio de Economía, Comercio y Empresa;2.509.585,00;2.509.585.000,00
