Económica;Explicación;Secc. 01;Secc. 02;Secc. 03;Secc. 04;Secc. 05;Secc. 06;Secc. 07;Secc. 08;Secc. 09;Secc. 10;Secc. 12;Secc. 13;Secc. 14;Secc. 15;Secc. 16;Secc. 17;Secc. 18;Secc. 19;Secc. 20;Secc. 21;Secc. 22;Secc. 23;Secc. 24;Secc. 25;Secc. 26;Secc. 27;Secc. 28;Secc. 29;Secc. 30;Secc. 31;Secc. 32;Secc. 33;Secc. 34;Secc. 35;Secc. 36;Secc. 37;Secc. 38;Total;Euros reales
23; Indemnizaciones por razón del servicio;;19.710,03;561,22;232,4;330;;;9.432,79;;;14.307,55;10.424,17;90.554,91;3.094,33;127.741,71;3.487,49;10.601,11;1.451,13;1.215,48;2.425,83;1.662,87;1.758,22;2.390,14;250;3.551,88;5.673,84;1.675,27;1.257,88;682,54;45,72;1.657,84;1.180,83;;;;;;317.357,18;317.357.180 €
24; Gastos de publicaciones;;891,8;16,21;70,9;61;;;147;;;70;327;350;218,23;228,68;262,17;398,3;180,45;126,22;320;53,1;152;155,88;;192,54;86,78;203;80,19;150;;230;18;;;;;;4.989,45;4.989.450 €
25; Conciertos de asistencia sanitaria;;;;;;;;;;;;150;;;14.927,15;;;;;;;;;;;;;;;;;;;;;;;15.077,15;15.077.150 €
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;;;;;;;;;;;;500;467;;;8.237,32;;2.126,00;;;;;;;1.734,39;;;;;;1.419,99;;;;;;14.484,70;14.484.700 €
3;GASTOS FINANCIEROS;;398,2;;3;;31.275.104,09;;;;20;25,93;655,77;;4.040,67;385,95;3.529,81;328,54;43,66;111;39,35;2.763,20;15,17;40,5;1.630,00;;27.825,02;36;5;;;270;;12.500,00;;;;;31.329.770,86;31.329.770.860 €
30; De deuda pública en euros;;;;;;30.481.829,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.481.829,70;30.481.829.700 €
31; De préstamos en euros;;;;;;734.711,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;734.711,39;734.711.390 €
32; De deuda pública en moneda extranjera;;;;;;48.300,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.300,00;48.300.000 €
33; De préstamos en moneda extranjera;;;;;;10.256,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.256,00;10.256.000 €
34; De depósitos y fianzas;;10,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,2;10.200 €
35; Intereses de demora y otros gastos financieros;;388;;3;;7;;;;20;25,93;655,77;;4.040,67;385,95;3.529,81;328,54;43,66;111;39,35;2.763,20;15,17;40,5;1.630,00;;27.825,02;36;5;;;270;;12.500,00;;;;;54.663,57;54.663.570 €
4;TRANSFERENCIAS CORRIENTES;8.431,15;23.579,73;8,5;1.323,54;232,96;;20.499.542,56;579,15;;;463.308,27;60.768,99;159.555,85;850.228,68;201.903,98;3.308.064,32;5.013.472,57;42.763,89;188.325,06;59.240,39;8.334,13;455.637,68;270.090,23;3.405,00;236.242,74;412.264,58;338.228,82;467.279,13;415.500,02;36.748,61;98.909,03;11.472,31;17.860.350,00;;;1.810.566,58;45.087.970,53;98.394.328,98;98.394.328.980 €
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;37,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,5;37.500 €
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;;;;;;;;11.358,87;2.437,00;13.392,38;498.869,38;18.318,09;1.798.801,69;6.354,97;1.246,80;130.941,31;801,5;100;48.971,29;19.616,85;2.000,00;772,06;16.416,77;137.988,04;105;;;140;5.852,84;;;;;;2.714.484,84;2.714.484.840 €
45; A Comunidades Autónomas;;;;;;;;;;;;1;20.003,41;;485;457.894,09;2.048.009,50;;;;3.300,00;345.693,00;4.595,05;;230.191,42;500;22.658,58;323.070,25;340.002,02;35.000,00;105;;;;;101.726,02;24.075.075,38;28.008.309,72;28.008.309.720 €
46; A Entidades Locales;;;;;;;;;;;;1.995,21;;;751,4;54.304,74;17.197,38;;3.080,00;;650;11.785,10;19.273,96;;3;100;5.153,85;9.776,48;40.000,00;0,01;;;;;;1.708.840,56;21.012.895,15;22.885.806,84;22.885.806.840 €
47; A empresas privadas;;;;;;;;;;;;;;320.000,00;40,1;245.135,41;55.431,19;19,2;30.000,00;10.698,92;;3.073,32;3.700,00;;;1.325,00;50;;;;;16,74;;;;;;669.489,88;669.489.880 €
48; A familias e instituciones sin fines de lucro;8.431,15;22.826,74;;1.321,54;232,96;;20.499.542,56;548,6;;;4.600,18;56.092,95;9.663,70;30.541,73;133.882,50;747.551,68;2.884.437,85;41.047,89;24.125,75;15.111,19;4.284,13;28.307,22;221.815,96;1.360,00;3.166,26;4.318,52;21.538,89;132.316,10;35.445,00;1.748,60;44.905,00;2.823,95;;;;;;24.981.988,60;24.981.988.600 €
49; Al exterior;;715,49;8,5;2;;;;30,55;;;447.349,22;242,83;116.496,36;817,57;48.426,89;4.376,71;2.041,68;450;178;32.628,78;;17.807,75;1.088,41;45;2.110,00;389.604,29;150.839,46;2.011,30;53;;53.759,03;2.778,78;17.860.350,00;;;;;19.134.211,60;19.134.211.600 €
5;FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.964.420,00;;;;3.964.420,00;3.964.420.000 €
50; Dotación al Fondo de Contingencia de ejecución presupuestaria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.964.420,00;;;;3.964.420,00;3.964.420.000 €
6;INVERSIONES REALES;;6.113,16;2.876,52;1.200,00;400;;;2.799,82;;;65.028,03;201.331,01;5.868.928,77;120.293,41;284.946,60;2.617.541,18;72.082,44;17.401,09;40.722,11;181.217,21;25.824,37;965.864,61;37.240,02;25.183,84;27.679,73;17.071,30;6.384,48;6.753,85;26.753,74;7.005,00;14.281,00;436.929,50;;;;;;11.079.852,79;11.079.852.790 €
60; Inversión nueva en infraestructuras y bienes destinados al uso general;;;;;;;;;;;;;;;;864.684,22;;;;43.532,47;;235.205,04;4.000,00;;;;;;;;;;;;;;;1.147.421,73;1.147.421.730 €
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;;5;;;;;;;;;;;;;;1.368.899,01;;;;9.859,00;;318.198,55;;24.000,00;;;;;;;;;;;;;;1.720.961,56;1.720.961.560 €
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;795,25;2.755,52;250;45;;;2.242,62;;;50.460,71;148.150,88;;67,95;118.155,01;14.253,60;5.142,21;3.906,40;1.167,17;1.317,46;8.356,82;3.101,00;11.647,31;;25.062,70;903,76;2.213,73;1.620,96;117;5;1.310,00;4.937,85;;;;;;407.985,91;407.985.910 €
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;2.656,01;121;950;325;;;557,2;;;13.521,49;26.810,45;587,99;87.527,62;164.579,48;8.538,88;7.537,80;13.209,12;3.883,19;8.723,98;17.073,84;4.933,14;16.349,62;;1.728,28;4.860,52;2.580,00;2.622,89;7.876,64;;12.471,00;1.943,01;;;;;;411.968,15;411.968.150 €
64; Gastos de inversiones de carácter inmaterial;;2.656,90;;;30;;;;;;1.045,83;26.369,68;;32.697,84;2.212,11;20.758,59;965,08;285,57;14.971,75;117.784,30;393,71;126.312,00;5.243,09;1.183,84;888,75;5.450,19;1.590,75;2.510,00;18.760,10;;500;52.420,36;;;;;;435.030,44;435.030.440 €
65; Inversiones militares en infraestructura y otros bienes;;;;;;;;;;;;;5.246.648,10;;;;;;;;;;;;;;;;;;;;;;;;;5.246.648,10;5.246.648.100 €
66; Inversiones militares asociadas al funcionamiento operativo de los servicios;;;;;;;;;;;;;437.534,11;;;;;;;;;;;;;;;;;;;;;;;;;437.534,11;437.534.110 €
67; Gastos militares de inversiones de carácter inmaterial;;;;;;;;;;;;;27.013,24;;;;;;;;;;;;;;;;;;;;;;;;;27.013,24;27.013.240 €
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;;;;;;;;;;;;;157.145,33;;;340.406,88;58.437,35;;20.700,00;;;278.114,88;;;;5.856,83;;;;7.000,00;;377.628,28;;;;;;1.245.289,55;1.245.289.550 €
7;TRANSFERENCIAS DE CAPITAL;;;;;;;;;;;10.000,00;;188;142.000,00;5.753,81;3.818.884,54;302.435,70;90;3.890.420,27;266.909,19;53.416,00;4.476.034,82;83.780,88;2.079.915,57;569.008,71;258.176,47;1.472.700,75;8.093,00;10.000,00;90.052,00;300;3.902.650,00;170.000,00;;582.430,00;480.569,69;;22.673.809,40;22.673.809.400 €
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;;;;;;;;10.000,00;;188;;131,73;1.894.038,32;;90;332.066,59;514;20.520,00;4.094.711,30;;441,49;24,92;120.933,36;1.035.652,04;;;;;1.649.750,00;;;;;;9.159.061,75;9.159.061.750 €
75; A Comunidades Autónomas;;;;;;;;;;;;;;;;975.723,87;302.435,70;;599.000,00;223.994,48;31.600,00;172.477,53;32.395,50;1.976.325,49;568.499,17;50.000,00;236.209,50;;10.000,00;40.000,00;;402.200,00;;;582.430,00;282.017,39;;6.485.308,63;6.485.308.630 €
76; A Entidades Locales;;;;;;;;;;;;;;;3.066,93;893.134,35;;;67.890,00;198;1.266,00;46.345,99;44.218,50;37.205,61;;72.115,61;13.000,00;8.093,00;;30.052,00;;9.500,00;;;;198.552,30;;1.424.638,29;1.424.638.290 €
77; A empresas privadas;;;;;;;;;;;;;;142.000,00;40;50.930,00;;;2.797.749,68;34.260,83;;155.000,00;5.630,88;6,49;;;3.000,00;;;;;1.831.200,00;;;;;;5.019.817,88;5.019.817.880 €
78; A familias e instituciones sin fines de lucro;;;;;;;;;;;;;;;90,15;5.058,00;;;93.714,00;7.941,88;30;7.500,00;1.536,00;65.826,49;484,62;15.127,50;177.499,19;;;20.000,00;300;10.000,00;;;;;;405.107,83;405.107.830 €
79; Al exterior;;;;;;;;;;;;;;;2.425,00;;;;;;;;;110;;;7.340,02;;;;;;170.000,00;;;;;179.875,02;179.875.020 €
8;ACTIVOS FINANCIEROS;;25;135,2;48;9,02;;;50;;;235.012,40;692,03;2.833,58;16.204.265,11;364,26;1.316.782,94;432.176,76;64,97;4.139.816,37;137.006,30;364,9;942.209,49;11.133,94;1.360.000,00;40,5;1.336.888,66;3.025.754,56;92,88;25;;1.855,00;979.837,62;;;;;;30.127.484,49;30.127.484.490 €
82; Concesión de préstamos al Sector Público;;;;;;;;;;;;;;;;;432.090,70;;353.500,00;40.000,00;;543.220,64;11.000,00;1.100.000,00;;;1.657.696,94;;;;;819.500,00;;;;;;4.957.008,28;4.957.008.280 €
83; Concesión de préstamos fuera del Sector Público;;25;135,2;48;9,02;;;50;;;622,8;692,03;2.833,58;604,35;364,26;20.953,78;86,06;19,97;3.186.309,50;124,2;364,9;62,36;133,94;;40,5;191,32;452.787,62;92,88;25;;50;21.161,99;;;;;;3.687.788,26;3.687.788.260 €
84; Constitución de depósitos y fianzas;;;;;;;;;;;159,6;;;;;;;45;;10;;106;;;;145;;;;;5;;;;;;;470,6;470.600 €
85; Adquisición de acciones y participaciones del Sector Público;;;;;;;;;;;;;;200.410,76;;52.691,16;;;;96.872,10;;386.820,49;;;;;;;;;;;;;;;;736.794,51;736.794.510 €
86; Adquisición de acciones y participaciones de fuera del Sector Público;;;;;;;;;;;;;;250;;;;;;;;;;;;;;;;;;;;;;;;250;250.000 €
87; Aportaciones patrimoniales;;;;;;;;;;;234.230,00;;;16.003.000,00;;1.243.138,00;;;600.006,87;;;12.000,00;;260.000,00;;1.200.001,50;915.270,00;;;;1.800,00;139.175,63;;;;;;20.608.622,00;20.608.622.000 €
89; Suscripción de acciones y aportaciones de fondos a organismos internacionales;;;;;;;;;;;;;;;;;;;;;;;;;;136.550,84;;;;;;;;;;;;136.550,84;136.550.840 €
9;PASIVOS FINANCIEROS;;25;;;;97.521.737,01;;;;;;;;;4,87;;;;;;;;;165;;1;;;;;;;;;;;;97.521.932,88;97.521.932.880 €
90; Amortización de deuda pública en euros;;;;;;90.987.662,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.987.662,89;90.987.662.890 €
91; Amortización de préstamos en euros;;;;;;6.534.074,12;;;;;;;;;4,27;;;;;;;;;;;;;;;;;;;;;;;6.534.078,39;6.534.078.390 €
94; Devolución de depósitos y fianzas;;25;;;;;;;;;;;;;0,6;;;;;;;;;165;;;;;;;;;;;;;;190,6;190.600 €
95; Puesta en circulación de moneda metálica;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;1.000 €
;TOTAL CONSOLIDADO;8.431,15;268.007,17;78.372,36;30.486,00;14.686,84;128.796.841,10;20.499.542,56;78.333,80;2.281.136,60;317.071,70;1.276.656,94;2.371.114,75;12.433.485,42;17.843.827,03;10.253.101,65;11.311.352,40;6.384.408,85;149.813,21;8.321.419,15;738.814,15;411.378,89;6.970.142,82;543.720,85;3.480.934,65;956.567,76;2.287.861,98;4.930.047,53;549.637,69;484.024,25;148.303,68;886.632,55;5.438.077,97;18.042.850,00;3.964.420,00;582.430,00;2.291.136,27;45.087.970,53;320.513.040,25;320.513.040.250 €
4;TRANSFERENCIAS CORRIENTES;;;;;;;249,75;;98.330,95;;646.617,32;97.926,95;312.179,35;1.294.979,70;5.896,30;131.523,52;215.994,69;321.641,38;38.344,44;300.838,62;;289.987,00;376.246,18;;293.026,57;193.756,19;714.096,27;3.678.265,00;18.542,45;12.311,64;34.721.929,32;28.623,32;;;;;;43.791.306,91;43.791.306.910 €
41; A Organismos Autónomos;;;;;;;;;98.330,95;;;97.926,95;39.427,75;63.400,60;5.788,70;14.938,11;209.779,40;308.258,25;38.344,44;300.838,62;;260.746,36;330.305,12;;7.114,83;139.253,04;243.963,14;15.964,80;18.542,45;12.311,64;;25.933,26;;;;;;2.231.168,41;2.231.168.410 €
42; A la Seguridad Social;;;;;;;249,75;;;;;;;;;;;6.000,00;;;;;;;285.902,94;;;3.662.300,20;;;34.721.929,32;;;;;;;38.676.382,21;38.676.382.210 €
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;;;;;;;;;646.617,32;;272.751,60;1.231.579,10;107,6;116.585,41;6.215,29;7.383,13;;;;29.240,64;45.941,06;;8,8;54.503,15;470.133,13;;;;;2.690,06;;;;;;2.883.756,29;2.883.756.290 €
7;TRANSFERENCIAS DE CAPITAL;;;;;;;;;;;17.918,22;20.234,25;81.512,78;105.545,79;250;8.420,00;130.409,76;5.334,03;62.729,67;40.199,69;;4.041.992,07;123.488,83;900;22.364,90;27.966,83;1.799.967,10;13.723,95;365;247,22;1.240,20;5.282,95;;;;;;6.510.093,24;6.510.093.240 €
71; A Organismos Autónomos;;;;;;;;;;;;20.234,25;24.346,68;2.554,00;250;8.420,00;130.090,82;5.292,09;62.729,67;40.199,69;;454.346,28;89.806,58;;247,55;24.053,12;285.771,75;2.598,95;365;247,22;;5.228,95;;;;;;1.156.782,60;1.156.782.600 €
72; A la Seguridad Social;;;;;;;;;;;;;;;;;;;;;;;;;22.117,35;;;11.125,00;;;1.240,20;;;;;;;34.482,55;34.482.550 €
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;;;;;;;;;17.918,22;;57.166,10;102.991,79;;;318,94;41,94;;;;3.587.645,79;33.682,25;900;;3.913,71;1.514.195,35;;;;;54;;;;;;5.318.828,09;5.318.828.090 €
8;ACTIVOS FINANCIEROS;;;;;;;;;;;;;;;;;;;;;;;;;;;4.163,97;;;;10.003.806,15;;;;;;;10.007.970,12;10.007.970.120 €
82; Concesión de préstamos al Sector Público;;;;;;;;;;;;;;;;;;;;;;;;;;;4.163,97;;;;10.003.806,15;;;;;;;10.007.970,12;10.007.970.120 €
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;;;;249,75;;98.330,95;;664.535,54;118.161,20;393.692,13;1.400.525,49;6.146,30;139.943,52;346.404,45;326.975,41;101.074,11;341.038,31;;4.331.979,07;499.735,01;900;315.391,47;221.723,02;2.518.227,34;3.691.988,95;18.907,45;12.558,86;44.726.975,67;33.906,27;;;;;;60.309.370,27;60.309.370.270 €
;TOTAL;8.431,15;268.007,17;78.372,36;30.486,00;14.686,84;128.796.841,10;20.499.792,31;78.333,80;2.379.467,55;317.071,70;1.941.192,48;2.489.275,95;12.827.177,55;19.244.352,52;10.259.247,95;11.451.295,92;6.730.813,30;476.788,62;8.422.493,26;1.079.852,46;411.378,89;11.302.121,89;1.043.455,86;3.481.834,65;1.271.959,23;2.509.585,00;7.448.274,87;4.241.626,64;502.931,70;160.862,54;45.613.608,22;5.471.984,24;18.042.850,00;3.964.420,00;582.430,00;2.291.136,27;45.087.970,53;380.822.410,52;380.822.410.520 €
