;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por artículos y secciones del presupuesto de gastos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Secc. 01;Secc. 02;Secc. 03;Secc. 04;Secc. 05;Secc. 06;Secc. 07;Secc. 08;Secc. 09;Secc. 10;Secc. 12;Secc. 13;Secc. 14;Secc. 15;Secc. 16;Secc. 17;Secc. 18;Secc. 19;Secc. 20;Secc. 21;Secc. 22;Secc. 23;Secc. 24;Secc. 25;Secc. 26;Secc. 27;Secc. 28;Secc. 29;Secc. 30;Secc. 31;Secc. 32;Secc. 33;Secc. 34;Secc. 35;Secc. 36;Secc. 37;Secc. 38;;Total;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;;;;;;;;10.000,00;;188,00;;131,73;1.894.038,32;;90,00;332.066,59;514,00;20.520,00;4.094.711,30;;441,49;24,92;120.933,36;1.035.652,04;;;;;1.649.750,00;;;;;;;9.159.061,75;
75; A Comunidades Autónomas;;;;;;;;;;;;;;;;975.723,87;302.435,70;;599.000,00;223.994,48;31.600,00;172.477,53;32.395,50;1.976.325,49;568.499,17;50.000,00;236.209,50;;10.000,00;40.000,00;;402.200,00;;;582.430,00;282.017,39;;;6.485.308,63;
76; A Entidades Locales;;;;;;;;;;;;;;;3.066,93;893.134,35;;;67.890,00;198,00;1.266,00;46.345,99;44.218,50;37.205,61;;72.115,61;13.000,00;8.093,00;;30.052,00;;9.500,00;;;;198.552,30;;;1.424.638,29;
77; A empresas privadas;;;;;;;;;;;;;;142.000,00;40,00;50.930,00;;;2.797.749,68;34.260,83;;155.000,00;5.630,88;6,49;;;3.000,00;;;;;1.831.200,00;;;;;;;5.019.817,88;
78; A familias e instituciones sin fines de lucro;;;;;;;;;;;;;;;90,15;5.058,00;;;93.714,00;7.941,88;30,00;7.500,00;1.536,00;65.826,49;484,62;15.127,50;177.499,19;;;20.000,00;300,00;10.000,00;;;;;;;405.107,83;
79; Al exterior;;;;;;;;;;;;;;;2.425,00;;;;;;;;;110,00;;;7.340,02;;;;;;170.000,00;;;;;;179.875,02;
8;ACTIVOS FINANCIEROS;;25,00;135,20;48,00;9,02;;;50,00;;;235.012,40;692,03;2.833,58;16.204.265,11;364,26;1.316.782,94;432.176,76;64,97;4.139.816,37;137.006,30;364,90;942.209,49;11.133,94;1.360.000,00;40,50;1.336.888,66;3.025.754,56;92,88;25,00;;1.855,00;979.837,62;;;;;;;30.127.484,49;
82; Concesión de préstamos al Sector Público;;;;;;;;;;;;;;;;;432.090,70;;353.500,00;40.000,00;;543.220,64;11.000,00;1.100.000,00;;;1.657.696,94;;;;;819.500,00;;;;;;;4.957.008,28;
83; Concesión de préstamos fuera del Sector Público;;25,00;135,20;48,00;9,02;;;50,00;;;622,80;692,03;2.833,58;604,35;364,26;20.953,78;86,06;19,97;3.186.309,50;124,20;364,90;62,36;133,94;;40,50;191,32;452.787,62;92,88;25,00;;50,00;21.161,99;;;;;;;3.687.788,26;
84; Constitución de depósitos y fianzas;;;;;;;;;;;159,60;;;;;;;45,00;;10,00;;106,00;;;;145,00;;;;;5,00;;;;;;;;470,60;
85; Adquisición de acciones y participaciones del Sector Público;;;;;;;;;;;;;;200.410,76;;52.691,16;;;;96.872,10;;386.820,49;;;;;;;;;;;;;;;;;736.794,51;
86; Adquisición de acciones y participaciones de fuera del Sector Público;;;;;;;;;;;;;;250,00;;;;;;;;;;;;;;;;;;;;;;;;;250,00;
87; Aportaciones patrimoniales;;;;;;;;;;;234.230,00;;;16.003.000,00;;1.243.138,00;;;600.006,87;;;12.000,00;;260.000,00;;1.200.001,50;915.270,00;;;;1.800,00;139.175,63;;;;;;;20.608.622,00;
89; Suscripción de acciones y aportaciones de fondos a organismos internacionales;;;;;;;;;;;;;;;;;;;;;;;;;;136.550,84;;;;;;;;;;;;;136.550,84;
9;PASIVOS FINANCIEROS;;25,00;;;;97.521.737,01;;;;;;;;;4,87;;;;;;;;;165,00;;1,00;;;;;;;;;;;;;97.521.932,88;
90; Amortización de deuda pública en euros;;;;;;90.987.662,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90.987.662,89;
91; Amortización de préstamos en euros;;;;;;6.534.074,12;;;;;;;;;4,27;;;;;;;;;;;;;;;;;;;;;;;;6.534.078,39;
94; Devolución de depósitos y fianzas;;25,00;;;;;;;;;;;;;0,60;;;;;;;;;165,00;;;;;;;;;;;;;;;190,60;
95; Puesta en circulación de moneda metálica;;;;;;;;;;;;;;;;;;;;;;;;;;1,00;;;;;;;;;;;;;1,00;
;TOTAL CONSOLIDADO;8.431,15;268.007,17;78.372,36;30.486,00;14.686,84;128.796.841,10;20.499.542,56;78.333,80;2.281.136,60;317.071,70;1.276.656,94;2.371.114,75;12.433.485,42;17.843.827,03;10.253.101,65;11.311.352,40;6.384.408,85;149.813,21;8.321.419,15;738.814,15;411.378,89;6.970.142,82;543.720,85;3.480.934,65;956.567,76;2.287.861,98;4.930.047,53;549.637,69;484.024,25;148.303,68;886.632,55;5.438.077,97;18.042.850,00;3.964.420,00;582.430,00;2.291.136,27;45.087.970,53;;320.513.040,25;
4;TRANSFERENCIAS CORRIENTES;;;;;;;249,75;;98.330,95;;646.617,32;97.926,95;312.179,35;1.294.979,70;5.896,30;131.523,52;215.994,69;321.641,38;38.344,44;300.838,62;;289.987,00;376.246,18;;293.026,57;193.756,19;714.096,27;3.678.265,00;18.542,45;12.311,64;34.721.929,32;28.623,32;;;;;;;43.791.306,91;
41; A Organismos Autónomos;;;;;;;;;98.330,95;;;97.926,95;39.427,75;63.400,60;5.788,70;14.938,11;209.779,40;308.258,25;38.344,44;300.838,62;;260.746,36;330.305,12;;7.114,83;139.253,04;243.963,14;15.964,80;18.542,45;12.311,64;;25.933,26;;;;;;;2.231.168,41;
42; A la Seguridad Social;;;;;;;249,75;;;;;;;;;;;6.000,00;;;;;;;285.902,94;;;3.662.300,20;;;34.721.929,32;;;;;;;;38.676.382,21;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;;;;;;;;;646.617,32;;272.751,60;1.231.579,10;107,60;116.585,41;6.215,29;7.383,13;;;;29.240,64;45.941,06;;8,80;54.503,15;470.133,13;;;;;2.690,06;;;;;;;2.883.756,29;
7;TRANSFERENCIAS DE CAPITAL;;;;;;;;;;;17.918,22;20.234,25;81.512,78;105.545,79;250,00;8.420,00;130.409,76;5.334,03;62.729,67;40.199,69;;4.041.992,07;123.488,83;900,00;22.364,90;27.966,83;1.799.967,10;13.723,95;365,00;247,22;1.240,20;5.282,95;;;;;;;6.510.093,24;
71; A Organismos Autónomos;;;;;;;;;;;;20.234,25;24.346,68;2.554,00;250,00;8.420,00;130.090,82;5.292,09;62.729,67;40.199,69;;454.346,28;89.806,58;;247,55;24.053,12;285.771,75;2.598,95;365,00;247,22;;5.228,95;;;;;;;1.156.782,60;
72; A la Seguridad Social;;;;;;;;;;;;;;;;;;;;;;;;;22.117,35;;;11.125,00;;;1.240,20;;;;;;;;34.482,55;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;;;;;;;;;17.918,22;;57.166,10;102.991,79;;;318,94;41,94;;;;3.587.645,79;33.682,25;900,00;;3.913,71;1.514.195,35;;;;;54,00;;;;;;;5.318.828,09;
8;ACTIVOS FINANCIEROS;;;;;;;;;;;;;;;;;;;;;;;;;;;4.163,97;;;;10.003.806,15;;;;;;;;10.007.970,12;
82; Concesión de préstamos al Sector Público;;;;;;;;;;;;;;;;;;;;;;;;;;;4.163,97;;;;10.003.806,15;;;;;;;;10.007.970,12;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;;;;249,75;;98.330,95;;664.535,54;118.161,20;393.692,13;1.400.525,49;6.146,30;139.943,52;346.404,45;326.975,41;101.074,11;341.038,31;;4.331.979,07;499.735,01;900,00;315.391,47;221.723,02;2.518.227,34;3.691.988,95;18.907,45;12.558,86;44.726.975,67;33.906,27;;;;;;;60.309.370,27;
;TOTAL;8.431,15;268.007,17;78.372,36;30.486,00;14.686,84;128.796.841,10;20.499.792,31;78.333,80;2.379.467,55;317.071,70;1.941.192,48;2.489.275,95;12.827.177,55;19.244.352,52;10.259.247,95;11.451.295,92;6.730.813,30;476.788,62;8.422.493,26;1.079.852,46;411.378,89;11.302.121,89;1.043.455,86;3.481.834,65;1.271.959,23;2.509.585,00;7.448.274,87;4.241.626,64;502.931,70;160.862,54;45.613.608,22;5.471.984,24;18.042.850,00;3.964.420,00;582.430,00;2.291.136,27;45.087.970,53;;380.822.410,52;
;;



