Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
49;49OF;74–77;Transferencias de capital MRR;555.000,00;555.000.000
—;—;—;TOTAL C15.I06;570.000,00;570.000.000
49;49OS;69;Inversiones reales MRR;1.000,00;1.000.000
49;49OS;77;Transferencias de capital MRR;30.000,00;30.000.000
—;—;—;TOTAL C15.R02;31.000,00;31.000.000,00
92;92KC;29;Gastos corrientes MRR;1.419,99;1.419.990
92;92KC;48;Convenios Gobierno Abierto MRR;60;60.000
92;92KC;69;Inversiones reales MRR;1.835,11;1.835.110,00
—;—;—;TOTAL C11.I03 AGE Servicios Generales;3.315,10;3.315.100
94;94KC;75;A Comunidades Autónomas — modernización MRR;221.300,00;221.300.000
—;—;—;TOTAL C11.I03 CCAA y EELL;221.300,00;221.300.000
000X;000X;41;A INAP — Transferencias corrientes MRR;450;450.000
000X;000X;71;A INAP y MUFACE — Transferencias de capital MRR;1.834,46;1.834.460
—;—;—;TOTAL Transferencias y libramientos internos;2.284,46;2.284.460
;;;TOTAL FINAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;5.058.512,73;5.058.512.730
;;;TOTAL MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;5.471.984,24;5.471.984.240
