Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
3;421M;—;TOTAL Dirección y Servicios Generales de Industria y Turismo;6.879,62;6.879.620
3;000X;41;Transferencias corrientes a organismos autónomos;4.704,22;4.704.220
3;000X;71;Transferencias de capital a organismos autónomos;2.441,36;2.441.360
3;000X;—;TOTAL Transferencias y libramientos internos;7.145,58;7.145.580
4;432A;10–16;GASTOS DE PERSONAL;2.859,34;2.859.340
4;432A;22–23;GASTOS CORRIENTES EN BIENES Y SERVICIOS;343,31;343.310
4;432A;35;GASTOS FINANCIEROS;110;110.000
4;432A;44–49;TRANSFERENCIAS CORRIENTES;9.330,00;9.330.000
4;432A;64;INVERSIONES REALES;1.306,70;1.306.700
4;432A;76–78;TRANSFERENCIAS DE CAPITAL;24.920,00;24.920.000
4;432A;83–87;ACTIVOS FINANCIEROS;127.990,79;127.990.790
4;432A;—;TOTAL Coordinación y promoción del turismo;166.860,14;166.860.140
4;467C;44;TRANSFERENCIAS CORRIENTES;600;600.000
4;467C;74;TRANSFERENCIAS DE CAPITAL;6.240,00;6.240.000
4;467C;—;TOTAL Investigación y desarrollo tecnológico-industrial;6.840,00;6.840.000
4;000X;41;TRANSFERENCIAS CORRIENTES;33.640,22;33.640.220
4;000X;71;TRANSFERENCIAS DE CAPITAL;41.878,31;41.878.310
4;000X;—;TOTAL Transferencias y libramientos internos;75.518,53;75.518.530
9;421O;1;GASTOS DE PERSONAL;1.150,88;1.150.880
9;421O;7;TRANSFERENCIAS DE CAPITAL;2.625,00;2.625.000
9;421O;—;TOTAL Calidad y seguridad industrial;3.775,88;3.775.880
9;422B;1;GASTOS DE PERSONAL;1.982,13;1.982.130
9;422B;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;217,18;217.180
9;422B;4;TRANSFERENCIAS CORRIENTES;100;100.000
9;422B;7;TRANSFERENCIAS DE CAPITAL;332.050,00;332.050.000
9;422B;8;ACTIVOS FINANCIEROS;1,5;1.500
9;422B;—;TOTAL Desarrollo industrial;334.350,81;334.350.810
9;422M;1;GASTOS DE PERSONAL;1.917,18;1.917.180
9;422M;4;TRANSFERENCIAS CORRIENTES;1.778,00;1.778.000
9;422M;7;TRANSFERENCIAS DE CAPITAL;49.079,68;49.079.680
9;422M;8;ACTIVOS FINANCIEROS;600.000,00;600.000.000
9;422M;—;TOTAL Reconversión y reindustrialización;652.774,86;652.774.860
9;433M;1;GASTOS DE PERSONAL;1.722,37;1.722.370
9;433M;4;TRANSFERENCIAS CORRIENTES;3.500,00;3.500.000
9;433M;6;INVERSIONES REALES;6.061,13;6.061.130
9;433M;7;TRANSFERENCIAS DE CAPITAL;32.536,59;32.536.590
9;433M;8;ACTIVOS FINANCIEROS;98.500,00;98.500.000
9;433M;—;TOTAL Apoyo a la pequeña y mediana empresa;142.320,09;142.320.090
9;464B;8;ACTIVOS FINANCIEROS;1.601.150,14;1.601.150.140
9;464B;—;TOTAL Apoyo a la innovación tecnológica en el sector de la defensa;1.601.150,14;1.601.150.140
9;467C;8;ACTIVOS FINANCIEROS;272.000,00;272.000.000
9;467C;—;TOTAL Investigación y desarrollo tecnológico-industrial;272.000,00;272.000.000
10;421M;10;Altos cargos;63,79;63.790
10;421M;12;Funcionarios;1.260,80;1.260.800
10;421M;13;Laborales;109,12;109.120
10;421M;16;Cuotas, prestaciones y gastos sociales;240,64;240.640
10;421M;—;TOTAL GASTOS DE PERSONAL;1.674,35;1.674.350
10;421M;22;Material, suministros y otros;1;1.000
10;421M;23;Indemnizaciones por razón del servicio;20;20.000
10;421M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;21;21.000
10;421M;—;TOTAL Dirección y Servicios Generales de Industria y Turismo;1.695,35;1.695.350
10;—;—;TOTAL DIRECCIÓN GENERAL DE ESTRATEGIA INDUSTRIAL Y DE LA PEQUEÑA Y MEDIANA EMPRESA;1.695,35;1.695.350
50;42LB;77;Transferencias de capital a empresas privadas;1.000.000,00;1.000.000.000
50;42MA;69;Inversiones reales en industria;3.000,00;3.000.000
50;43MA;44;Transferencias corrientes a entidades públicas;38.400,00;38.400.000
50;43MA;69;Inversiones reales en PYMES;6.400,00;6.400.000
50;43MB;44;Transferencias corrientes a entidades públicas;56.000,00;56.000.000
50;43MB;74;Transferencias de capital a entidades públicas;142.000,00;142.000.000
50;43MC;44;Transferencias corrientes a entidades públicas;20.000,00;20.000.000
50;43MC;69;Inversiones reales en digitalización;1.300,00;1.300.000
50;43MC;78;Transferencias de capital a familias e instituciones;43.700,00;43.700.000
50;43NA;29;Gastos corrientes en sostenibilidad turística;330;330.000
50;43NA;69;Inversiones reales en sostenibilidad turística;8.000,00;8.000.000
50;43NA;74;Transferencias de capital a entidades públicas;10.670,00;10.670.000
50;43NA;75;Transferencias de capital a Comunidades Autónomas;478.000,00;478.000.000
50;43NB;77;Transferencias de capital a empresas privadas;10.000,00;10.000.000
50;43NC;75;Transferencias de capital a Comunidades Autónomas;64.000,00;64.000.000
50;43NA;2;Gastos corrientes en sostenibilidad turística;330;330.000
50;43NA;6;Inversiones reales;8.000,00;8.000.000
50;43NA;7;Transferencias de capital;488.670,00;488.670.000
50;43NB;7;Transferencias de capital a empresas privadas;10.000,00;10.000.000
50;43NC;7;Transferencias de capital a Comunidades Autónomas;64.000,00;64.000.000
50;43ND;2;Gastos corrientes en competitividad turística;1.391,00;1.391.000
50;43ND;7;Transferencias de capital;196.009,00;196.009.000
50;46LB;6;Inversiones reales;2.000,00;2.000.000
50;46LB;7;Transferencias de capital;1.456.670,00;1.456.670.000
50;46LB;8;Activos financieros;1.440.000,00;1.440.000.000
50;46NB;2;Gastos corrientes en digitalización turística;80;80.000
50;46NB;7;Transferencias de capital;41.920,00;41.920.000
50;46SC;2;Gastos corrientes en competencias digitales;325;325.000
50;46SC;4;Transferencias corrientes;53.675,00;53.675.000
50;000X;7;Transferencias de capital internas;18.410,00;18.410.000
 ; ;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;5.092.280,00;5.092.280.000,00
;;;TOTAL MINISTERIO DE INDUSTRIA Y TURISMO;8.422.493,26;8.422.493.260,00
