;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Organismo: 113 INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
;;213;Maquinaria, instalaciones y utillaje;;83,52;
;;214;Elementos de transporte;;6,36;
;;215;Mobiliario y enseres;;84,52;
;;216;Equipos para procesos de la información;;103,56;
;;22;Material, suministros y otros;;8.074,03;
;;220;Material de oficina;;313,25;
;;22000;  Ordinario no inventariable;161,62;;
;;22001;  Prensa, revistas, libros y otras publicaciones;18,28;;
;;22002;  Material informático no inventariable;133,35;;
;;221;Suministros;;1.270,62;
;;22100;  Energía eléctrica;673,21;;
;;22101;  Agua;120,46;;
;;22102;  Gas;79,89;;
;;22103;  Combustible;56,86;;
;;22104;  Vestuario;6,41;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;63,69;;
;;22199;  Otros suministros;270,10;;
;;222;Comunicaciones;;432,07;
;;22200;  Servicios de telecomunicaciones;343,00;;
;;22201;  Postales y mensajería;89,07;;
;;223;Transportes;;31,31;
;;224;Primas de seguros;;35,09;
;;225;Tributos;;466,25;
;;22500;  Estatales;1,00;;
;;22501;  Autonómicos;1,00;;
v;;22502;  Locales;464,25;;
;;226;Gastos diversos;;33,27;
v;;22601;  Atenciones protocolarias y representativas;2,34;;
;;22602;  Publicidad y propaganda;6,79;;
;;22603;  Jurídicos, contenciosos;6,24;;
;;22606;  Reuniones, conferencias y cursos;4,81;;
;;22699;  Otros;13,09;;
;;227;Trabajos realizados por otras empresas y profesionales;;5.492,17;
;;22700;  Limpieza y aseo;364,89;;
;;22701;  Seguridad;580,11;;
;;22706;  Estudios y trabajos técnicos;695,00;;
;;22799;  Otros;3.852,17;;
;;23;Indemnizaciones por razón del servicio;;62,41;
;;230;Dietas;;19,59;
;;231;Locomoción;;30,22;
;;232;Traslado;;11,60;
;;233;Otras indemnizaciones;;1,00;
;;24;Gastos de publicaciones;;6,85;
;;240;Gastos de edición y distribución;;6,85;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;9.357,75;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;31;De préstamos en euros;;3,01;
v;;310;Intereses;;3,01;
;;;TOTAL GASTOS FINANCIEROS;;3,01;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;46.055,55;
v;;480;Subsidios e indemnizaciones;;10.149,23;
;;48000;  Incapacidad temporal;399,23;;
;;48001;  Inutilidad para el servicio;9.700,00;;
;;48002;  Lesiones permanentes no invalidantes;50,00;;
v;;481;Protección a la familia;;28.653,91;
;;48100;  Prestaciones familiares por hijo o menor a cargo (discapacidad y diversidad funcional);26.030,95;;
;;48101;  Parto múltiple;700,00;;
;;48102;  Ayudas especiales por minusvalías;1.922,96;;
v;;482;Servicios Sociales;;5.133,68;
;;48200;  Ayuda económica por fallecimiento;2.633,68;;
;;48201;  Ayuda a personas mayores;2.500,00;;
v;;483;Asistencia Social;;1.172,20;
;;48300;  Ayudas sociales;307,20;;
;;48302;  Otras prestaciones sociales;865,00;;
v;;486;Prestaciones económicas de las Mutualidades integradas;;946,53;
;;48600;  Prestaciones económicas;46,53;;
;;48601;  Pensiones a funcionarios, de carácter militar;200,00;;
;;48602;  Pensiones a familias, de carácter militar;700,00;;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;46.055,55;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;275,28;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;275,28;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;725,05;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;725,05;
;;;TOTAL INVERSIONES REALES;;1.000,33;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;182,18;
v;;830;Préstamos a corto plazo;;55,70;
;;83008;  Familias e instituciones sin fines de lucro;55,70;;
v;;831;Préstamos a largo plazo;;126,48;
;;83108;  Familias e instituciones sin fines de lucro;126,48;;
v;;84;Constitución de depósitos y fianzas;;16,02;
v;;840;Depósitos;;4,00;
;;84000;  A corto plazo;2,00;;
;;84001;  A largo plazo;2,00;;
v;;841;Fianzas;;12,02;
;;84100;  A corto plazo;6,01;;
;;84101;  A largo plazo;6,01;;
;;;TOTAL ACTIVOS FINANCIEROS;;198,20;
 ; ;;;;;
v;;9;PASIVOS FINANCIEROS;;;
v;;94;Devolución de depósitos y fianzas;;2,00;
v;;940;Devolución de depósitos;;1,50;
v;;941;Devolución de fianzas;;0,50;
;;;TOTAL PASIVOS FINANCIEROS;;2,00;
 ; ;;;;;
;;;TOTAL Prestaciones económicas del Mutualismo Administrativo;;78.544,21;
 ; ;;;;;
 ; ;;;;;
v;312E;;Asistencia sanitaria del Mutualismo Administrativo;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;22;Material, suministros y otros;;999,78;
;;220;Material de oficina;;429,78;
;;22003;  Elaboración de talonarios de asistencia sanitaria;429,78;;
;;221;Suministros;;200,00;
v;;22109;  Labores Fábrica Nacional Moneda y Timbre;200,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;370,00;
;;22706;  Estudios y trabajos técnicos;370,00;;
;;25;Conciertos de asistencia sanitaria;;547.250,09;
;;250;Con la Seguridad Social;;32,49;
;;251;Con entidades de seguro libre;;540.252,60;
;;259;Otros conciertos de asistencia sanitaria;;6.965,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;548.249,87;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;210.707,00;
v;;484;Farmacia;;179.694,00;
v;;485;Prótesis y otras prestaciones;;31.013,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;210.707,00;
 ; ;;;;;
;;;TOTAL Asistencia sanitaria del Mutualismo Administrativo;;758.956,87;
 ; ;;;;;
 ; ;;;;;
v;000X;;Transferencias y libramientos internos;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;40;A la Administración del Estado;;974,91;
v;;402;Al Estado, para compensar gastos de gestión centralizada;;974,91;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;974,91;
 ; ;;;;;
;;;TOTAL Transferencias y libramientos internos;;974,91;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;;838.475,99;
;;



