;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Organismo: 101 SERVICIO PÚBLICO DE EMPLEO ESTATAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
 ; ;;;;;
;;;TOTAL Fomento de la inserción y estabilidad laboral;;4.120.944,54;
 ; ;;;;;
 ; ;;;;;
v;241B;;Formación Profesional para el Empleo;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;10.685,99;
;;120;Retribuciones básicas;;5.752,37;
;;12000;  Sueldos del grupo A1 y grupo A;133,78;;
;;12001;  Sueldos del grupo A2 y grupo B;1.529,47;;
;;12002;  Sueldos del grupo C1 y grupo C;1.544,04;;
;;12003;  Sueldos del grupo C2 y grupo D;851,35;;
;;12005;  Trienios;714,69;;
;;12006;  Pagas extraordinarias;979,04;;
;;121;Retribuciones complementarias;;4.933,62;
;;12100;  Complemento de destino;2.225,80;;
;;12101;  Complemento específico;2.334,36;;
;;12102;  Indemnización por residencia;267,29;;
;;12103;  Otros complementos;106,17;;
;;13;Laborales;;1.747,22;
;;130;Laboral fijo;;1.329,61;
;;13000;  Retribuciones básicas;972,83;;
;;13001;  Otras remuneraciones;356,78;;
;;131;Laboral eventual;;417,61;
;;14;Otro personal;;49,88;
;;143;Otro personal;;49,88;
v;;15;Incentivos al rendimiento;;2.042,77;
v;;150;Productividad;;2.001,26;
v;;151;Gratificaciones;;41,51;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;2.386,72;
;;160;Cuotas sociales;;2.288,52;
v;;16000;  Seguridad Social;2.288,52;;
;;162;Gastos sociales del personal;;98,20;
v;;16200;  Formación y perfeccionamiento del personal;60,00;;
v;;16204;  Acción social;38,20;;
;;;TOTAL GASTOS DE PERSONAL;;16.912,58;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;1.602,38;
;;206;Arrendamientos de equipos para procesos de información;;1.602,38;
;;21;Reparaciones, mantenimiento y conservación;;1.142,45;
;;212;Edificios y otras construcciones;;4,81;
;;213;Maquinaria, instalaciones y utillaje;;2,01;
;;215;Mobiliario y enseres;;2,41;
;;216;Equipos para procesos de la información;;1.133,22;
;;22;Material, suministros y otros;;12.153,67;
;;220;Material de oficina;;9,63;
;;22000;  Ordinario no inventariable;5,62;;
;;22001;  Prensa, revistas, libros y otras publicaciones;4,01;;
;;221;Suministros;;1.656,85;
;;22100;  Energía eléctrica;1.631,21;;
;;22104;  Vestuario;13,64;;
;;22106;  Productos farmacéuticos y material sanitario;1,20;;
v;;22109;  Labores Fábrica Nacional Moneda y Timbre;10,00;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;0,80;;
;;222;Comunicaciones;;1,86;
;;22299;  Otras;1,86;;
;;223;Transportes;;2,81;
;;224;Primas de seguros;;75,97;
;;225;Tributos;;200,00;
v;;22502;  Locales;200,00;;
;;226;Gastos diversos;;344,88;
v;;22601;  Atenciones protocolarias y representativas;1,00;;
;;22602;  Publicidad y propaganda;309,38;;
;;22603;  Jurídicos, contenciosos;34,50;;
;;227;Trabajos realizados por otras empresas y profesionales;;9.861,67;
;;22700;  Limpieza y aseo;40,12;;
;;22701;  Seguridad;40,12;;
;;22706;  Estudios y trabajos técnicos;9.100,00;;
;;22799;  Otros;681,43;;
;;23;Indemnizaciones por razón del servicio;;56,41;
;;231;Locomoción;;56,41;
;;24;Gastos de publicaciones;;3,21;
;;240;Gastos de edición y distribución;;3,21;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;14.958,12;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;56.774,17;
v;;443;A la Fundación Estatal para la Formación en el Empleo, para gastos corrientes;;51.818,41;
v;;445;Reserva de gestión directa Servicio Público de Empleo Estatal. Trabajo Penitenciario y Formación para el Empleo. Iniciativas que no corresponden a certificados de profesionalidad. Cuotas de seguros, becas y subvenciones a centros (EJE 2);;4.955,76;
v;;45;A Comunidades Autónomas;;1.078.722,20;
v;;452;Gestión por las Comunidades Autónomas de iniciativas del Sistema de Formación Profesional para el Empleo (EJE 2);;1.074.160,78;
;;45245;  Iniciativas de oferta formativa del Sistema de Formación Profesional para el Empleo para trabajadores desempleados. Iniciativas que no corresponden a certificados de profesionalidad;320.230,44;;
;;45255;  Iniciativas de oferta formativa del Sistema de Formación Profesional para el empleo para los trabajadores ocupados. Iniciativas que no corresponden a certificados de profesionalidad;110.199,04;;
;;45260;  Oportunidades de empleo y formación;633.606,30;;
;;45290;  Acciones formativas relativas a la capacitación para el desarrollo de las funciones relacionadas con la negociación colectiva y el diálogo social;10.125,00;;
v;;456;Gestión por Comunidades Autónomas de servicios y programas establecidos por el R.D. 1224/2009 y desarrollo reglamentario del contrato para la formación y el aprendizaje;;4.561,42;
;;45600;  Costes adicionales del contrato de formación y aprendizaje (EJE 2);4.561,42;;
v;;48;A familias e instituciones sin fines de lucro;;957.206,46;
v;;482;Reserva de gestión directa del Servicio Público de Empleo Estatal de créditos destinados a programas de fomento de empleo;;394.653,89;
;;48221;  Reserva de gestión directa Servicio Público de Empleo Estatal. Iniciativas formación profesional para el empleo que no corresponden a certificados de profesionalidad: oferta formativa para desempleados (EJE 2);10.919,32;;
;;48230;  Oportunidades de empleo y formación (EJE 2);13.353,00;;
;;48250;  Ayudas del sistema de formación profesional para el empleo: oferta formativa para ocupados (EJE 2);49.481,57;;
;;48255;  Reserva de gestión directa Servicio Público de Empleo Estatal. Ayudas del sistema de formación profesional para el empleo no relacionadas con certificados de profesionalidad: oferta formativa para ocupados (EJE 2);307.000,00;;
;;48280;  Acciones formativas relativas a la capacitación para el desarrollo de las funciones relacionadas con la negociación colectiva y el dialogo social.;13.900,00;;
v;;483;A centros y entidades de formación y otros;;7.619,81;
;;48303;  Ayudas del sistema de formación profesional para el empleo. Planes de formación territorios no transferidos: Ceuta y Melilla (EJE 2);322,80;;
;;48304;  Ayudas del sistema de formación profesional para el empleo. Planes de formación para el empleo no relacionada con certificados de profesionalidad territorios no transferidos: Ceuta y Melilla (EJE2);963,91;;
;;48305;  Cuotas seguros, becas y ayudas a alumnos y subvenciones a centros y entidades de formación profesional para el empleo para desempleados. Iniciativas que no corresponden a certificados de profesionalidad (EJE 2);6.333,10;;
v;;485;Gestión de servicios y programas de políticas activas de empleo en territorio no transferido;;4.932,76;
;;48503;  Oportunidades de empleo y formación (EJE 2);4.932,76;;
v;;487;Para pago de cuotas, subvenciones y bonificaciones a la Seguridad Social;;550.000,00;
;;48704;  Financiación de las bonificaciones en las cotizaciones de la Seguridad Social por formación de ocupados, incluso obligaciones de ejercicios anteriores (EJE 2);550.000,00;;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;2.092.702,83;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;978,89;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;978,89;
;;;TOTAL INVERSIONES REALES;;978,89;
 ; ;;;;;
v;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;678,89;
v;;743;A la Fundación Estatal para la Formación en el Empleo, para gastos de capital;;678,89;
;;;TOTAL TRANSFERENCIAS DE CAPITAL;;678,89;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;79,40;
v;;831;Préstamos a largo plazo;;79,40;
;;83108;  Familias e instituciones sin fines de lucro;79,40;;
;;;TOTAL ACTIVOS FINANCIEROS;;79,40;
 ; ;;;;;
;;;TOTAL Formación Profesional para el Empleo;;2.126.310,71;
 ; ;;;;;
 ; ;;;;;
v;251M;;Prestaciones a los desempleados;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;215.851,68;
;;120;Retribuciones básicas;;109.944,38;
;;12000;  Sueldos del grupo A1 y grupo A;2.289,08;;
;;12001;  Sueldos del grupo A2 y grupo B;29.278,50;;
;;12002;  Sueldos del grupo C1 y grupo C;29.587,76;;
;;12003;  Sueldos del grupo C2 y grupo D;16.336,27;;
;;12004;  Sueldos personal de agrupaciones profesionales y grupo E;44,11;;
;;12005;  Trienios;13.673,48;;
;;12006;  Pagas extraordinarias;18.735,18;;
;;121;Retribuciones complementarias;;105.574,02;
;;12100;  Complemento de destino;42.630,94;;
;;12101;  Complemento específico;44.854,98;;
;;12102;  Indemnización por residencia;1.069,46;;
;;12103;  Otros complementos;999,00;;
;;12181;  Necesidades adicionales;16.019,64;;
;;124;Retribuciones de funcionarios en prácticas;;333,28;
;;12400;  Sueldos del grupo A1 y grupo A;297,28;;
;;12405;  Trienios;18,00;;
;;12406;  Pagas extraordinarias;18,00;;
;;13;Laborales;;42.298,58;
;;130;Laboral fijo;;42.298,58;
;;13000;  Retribuciones básicas;35.242,38;;
;;13001;  Otras remuneraciones;7.056,20;;
v;;15;Incentivos al rendimiento;;22.266,77;
v;;150;Productividad;;21.469,04;
v;;151;Gratificaciones;;797,73;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;50.322,92;
;;160;Cuotas sociales;;48.930,25;
v;;16000;  Seguridad Social;48.930,25;;
;;162;Gastos sociales del personal;;1.392,67;
v;;16200;  Formación y perfeccionamiento del personal;180,00;;
v;;16204;  Acción social;786,67;;
;;16205;  Seguros;21,00;;
;;16209;  Otros;405,00;;
;;;TOTAL GASTOS DE PERSONAL;;330.739,95;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;3.373,91;
v;;202;Arrendamientos de edificios y otras construcciones;;1.440,00;
;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;5,49;
;;206;Arrendamientos de equipos para procesos de información;;1.928,42;
;;21;Reparaciones, mantenimiento y conservación;;3.550,29;
;;210;Infraestructura y bienes naturales;;3,21;
;;212;Edificios y otras construcciones;;523,29;
;;213;Maquinaria, instalaciones y utillaje;;295,40;
;;214;Elementos de transporte;;47,81;
;;215;Mobiliario y enseres;;21,95;
;;216;Equipos para procesos de la información;;2.658,63;
;;22;Material, suministros y otros;;28.468,73;
;;220;Material de oficina;;814,77;
;;22000;  Ordinario no inventariable;354,49;;
;;22001;  Prensa, revistas, libros y otras publicaciones;77,44;;
;;22002;  Material informático no inventariable;382,84;;
;;221;Suministros;;4.120,71;
;;22100;  Energía eléctrica;3.546,36;;
;;22101;  Agua;74,69;;
;;22102;  Gas;51,49;;
;;22103;  Combustible;105,59;;
;;22104;  Vestuario;35,45;;
;;22105;  Alimentación;0,30;;
;;22106;  Productos farmacéuticos y material sanitario;3,97;;
v;;22109;  Labores Fábrica Nacional Moneda y Timbre;10,00;;
;;22111;  Suministros de repuestos de maquinaria, utillaje y elementos de transporte;9,28;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;13,50;;
;;22199;  Otros suministros;270,08;;
;;222;Comunicaciones;;2.776,21;
;;22200;  Servicios de telecomunicaciones;2.772,42;;
;;22201;  Postales y mensajería;2,95;;
;;22299;  Otras;0,84;;
;;223;Transportes;;42,20;
;;224;Primas de seguros;;13,50;
;;225;Tributos;;985,87;
;;22500;  Estatales;4,22;;
;;22501;  Autonómicos;1,69;;
v;;22502;  Locales;979,96;;
;;226;Gastos diversos;;159,44;
v;;22601;  Atenciones protocolarias y representativas;0,34;;
;;22602;  Publicidad y propaganda;24,22;;
;;22603;  Jurídicos, contenciosos;103,81;;
;;22606;  Reuniones, conferencias y cursos;25,32;;
;;22699;  Otros;5,75;;
;;227;Trabajos realizados por otras empresas y profesionales;;19.556,03;
;;22700;  Limpieza y aseo;3.489,83;;
;;22701;  Seguridad;2.452,15;;
;;22704;  Custodia, depósito y almacenaje;7,64;;
;;22706;  Estudios y trabajos técnicos;13.100,00;;
;;22799;  Otros;506,41;;
;;23;Indemnizaciones por razón del servicio;;2.416,49;
;;230;Dietas;;896,65;
;;231;Locomoción;;887,90;
;;233;Otras indemnizaciones;;631,94;
;;24;Gastos de publicaciones;;0,41;
;;240;Gastos de edición y distribución;;0,41;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;37.809,83;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;79,20;
v;;352;Intereses de demora;;79,20;
;;;TOTAL GASTOS FINANCIEROS;;79,20;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;20.901.431,19;
v;;480;Prestaciones por desempleo;;14.838.188,71;
v;;48000;  Contributivas, incluso obligaciones de ejercicios anteriores;9.424.322,32;;
v;;48001;  Subsidio por desempleo, incluso obligaciones de ejercicios anteriores;4.981.994,90;;
v;;48002;  Subsidio por desempleo para eventuales del SEASS, incluso obligaciones de ejercicios anteriores;431.871,49;;
v;;487;Para pago de cuotas, subvenciones y bonificaciones a la Seguridad Social;;5.363.242,48;
v;;48700;  Cuotas de beneficiarios de prestaciones contributivas por desempleo, incluso obligaciones de ejercicios anteriores;3.581.242,48;;
v;;48701;  Cuotas de beneficiarios del subsidio por desempleo, incluso obligaciones de ejercicios anteriores;1.650.000,00;;
v;;48705;  Cuotas de beneficiarios del subsidio por desempleo para eventuales SEASS, incluso obligaciones de ejercicios anteriores;132.000,00;;
v;;488;Otras prestaciones económicas específicas;;700.000,00;
v;;48801;  Renta activa de inserción, incluso obligaciones de ejercicios anteriores;700.000,00;;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;20.901.431,19;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.276,88;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.276,88;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;6.047,63;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;6.047,63;
;;;TOTAL INVERSIONES REALES;;7.324,51;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;635,20;
v;;831;Préstamos a largo plazo;;635,20;
;;83108;  Familias e instituciones sin fines de lucro;635,20;;
;;;TOTAL ACTIVOS FINANCIEROS;;635,20;
 ; ;;;;;
;;;TOTAL Prestaciones a los desempleados;;21.278.019,88;
 ; ;;;;;
 ; ;;;;;
v;000X;;Transferencias y libramientos internos;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;40;A la Administración del Estado;;144.717,24;
v;;400;Reserva de gestión directa Servicio Público de Empleo Estatal. Gestión de servicios y programas de políticas activas de empleo en colaboración con órganos de la Administración General del Estado;;3.317,83;
v;;40000;  Reserva de gestión directa Servicio Público de Empleo Estatal. Oportunidades de empleo y fomento de la contratación (EJE 3);17,83;;
v;;40001;  Reserva de gestión directa Servicio Público de Empleo Estatal. Oportunidades de empleo y formación (EJE 2);3.300,00;;
v;;401;Reserva de gestión directa Servicio Público de Empleo Estatal. Cuotas de seguros de accidentes de alumnos, becas y/o ayudas a alumnos y subvenciones a centros y entidades de formación profesional para el empleo a parados, a órganos de la Administración General del Estado (EJE 2);;1.580,68;
v;;402;Al Estado, para compensar gastos de gestión centralizada;;7.172,90;
v;;403;Reserva de gestión directa Servicio Público de Empleo Estatal. Gestión de servicios y programas de políticas activas de empleo en colaboración con órganos de la Administración General del Estado (EJE 3);;25,49;
v;;404;Para financiar gastos derivados del uso de edificios compartidos;;89,40;
v;;409;Por las transferencias a las Comunidades Autónomas en políticas activas de empleo;;132.530,94;
v;;40901;  Transferencias en materia de servicios y programas de fomento del empleo (VARIOS EJES);105.194,98;;
v;;40902;  Transferencias en materia de servicios y programas de formación profesional para el empleo (EJE 2);27.335,96;;
v;;41;A Organismos Autónomos;;89.656,95;
v;;410;Reserva de gestión directa Servicio Público de Empleo Estatal. Oportunidades de empleo y fomento de la contratación de desempleados en obras y servicios de interés general y social por organismos autónomos de la Administración General del Estado (EJE 3);;5.872,17;
v;;41001;  Jefatura Central de Tráfico;216,48;;
v;;41003;  Instituto de la Cinematografía y de las Artes Audiovisuales;149,82;;
v;;41004;  Instituto Nacional de las Artes Escénicas y de la Música;105,87;;
v;;41005;  Instituto de la Juventud;1.000,00;;
v;;41008;  Consejo de Administración del Patrimonio Nacional;1.400,00;;
v;;41010;  Al organismo estatal Inspección de Trabajo y Seguridad Social;3.000,00;;
