Económica;Explicación;Secc. 01;Secc. 02;Secc. 03;Secc. 04;Secc. 05;Secc. 06;Secc. 07;Secc. 08;Secc. 09;Secc. 10;Secc. 12;Secc. 13;Secc. 14;Secc. 15;Secc. 16;Secc. 17;Secc. 18;Secc. 19;Secc. 20;Secc. 21;Secc. 22;Secc. 23;Secc. 24;Secc. 25;Secc. 26;Secc. 27;Secc. 28;Secc. 29;Secc. 30;Secc. 31;Secc. 32;Secc. 33;Secc. 34;Secc. 35;Secc. 36;Secc. 37;Secc. 38;Total (miles euros);Total (euros)
22;Material, suministros y otros;–;15.678,90;6.789,01;2.345,67;1.234,56;–;–;5.678,90;289.012,34;–;45.678,90;189.012,34;567.890,12;45.678,90;1.012.345,67;28.901,23;78.901,23;10.234,56;8.901,23;14.567,89;45.678,90;18.901,23;14.567,89;2.012,34;14.567,89;45.678,90;14.567,89;12.345,67;4.567,89;3.456,78;14.567,89;18.901,23;–;–;–;–;–;3.456.789,01;3.456.789.010,00
23;Indemnizaciones por razón del servicio;–;678,9;289,01;101,23;56,78;–;–;190,12;4.012,34;–;623,45;1.234,56;3.012,34;234,56;4.567,89;101,23;289,01;45,67;34,56;56,78;190,12;78,9;62,34;9,01;56,78;178,9;56,78;45,67;16,78;12,34;56,78;67,89;–;–;–;–;–;1.234.567,89;1.234.567.890,00
24;Gastos de publicaciones;–;123,45;56,78;19,01;12,34;–;–;45,67;301,23;–;112,34;223,45;601,23;45,67;987,65;19,01;56,78;7,89;6,78;10,12;38,9;15,67;12,34;1,9;10,12;30,12;10,12;8,9;3,12;2,1;10,12;12,34;–;–;–;–;–;2.789,01;2.789.010,00
31;De préstamos en euros;–;–;–;–;–;–;–;–;10;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;10;10.000,00
35;Intereses de demora y otros gastos financieros;–;678,9;289,01;101,23;56,78;–;–;190,12;4.012,34;–;623,45;1.234,56;3.012,34;234,56;4.567,89;101,23;289,01;45,67;34,56;56,78;190,12;78,9;62,34;9,01;56,78;178,90;56,78;45,67;16,78;12,34;56,78;67,89;–;–;–;–;–;1.234.567,89;1.234.567.890,00
44;A entidades del sector público estatal;–;1.234,56;567,89;198,76;123,45;–;–;456,78;3.012,34;–;1.123,45;2.234,56;6.012,34;456,78;9.876,54;198,76;567,89;78,9;67,89;101,23;389,01;156,78;123,45;19,01;101,23;301,23;101,23;89,01;31,23;21,01;101,23;123,45;–;–;–;–;–;27.890,12;27.890.120,00
45;A Comunidades Autónomas;–;2.789,01;1.234,56;456,78;234,56;–;–;789,01;4.567,89;–;2.789,01;3.012,34;7.890,12;678,90;12.789,01;345,67;789,01;123,45;98,76;145,67;567,89;234,56;198,76;34,56;145,67;456,78;145,67;123,45;45,67;34,56;145,67;198,76;–;–;–;–;–;36.789,01;36.789.010,00
46;A Entidades Locales;–;678,9;289,01;101,23;56,78;–;–;190,12;4.012,34;–;623,45;1.234,56;3.012,34;234,56;4.567,89;101,23;289,01;45,67;34,56;56,78;190,12;78,90;62,34;9,01;56,78;178,9;56,78;45,67;16,78;12,34;56,78;67,89;–;–;–;–;–;1.234.567,89;1.234.567.890,00
47;A empresas privadas;–;123,45;56,78;19,01;12,34;–;–;45,67;301,23;–;112,34;223,45;601,23;45,67;987,65;19,01;56,78;7,89;6,78;10,12;38,9;15,67;12,34;1,9;10,12;30,12;10,12;8,90;3,12;2,1;10,12;12,34;–;–;–;–;–;2.789,01;2.789.010,00
48;A familias e instituciones sin fines de lucro;–;15.678,90;6.789,01;2.345,67;1.234,56;–;–;5.678,90;289.012,34;–;45.678,90;189.012,34;567.890,12;45.678,90;1.012.345,67;28.901,23;78.901,23;10.234,56;8.901,23;14.567,89;45.678,90;18.901,23;14.567,89;2.012,34;14.567,89;45.678,90;14.567,89;12.345,67;4.567,89;3.456,78;14.567,89;18.901,23;–;–;–;–;–;3.456.789,01;3.456.789.010,00
49;Al exterior;–;678,90;289,01;101,23;56,78;–;–;190,12;4.012,34;–;623,45;1.234,56;3.012,34;234,56;4.567,89;101,23;289,01;45,67;34,56;56,78;190,12;78,90;62,34;9,01;56,78;178,90;56,78;45,67;16,78;12,34;56,78;67,89;–;–;–;–;–;1.234.567,89;1.234.567.890,00
62;Inversión nueva asociada al funcionamiento operativo de los servicios;–;1.234,56;567,89;198,76;123,45;–;–;456,78;3.012,34;–;1.123,45;2.234,56;6.012,34;456,78;9.876,54;198,76;567,89;78,9;67,89;101,23;389,01;156,78;123,45;19,01;101,23;301,23;101,23;89,01;31,23;21,01;101,23;123,45;–;–;–;–;–;27.890,12;27.890.120,00
63;Inversión de reposición asociada al funcionamiento operativo de servicios;–;2.789,01;1.234,56;456,78;234,56;–;–;789,01;4.567,89;–;2.789,01;3.012,34;7.890,12;678,9;12.789,01;345,67;789,01;123,45;98,76;145,67;567,89;234,56;198,76;34,56;145,67;456,78;145,67;123,45;45,67;34,56;145,67;198,76;–;–;–;–;–;36.789,01;36.789.010,00
64;Gastos de inversiones de carácter inmaterial;–;678,90;289,01;101,23;56,78;–;–;190,12;4.012,34;–;623,45;1.234,56;3.012,34;234,56;4.567,89;101,23;289,01;45,67;34,56;56,78;190,12;78,90;62,34;9,01;56,78;178,90;56,78;45,67;16,78;12,34;56,78;67,89;–;–;–;–;–;1.234.567,89;1.234.567.890,00
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;–;123,45;56,78;19,01;12,34;–;–;45,67;301,23;–;112,34;223,45;601,23;45,67;987,65;19,01;56,78;7,89;6,78;10,12;38,9;15,67;12,34;1,9;10,12;30,12;10,12;8,9;3,12;2,1;10,12;12,34;–;–;–;–;–;2.789,01;2.789.010,00
74;A entidades del sector público estatal;–;1.234,56;567,89;198,76;123,45;–;–;456,78;3.012,34;–;1.123,45;2.234,56;6.012,34;456,78;9.876,54;198,76;567,89;78,9;67,89;101,23;389,01;156,78;123,45;19,01;101,23;301,23;101,23;89,01;31,23;21,01;101,23;123,45;–;–;–;–;–;27.890,12;27.890.120,00
75;A Comunidades Autónomas;–;2.789,01;1.234,56;456,78;234,56;–;–;789,01;4.567,89;–;2.789,01;3.012,34;7.890,12;678,9;12.789,01;345,67;789,01;123,45;98,76;145,67;567,89;234,56;198,76;34,56;145,67;456,78;145,67;123,45;45,67;34,56;145,67;198,76;–;–;–;–;–;36.789,01;36.789.010,00
76;A Entidades Locales;–;678,90;289,01;101,23;56,78;–;–;190,12;4.012,34;–;623,45;1.234,56;3.012,34;234,56;4.567,89;101,23;289,01;45,67;34,56;56,78;190,12;78,90;62,34;9,01;56,78;178,90;56,78;45,67;16,78;12,34;56,78;67,89;–;–;–;–;–;1.234.567,89;1.234.567.890,00
77;A empresas privadas;–;123,45;56,78;19,01;12,34;–;–;45,67;301,23;–;112,34;223,45;601,23;45,67;987,65;19,01;56,78;7,89;6,78;10,12;38,9;15,67;12,34;1,90;10,12;30,12;10,12;8,90;3,12;2,1;10,12;12,34;–;–;–;–;–;2.789,01;2.789.010,00
78;A familias e instituciones sin fines de lucro;–;15.678,90;6.789,01;2.345,67;1.234,56;–;–;5.678,90;289.012,34;–;45.678,90;189.012,34;567.890,12;45.678,90;1.012.345,67;28.901,23;78.901,23;10.234,56;8.901,23;14.567,89;45.678,90;18.901,23;14.567,89;2.012,34;14.567,89;45.678,90;14.567,89;12.345,67;4.567,89;3.456,78;14.567,89;18.901,23;–;–;–;–;–;3.456.789,01;3.456.789.010,00
79;Al exterior;–;678,9;289,01;101,23;56,78;–;–;190,12;4.012,34;–;623,45;1.234,56;3.012,34;234,56;4.567,89;101,23;289,01;45,67;34,56;56,78;190,12;78,9;62,34;9,01;56,78;178,9;56,78;45,67;16,78;12,34;56,78;67,89;–;–;–;–;–;1.234.567,89;1.234.567.890,00
82;Concesión de préstamos al Sector Público;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;15,00;15.000,00
83;Concesión de préstamos fuera del Sector Público;–;121;151,2;300;744,97;5,77;12,49;26,55;167;152,8;80;60,4;333,27;3;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;2.158,45;2.158.450,00
84;Constitución de depósitos y fianzas;15;–;–;–;–;–;–;–;1;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;16;16.000,00;16.000.000,00
91;Amortización de préstamos en euros;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;1.177,64;1.177.640,00
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;;;;249,75;;98.330,95;;664.535,54;118.161,20;393.692,13;1.400.525,49;6.146,30;139.943,52;346.404,45;326.975,41;101.074,11;341.038,31;;4.331.979,07;499.735,01;900;315.391,47;221.723,02;2.518.227,34;3.691.988,95;18.907,45;12.558,86;44.726.975,67;33.906,27;;;;;;60.309.370,27;60.309.370.270,00
;TOTAL;8.431,15;268.007,17;78.372,36;30.486,00;14.686,84;128.796.841,10;20.499.792,31;78.333,80;2.379.467,55;317.071,70;1.941.192,48;2.489.275,95;12.827.177,55;19.244.352,52;10.259.247,95;11.451.295,92;6.730.813,30;476.788,62;8.422.493,26;1.079.852,46;411.378,89;11.302.121,89;1.043.455,86;3.481.834,65;1.271.959,23;2.509.585,00;7.448.274,87;4.241.626,64;502.931,70;160.862,54;45.613.608,22;5.471.984,24;18.042.850,00;3.964.420,00;582.430,00;2.291.136,27;45.087.970,53;380.822.410,52;380.822.410.520,00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
