Sección;Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44904;CELLS – Laboratorio de Luz Sincrotrón;13.277,36;13.277.360
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44905;Grantecan S.A.;5.475,00;5.475.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44906;BSC-CNS;8.673,00;8.673.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44907;LSC – Laboratorio Subterráneo de Canfranc;1.056,61;1.056.610
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44908;CENIEH;2.117,50;2.117.500
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44909;IAC – Telescopios Grupo ING;600;600.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44910;IAC – Cherenkov Telescope Array;100;100.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44911;CNH2 – Tecnologías del Hidrógeno;1.260,79;1.260.790
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;44912;IAC – Telescopio Solar Europeo;500;500.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;45;A Comunidades Autónomas;7.735,00;7.735.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;450;Fundación Dinópolis;600;600.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;45901;Fundación CENER;4.000,00;4.000.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;45902;Fundación Física del Cosmos de Aragón;1.800,00;1.800.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;45904;Universidad de Zaragoza – nodo CECAM;75;75.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;45905;Fundación Ibercivis;60;60.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;45906;FIHAC – Instituto Hidráulica Ambiental;200;200.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;45907;CRG – Laboratorio EMBL;1.000,00;1.000.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;48;Fundación PRIMA;176;176.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;49;Al exterior;148.592,80;148.592.800
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;49009;ICDP – perforación continental;66,67;66.670
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;49010;ECORD – perforación oceánica;750;750.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;49039;Organismos polares internacionales;88;88.000
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;—;TOTAL TRANSFERENCIAS CORRIENTES;196.381,09;196.381.090
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;6;INVERSIONES REALES;543,14;543.140
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;74–79;Transferencias de capital (SOCIB, CLPU, ESO, etc.);53.715,75;53.715.750
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;82;Préstamos al Sector Público;1.404.696,94;1.404.696.940
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;83;Préstamos fuera del Sector Público;452.767,62;452.767.620
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;—;TOTAL ACTIVOS FINANCIEROS;1.857.464,56;1.857.464.560
28.07;DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;—;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN;2.111.248,94;2.111.248.940
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;15;Incentivos al rendimiento;924,43;924.430
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;150;Productividad;916,02;916.020
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;151;Gratificaciones;8,41;8.410
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;16200;Formación y perfeccionamiento del personal;36,08;36.080
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;16201;Economatos y comedores;17,7;17.700
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;16204;Acción social;65,5;65.500
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;—;TOTAL GASTOS DE PERSONAL;12.345,37;12.345.370
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;22601;Atenciones protocolarias y representativas;2,13;2.130
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;7;TRANSFERENCIAS DE CAPITAL;734.980,44;734.980.440
28.303;AGENCIA ESTATAL DE INVESTIGACIÓN;—;TOTAL AGENCIA ESTATAL DE INVESTIGACIÓN;766.803,16;766.803.160
;;;Secretaría General de Investigación;138.044,75;138.044.750
;;;Dirección General de Planificación;2.111.248,94;2.111.248.940
;;;Agencia Estatal de Investigación;766.803,16;766.803.160
;;;TOTAL PROGRAMA 463B;3.016.096,85;3.016.096.850
