Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
4;232F;1;GASTOS DE PERSONAL;567,81;567.810
4;232F;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.298,90;2.298.900
4;232F;4;TRANSFERENCIAS CORRIENTES;4.615,00;4.615.000
—;—;—;TOTAL Derechos de los animales;7.481,71;7.481.710
—;—;—;TOTAL DIRECCIÓN GENERAL DE DERECHOS DE LOS ANIMALES;7.481,71;7.481.710
5;231F;1;GASTOS DE PERSONAL;3.273,28;3.273.280
5;231F;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;907,29;907.290
5;231F;4;TRANSFERENCIAS CORRIENTES;428.938,44;428.938.440
5;231F;7;TRANSFERENCIAS DE CAPITAL;7.000,00;7.000.000
—;—;—;TOTAL Otros servicios sociales del Estado;440.119,01;440.119.010
5;231G;1;GASTOS DE PERSONAL;721;721.000
5;231G;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.308,05;1.308.050
5;231G;4;TRANSFERENCIAS CORRIENTES;1.083,93;1.083.930
—;—;—;TOTAL Atención a la infancia y a las familias;3.112,98;3.112.980
—;—;—;TOTAL DIRECCIÓN GENERAL DE DIVERSIDAD FAMILIAR Y SERVICIOS SOCIALES;443.231,99;443.231.990
6;231F;1;GASTOS DE PERSONAL;1.930,51;1.930.510
6;231F;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;418,5;418.500
6;231F;4;TRANSFERENCIAS CORRIENTES;5.420,00;5.420.000
—;—;—;TOTAL Otros servicios sociales del Estado;7.769,01;7.769.010
—;—;—;TOTAL DIRECCIÓN GENERAL DE DERECHOS DE LAS PERSONAS CON DISCAPACIDAD;7.769,01;7.769.010
7;921Y;1;GASTOS DE PERSONAL;1.790,53;1.790.530
7;921Y;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.454,44;3.454.440
7;921Y;4;TRANSFERENCIAS CORRIENTES;19.400,00;19.400.000
—;—;—;TOTAL Agenda 2030;24.644,97;24.644.970
—;—;—;TOTAL DIRECCIÓN GENERAL DE AGENDA 2030;24.644,97;24.644.970
8;498M;1;GASTOS DE PERSONAL;386,09;386.090
8;498M;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;934,68;934.680
—;—;—;TOTAL Dirección y Servicios Generales de Consumo;1.320,77;1.320.770
8;000X;4;TRANSFERENCIAS CORRIENTES;11.711,67;11.711.670
8;000X;7;TRANSFERENCIAS DE CAPITAL;2.341,45;2.341.450
—;—;—;TOTAL Transferencias y libramientos internos;14.053,12;14.053.120
—;—;—;TOTAL SECRETARÍA GENERAL DE CONSUMO Y JUEGO;15.373,89;15.373.890
9;492O;1;GASTOS DE PERSONAL;8.405,13;8.405.130
9;492O;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.584,19;2.584.190
9;492O;3;GASTOS FINANCIEROS;5;5.000
9;492O;4;TRANSFERENCIAS CORRIENTES;5.585,46;5.585.460
9;492O;6;INVERSIONES REALES;980;980.000
—;—;—;TOTAL Protección y promoción de los derechos de los consumidores y usuarios;17.559,78;17.559.780
—;—;—;TOTAL DIRECCIÓN GENERAL DE CONSUMO;17.559,78;17.559.780
10;496M;1;GASTOS DE PERSONAL;2.332,15;2.332.150
10;496M;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.065,60;4.065.600
10;496M;4;TRANSFERENCIAS CORRIENTES;2.225,00;2.225.000
10;496M;6;INVERSIONES REALES;3.741,85;3.741.850
—;—;—;TOTAL Regulación del juego;12.364,60;12.364.600
—;—;—;TOTAL DIRECCIÓN GENERAL DE ORDENACIÓN DEL JUEGO;12.364,60;12.364.600
;;;TOTAL MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;4.241.626,64;4.241.626.640
