Servicio;Programa;Económica;Explicación;Total (miles €);Total (€);
1;451O;49012;Iniciativa MedWet – Convención Ramsar;0,023;23;
1;451O;49014;Unión Mundial para la Conservación de la Naturaleza (UICN);0,305;305;
1;451O;49018;OCDE – Control de productos químicos;0,061;61;
1;451O;49019;Convenio Ramsar – Humedales;0,105;105;
1;451O;49025;Protocolo EMEP – Contaminación atmosférica;0,13;130;
1;451O;49028;Convenio de Bonn – Especies Migratorias (CMS);0,135;135;34.075,15
1;451O;49029;Conservación de Aves Acuáticas Migratorias (AEWA);0,075;75;
1;451O;49031;FOREST EUROPE – Protección de bosques paneuropea;0,035;35;
1;451O;49038;PNUMA – Contaminación por plásticos;0,07;70;11.546,00
1;451O;49039;Convenio de Aarhus;0,005;5;11.546,00
1;451O;49040;European Forest Institute (EFI);0,05;50;
1;451O;49041;CODIA – Directores Iberoamericanos del Agua;0,055;55;
1;451O;49042;Estrategia del agua para el Mediterráneo Occidental;0,075;75;
1;451O;49046;Centro de Cooperación del Mediterráneo – UICN;0,4;400;
1;451O;49049;IPCC – Grupo Intergubernamental sobre Cambio Climático;0,2;200;
1;451O;49050;ICAP – International Carbon Action Partnership;0,05;50;
1;451O;49051;CMNUCC – Convención Marco sobre Cambio Climático;0,5;500;
1;451O;49052;CRTC – Centro y Red de Tecnología del Clima;0,1;100;
1;451O;49053;MEDACES – Cetáceos del Mediterráneo (ACCOBAMS);0,018;18;
1;451O;49055;EUFORGEN – Recursos Genéticos Forestales;0,016;16;
1;451O;49056;ICP-Forest – Contaminación atmosférica en bosques;0,005;5;
1;451O;49057;Convenio de Viena;0,02;20;
1;451O;49058;Protocolo de Montreal;0,07;70;
1;451O;49059;Red Medioambiental IMPEL;0,005;5;
1;451O;49060;SEMIDE – Sistema de Información de Agua en el Mediterráneo;0,02;20;
1;451O;49061;CEPAL – Actuaciones de la RIOCC;0,1;100;
1;451O;49063;AIE-CETP – Energía Limpia (Agencia Internacional de la Energía);0,7;700;
1;451O;49070;ESPON – Cohesión Territorial;0,098;98;
1;451O;49073;Fondo de Adaptación CMNUCC – Ley 7/2021;5.000,00;5.000.000,00;
1;451O;49074;IAHR – Ingeniería e Investigación Hidroambiental;0,06;60;
1;451O;49077;Convenio de Espoo – Evaluación ambiental transfronteriza;0,01;10;
1;451O;49078;EUROBATS – Conservación de Murciélagos Europeos;0,05;50;
1;451O;49079;Silva Mediterránea – FAO;0,05;50;
1;451O;49081;Carta de la Energía;0,211;211;
1;451O;49082;Grupo Internacional de Estudios del Cobre;0,021;21;
1;451O;49083;Organismo Internacional de la Energía Atómica;0,5;500;
1;451O;49084;CITES – Comercio Internacional de Especies Amenazadas;0,13;130;
1;451O;49085;Convenio de Berna – Vida Silvestre y Medio Natural;0,04;40;
1;451O;49086;Red INTEGRATE – Biodiversidad y Gestión Forestal;0,03;30;
1;451O;49090;Convenio de Minamata – Mercurio (PNUMA);0,11;110;
1;451O;49091;IPBES – Biodiversidad y Servicios de Ecosistemas;0,04;40;
1;451O;49092;MedFUND – Áreas Marinas Protegidas del Mediterráneo;0,04;40;
1;451O;49093;Fondo Medioambiental del PNUMA;1.300,00;1.300.000,00;
1;451O;49094;Red EPA – Agencias de protección medioambiental europeas;0,005;5;
1;451O;49095;OCDE – Registros PRTR;0,01;10;
1;451O;49096;PRTR UNECE – Protocolo de desarrollo;0,01;10;
;;;TOTAL TRANSFERENCIAS CORRIENTES;11.546,00;11.546.000,00;
1;451O;75;A Comunidades Autónomas;13.170,00;13.170.000,00;
1;451O;750;Otras actuaciones del Departamento;12.170,00;12.170.000,00;
1;451O;751;Universidad Pública de Navarra – Proyecto sostenible;1.000,00;1.000.000,00;
;;;TOTAL TRANSFERENCIAS DE CAPITAL;13.170,00;13.170.000,00;
1;451O;;Dirección y Servicios Generales para la Transición Ecológica y el Reto Demográfico;58.791,15;58.791.150,00;
2;451O;10;Altos cargos;61,04;61.040,00;
2;451O;100;Retribuciones básicas y otras remuneraciones;61,04;61.040,00;
2;451O;10000;Retribuciones básicas;18,91;18.910,00;
2;451O;10001;Retribuciones complementarias;42,13;42.130,00;
2;451O;12;Funcionarios;1.881,84;1.881.840,00;
2;451O;120;Retribuciones básicas;868,05;868.050,00;
2;451O;12000;Sueldos grupo A1 y A;237,83;237.830,00;11.546,00
2;451O;12001;Sueldos grupo A2 y B;109,25;109.250,00;
2;451O;12002;Sueldos grupo C1 y C;120,63;120.630,00;
2;451O;12003;Sueldos grupo C2 y D;96,38;96.380,00;13.170,00
2;451O;12005;Trienios;141,86;141.860,00;12.170,00
2;451O;12006;Pagas extraordinarias;162,1;162.100,00;1.000,00
2;451O;121;Retribuciones complementarias;1.013,79;1.013.790,00;13.170,00
2;451O;12100;Complemento de destino;416,99;416.990,00;
2;451O;12101;Complemento específico;596,8;596.800,00;58.791,15
2;451O;16;Cuotas, prestaciones y gastos sociales;222,56;222.560,00;
2;451O;160;Cuotas sociales;222,56;222.560,00;58.791,15
2;451O;16000;Seguridad Social;222,56;222.560,00;
 ; ;;TOTAL GASTOS DE PERSONAL;2.165,44;2.165.440,00;
2;451O;;Dirección y Servicios Generales para la Transición Ecológica y el Reto Demográfico;2.165,44;2.165.440,00;
3;425A;10;Altos cargos;151,45;151.450,00;
3;425A;11;Personal eventual;251,09;251.090,00;
3;425A;12;Funcionarios;1.504,78;1.504.780,00;
3;425A;16;Cuotas, prestaciones y gastos sociales;303,18;303.180,00;
—;—;—;Total Gastos de Personal;2.210,50;2.210.500,00;151,45
3;425A;44;A entidades del sector público estatal;27.500,00;27.500.000,00;
3;425A;45;A Comunidades Autónomas;255.000,00;255.000.000,00;
3;425A;48;A familias e instituciones sin fines de lucro;3.951,44;3.951.440,00;251,09
—;—;—;Total Transferencias Corrientes;286.451,44;286.451.440,00;251,09
3;425A;64;Gastos de inversiones inmateriales;16.086,93;16.086.930,00;
3;425A;74;A entidades del sector público estatal;32.266,00;32.266.000,00;
3;425A;76;A Entidades Locales;2.000,00;2.000.000,00;1.504,78
—;—;—;Total Transferencias de Capital;34.266,00;34.266.000,00;677,84
3;425A;82;Préstamos al Sector Público;471.220,64;471.220.640,00;
3;425A;;Normativa y desarrollo energético;810.235,51;810.235.510,00;
3;000X;41;A Organismos Autónomos;165.559,34;165.559.340,00;
3;000X;43;A otras entidades del Sector Público Administrativo Estatal;400;400.000,00;
—;—;—;Total Transferencias Corrientes;165.959,34;165.959.340,00;
3;000X;71;A Organismos Autónomos;61.321,81;61.321.810,00;826,94
3;000X;73;A otras entidades del Sector Público Administrativo Estatal;3.514.791,75;3.514.791.750,00;
—;—;—;Total Transferencias de Capital;3.576.113,56;3.576.113.560,00;
3;000X;;Transferencias y libramientos internos;3.742.072,90;3.742.072.900,00;303,18
3;;;Secretaría de Estado de Energía;4.552.308,41;4.552.308.410,00;303,18
4;452M;10;Altos cargos;80,3;80.300,00;
4;452M;11;Personal eventual;251,09;251.090,00;
4;452M;12;Funcionarios;727,82;727.820,00;
4;452M;16;Cuotas, prestaciones y gastos sociales;115,27;115.270,00;
—;—;—;Total Gastos de Personal;1.174,48;1.174.480,00;80,3
4;452M;45;A Comunidades Autónomas;8.500,00;8.500.000,00;80,3
4;452M;Normativa y ordenación territorial de los recursos hídricos;9.674,48;9.674.480,00;60,39;
4;456M;48;A familias e instituciones sin fines de lucro;875;875.000,00;251,09
4;456M;64;Gastos de inversiones inmateriales;468,24;468.240,00;
4;456M;;Prevención de la contaminación y cambio climático;1.343,24;1.343.240,00;727,82
4;000X;41;A Organismos Autónomos;11.681,35;11.681.350,00;333,7
4;000X;43;A otras entidades del Sector Público Administrativo Estatal;28.840,64;28.840.640,00;
—;—;—;Total Transferencias Corrientes;40.521,99;40.521.990,00;
4;000X;71;A Organismos Autónomos;26.128,66;26.128.660,00;
4;000X;73;A otras entidades del Sector Público Administrativo Estatal;34.458,66;34.458.660,00;
—;—;—;Total Transferencias de Capital;60.587,32;60.587.320,00;
4;000X;;Transferencias y libramientos internos;101.109,31;101.109.310,00;
4;;;Secretaría de Estado de Medio Ambiente;112.127,03;112.127.030,00;394,12
5;452A;10;Altos cargos;61,04;61.040,00;
5;452A;12;Funcionarios;5.628,80;5.628.800,00;
5;452A;13;Laborales;465,76;465.760,00;
5;452A;16;Cuotas, prestaciones y gastos sociales;934,91;934.910,00;
—;—;—;Total Gastos de Personal;7.090,51;7.090.510,00;61,04
5;452A;45;A Comunidades Autónomas;8.000,00;8.000.000,00;61,04
5;452A;60–64;Infraestructuras, reposición, funcionamiento y gastos inmateriales;220.800,00;220.800.000,00;
5;452A;74–76;A entidades públicas, CCAA y locales;60.306,00;60.306.000,00;5.628,80
5;452A;;Gestión e infraestructuras del agua;296.196,51;296.196.510,00;
5;452M;85;Adquisición de acciones y participaciones del Sector Público;386.820,49;386.820.490,00;
5;452M;;Normativa y ordenación territorial del agua;386.820,49;386.820.490,00;
5;456A;12;Funcionarios;763,17;763.170,00;
5;456A;16;Cuotas, prestaciones y gastos sociales;145,78;145.780,00;
—;—;—;Total Gastos de Personal;908,95;908.950,00;
5;456A;49;A la Unión Europea – Sentencia TJUE;6.261,75;6.261.750,00;
5;456A;60–64;Infraestructuras y gastos inmateriales;206.085,72;206.085.720,00;
5;456A;75;A Comunidades Autónomas;1;1.000,00;465,76
5;456A;;Calidad del agua;213.257,42;213.257.420,00;465,76
5;000X;41;A Organismos Autónomos;83.311,80;83.311.800,00;
5;000X;71–73;Confederaciones Hidrográficas, Patrimonio Nacional, CSIC;66.820,00;66.820.000,00;934,91
5;000X;;Transferencias y libramientos internos;150.131,80;150.131.800,00;7.090,51
5;;;Dirección General del Agua;1.046.406,22;1.046.406.220,00;
6;456D;10;Altos cargos;61,04;61.040,00;
6;456D;12;Funcionarios;14.188,49;14.188.490,00;
6;456D;13;Laborales;6.665,74;6.665.740,00;
6;456D;16;Cuotas, prestaciones y gastos sociales;4.155,39;4.155.390,00;61,04
—;—;—;Total Gastos de Personal;25.070,66;25.070.660,00;61,04
6;456D;48;A familias e instituciones sin fines de lucro;1.869,28;1.869.280,00;
6;456D;60;Inversión nueva en infraestructuras;39.719,32;39.719.320,00;14.188,49
6;456D;61;Inversión de reposición en infraestructuras;18.046,19;18.046.190,00;7.278,31
6;456D;63;Reposición operativa de servicios;231,14;231.140,00;
6;456D;64;Gastos de inversiones inmateriales;10.768,86;10.768.860,00;
—;—;—;Total Inversiones Reales;68.765,51;68.765.510,00;
6;456D;76;A Entidades Locales;950;950.000,00;
6;456D;;Actuación en la costa;96.655,45;96.655.450,00;
6;;;Dirección General de la Costa y del Mar;96.655,45;96.655.450,00;6.910,18
8;456B;10;Altos cargos;61,04;61.040,00;
8;456B;12;Funcionarios;5.755,64;5.755.640,00;
8;456B;13;Laborales;21,67;21.670,00;
8;456B;16;Cuotas, prestaciones y gastos sociales;1.096,32;1.096.320,00;6.665,74
—;—;—;Total Gastos de Personal;6.934,67;6.934.670,00;6.665,74
8;456B;64;Gastos de inversiones de carácter inmaterial;7.040,08;7.040.080,00;
8;456B;75;A Comunidades Autónomas;8.500,13;8.500.130,00;4.155,39
8;456B;76;A Entidades Locales;2.700,00;2.700.000,00;4.155,39
—;—;—;Total Transferencias de Capital;11.200,13;11.200.130,00;
8;456B;;Protección y mejora del medio ambiente;25.174,88;25.174.880,00;
8;000X;71;A Organismos Autónomos;919,57;919.570,00;
8;000X;73;A otras entidades del Sector Público Administrativo Estatal;1.295,99;1.295.990,00;1.869,28
—;—;—;Total Transferencias de Capital;2.215,56;2.215.560,00;1.869,28
8;000X;;Transferencias y libramientos internos;2.215,56;2.215.560,00;
8;;;Dirección General de Calidad y Evaluación Ambiental;27.390,44;27.390.440,00;
9;423N;12;Funcionarios;661,65;661.650,00;
9;423N;16;Cuotas, prestaciones y gastos sociales;45,87;45.870,00;
—;—;—;Total Gastos de Personal;707,52;707.520,00;
9;423N;44;A entidades del sector público estatal;4.580,00;4.580.000,00;661,65
9;423N;48;A familias e instituciones sin fines de lucro;0,01;10;301,4
—;—;—;Total Transferencias Corrientes;4.580,01;4.580.010,00;
9;423N;75;A Comunidades Autónomas;6.621,51;6.621.510,00;
9;423N;77;A empresas privadas;2.000,00;2.000.000,00;
9;423N;78;A familias e instituciones sin fines de lucro;500;500.000,00;
—;—;—;Total Transferencias de Capital;9.121,51;9.121.510,00;
9;423N;;Explotación minera;14.409,04;14.409.040,00;14.409.040,00
9;425A;10;Altos cargos;61,04;61.040,00;
9;425A;12;Funcionarios;3.583,01;3.583.010,00;
9;425A;16;Cuotas, prestaciones y gastos sociales;550,81;550.810,00;45,87
—;—;—;Total Gastos de Personal;4.194,86;4.194.860,00;45,87
9;425A;64;Gastos de inversiones inmateriales;11.536,05;11.536.050,00;
9;425A;;Normativa y desarrollo energético;15.730,91;15.730.910,00;
9;;;Dirección General de Política Energética y Minas;30.139,95;30.139.950,00;
10;456M;10;Altos cargos;61,04;61.040,00;4.580,00
10;456M;12;Funcionarios;2.280,66;2.280.660,00;4.580,00
10;456M;16;Cuotas, prestaciones y gastos sociales;439,93;439.930,00;0,01
—;—;—;Total Gastos de Personal;2.781,63;2.781.630,00;0,01
10;456M;48;A familias e instituciones sin fines de lucro;222,28;222.280,00;
10;456M;64;Gastos de inversiones de carácter inmaterial;1.500,00;1.500.000,00;
10;456M;74;A entidades del sector público estatal;3.300,00;3.300.000,00;6.621,51
10;456M;75;A Comunidades Autónomas;7.500,00;7.500.000,00;1.001,51
—;—;—;Total Transferencias de Capital;10.800,00;10.800.000,00;200
10;456M;87;Aportaciones patrimoniales;12.000,00;12.000.000,00;2.000,00
10;456M;;Actuaciones para la prevención de la contaminación y el cambio climático;27.303,91;27.303.910,00;
10;;;Oficina Española del Cambio Climático;27.303,91;27.303.910,00;500
11;456C;10;Altos cargos;61,04;61.040,00;
11;456C;12;Funcionarios;4.776,08;4.776.080,00;
11;456C;13;Laborales;640,41;640.410,00;61,04
11;456C;16;Cuotas, prestaciones y gastos sociales;1.075,40;1.075.400,00;61,04
—;—;—;Total Gastos de Personal;6.552,93;6.552.930,00;
11;456C;44;A entidades del sector público estatal;14.827,42;14.827.420,00;4.776,08
11;456C;46;A Entidades Locales;20;20.000,00;2.316,60
11;456C;48;A familias e instituciones sin fines de lucro;350;350.000,00;
—;—;—;Total Transferencias Corrientes;15.197,42;15.197.420,00;
11;456C;60–64;Infraestructuras, reposición, funcionamiento y gastos inmateriales;142.667,20;142.667.200,00;
11;456C;74;A entidades del sector público estatal;1.549,18;1.549.180,00;
11;456C;75;A Comunidades Autónomas;22.000,00;22.000.000,00;
11;456C;76;A Entidades Locales;100;100.000,00;2.459,48
—;—;—;Total Transferencias de Capital;23.649,18;23.649.180,00;
11;456C;82;Préstamos al Sector Público;22.000,00;22.000.000,00;
11;456C;;Protección y mejora del medio natural;210.066,73;210.066.730,00;640,41
11;000X;73;A otras entidades del Sector Público Administrativo Estatal;2.453,36;2.453.360,00;640,41
11;000X;;Transferencias y libramientos internos;2.453,36;2.453.360,00;
11;;;Dirección General de Biodiversidad, Bosques y Desertificación;212.520,09;212.520.090,00;1.075,40
12;451O;10;Altos cargos;61,04;61.040,00;
12;451O;12;Funcionarios;6.603,88;6.603.880,00;
12;451O;13;Laborales;2.330,35;2.330.350,00;
12;451O;16;Cuotas, prestaciones y gastos sociales;1.498,02;1.498.020,00;
—;—;—;Total Gastos de Personal;10.493,29;10.493.290,00;61,04
12;451O;20–24;Arrendamientos, reparaciones, suministros, indemnizaciones, publicaciones;24.581,51;24.581.510,00;61,04
12;451O;35;Intereses de demora y otros gastos financieros;15,17;15.170,00;
12;451O;47–48;A empresas privadas y familias/instituciones sin fines de lucro;4.725,53;4.725.530,00;
12;451O;62–64;Inversión nueva, reposición y gastos inmateriales;12.300,00;12.300.000,00;6.603,88
12;451O;83–84;Préstamos y fianzas fuera del sector público;168,36;168.360,00;3.149,57
12;451O;;Dirección y Servicios Generales para la Transición Ecológica y el Reto Demográfico;52.283,86;52.283.860,00;
12;456C;76;A Entidades Locales;14.670,69;14.670.690,00;
12;456C;;Protección y mejora del medio natural;14.670,69;14.670.690,00;
12;;;Dirección General de Servicios;66.954,55;66.954.550,00;
13;456E;10;Altos cargos;71,16;71.160,00;
13;456E;12;Funcionarios;348,71;348.710,00;
13;456E;16;Cuotas, prestaciones y gastos sociales;66,73;66.730,00;
—;—;—;Total Gastos de Personal;486,6;486.600,00;
13;456E;;Reto demográfico y lucha contra la despoblación;486,6;486.600,00;71,16
13;;;Secretaría General para el Reto Demográfico;486,6;486.600,00;
14;456E;10;Altos cargos;61,04;61.040,00;348,71
14;456E;12;Funcionarios;762,81;762.810,00;145,67
14;456E;16;Cuotas, prestaciones y gastos sociales;128,5;128.500,00;
—;—;—;Total Gastos de Personal;952,35;952.350,00;
14;456E;44–48;A entidades públicas, privadas y sin fines de lucro;29.908,97;29.908.970,00;
14;456E;64;Gastos de inversiones inmateriales;500;500.000,00;
14;456E;75–78;A Comunidades Autónomas, Entidades Locales, empresas y familias;39.797,16;39.797.160,00;203,04
14;456E;;Reto demográfico y lucha contra la despoblación;71.158,48;71.158.480,00;
14;000X;41;A Organismos Autónomos;193,87;193.870,00;66,73
14;000X;;Transferencias y libramientos internos;193,87;193.870,00;66,73
14;;;Dirección General de Políticas contra la Despoblación;71.352,35;71.352.350,00;
50;42AB;74;Plan de incentivos a la electromovilidad, recarga e hidrógeno verde;455.000,00;455.000.000,00;
50;42BC;74;Programa de rehabilitación energética de edificios (PREE);300.000,00;300.000.000,00;
50;42BD;74;Programa de regeneración y reto demográfico;225.000,00;225.000.000,00;
50;42GA;74;Desarrollo de energías renovables innovadoras;730.000,00;730.000.000,00;
50;42GB;74;Energía sostenible en las islas;25.000,00;25.000.000,00;455.000,00
50;42HA;74;Despliegue del almacenamiento energético;93.747,41;93.747.410,00;455.000,00
50;42HB;77;Digitalización de las redes (empresas privadas);150.000,00;150.000.000,00;
50;42HC;74;Nuevos modelos de negocio en la transición energética;56.000,00;56.000.000,00;455.000,00
50;42IA;74;Hidrógeno renovable: un proyecto país;672.817,00;672.817.000,00;
50;42KD;74;Plan de Transición Energética en la Administración General del Estado;1.346,60;1.346.600,00;455.000,00
 ; ;;Total Transferencias de Capital;2.759.911,01;2.759.911.010,00;
50;42GA;82;Préstamos al IDAE para PERTE ERHA – energías renovables innovadoras;50.000,00;50.000.000,00;
50;45DA;69;Digitalización y conocimiento del patrimonio natural;45.361,67;45.361.670,00;
;;;Total Inversiones Reales;45.361,67;45.361.670,00;300.000,00
50;;;Mecanismo de Recuperación y Resiliencia;2.855.272,68;2.855.272.680,00;300.000,00
50;C04.I02;6;Inversiones reales;45.361,67;45.361.670,00;
50;C04.I02;7;Transferencias de capital;2.977,39;2.977.390,00;
50;;—;Total Programa C04.I01;48.339,06;48.339.060,00;
50;C04.I02;6;Inversiones reales;72.480,61;72.480.610,00;300.000,00
50;C04.I02;7;Transferencias de capital al FRER;200;200.000,00;
—;—;—;Total Programa C04.I02;72.680,61;72.680.610,00;
50;C04.I03;6;Inversiones reales;70.639,60;70.639.600,00;225.000,00
50;C04.I03;7;Transferencias de capital al FRER y a Entidades Locales;11.970,50;11.970.500,00;225.000,00
—;—;—;Total Programa C04.I03;82.610,10;82.610.100,00;
50;C04.I04;6;Inversiones reales;88.640,03;88.640.030,00;225.000,00
50;C04.I04;7;Transferencias de capital al FRER;2.366,38;2.366.380,00;
—;—;—;Total Programa C04.I04;91.006,41;91.006.410,00;225.000,00
50;C05.I01;7;Transferencias de capital al FRER y a ACUAES/ACUAMED;187.000,00;187.000.000,00;
—;—;—;Total Programa C05.I01;187.000,00;187.000.000,00;
50;C05.I02;7;Transferencias de capital al FRER, ACUAES, ACUAMED, Fundación Biodiversidad, CCAA;492.980,19;492.980.190,00;730.000,00
—;—;—;Total Programa C05.I02;492.980,19;492.980.190,00;
50;C05.I03;7;Transferencias de capital al FRER;370.000,00;370.000.000,00;
—;—;—;Total Programa C05.I03;370.000,00;370.000.000,00;
50;C04.I01 a C05.I03;;;1.344.616,37;1.344.616.370,00;50.000,00
50;C05.I04;7;Transferencias de capital al FRER;136.733,33;136.733.330,00;50.000,00
—;—;—;Total Programa C05.I04;136.733,33;136.733.330,00;
50;C12.I03;6;Inversiones reales;992,97;992.970,00;
50;C12.I03;7;Transferencias de capital al IDAE, FRER y CCAA;249.007,03;249.007.030,00;780.000,00
—;—;—;Total Programa C12.I03;250.000,00;250.000.000,00;
50;C19.I01;4;Transferencias corrientes a entidades públicas, locales y sin ánimo de lucro;77.500,00;77.500.000,00;
50;C19.I01;7;Transferencias de capital a CCAA, entidades locales y sin ánimo de lucro;12.500,00;12.500.000,00;25.000,00
—;—;—;Total Programa C19.I01;90.000,00;90.000.000,00;25.000,00
50;C05.I03;7;Transferencias de capital al FRER y al BSC-CNS;83.457,32;83.457.320,00;
—;—;—;Total Programa C05.I03 (otras actuaciones);83.457,32;83.457.320,00;25.000,00
50;000X;7;Transferencias de capital a organismos autónomos, Parques Nacionales, CSIC, AEMET, etc.;333.802,27;333.802.270,00;
—;—;—;Total Programa 000X;333.802,27;333.802.270,00;25.000,00
50;;;C05.I04 a 000X;894.493,92;894.493.920,00;
50;;;Mecanismo de Recuperación y Resiliencia;4.997.520,30;4.997.520.300,00;
;;;MITECO;11.302.121,89;11.302.121.890,00;
