;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Organismo: 101 INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;16200;  Formación y perfeccionamiento del personal;156,03;;
v;;16201;  Economatos y comedores;177,06;;
v;;16204;  Acción social;206,32;;
;;;TOTAL GASTOS DE PERSONAL;;78.288,35;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;437,37;
;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;16,00;
;;206;Arrendamientos de equipos para procesos de información;;362,52;
;;208;Arrendamientos de otro inmovilizado material;;50,00;
;;209;Cánones;;8,85;
;;21;Reparaciones, mantenimiento y conservación;;9.980,34;
;;212;Edificios y otras construcciones;;5.000,00;
;;213;Maquinaria, instalaciones y utillaje;;4.000,00;
;;214;Elementos de transporte;;205,81;
;;215;Mobiliario y enseres;;100,00;
;;216;Equipos para procesos de la información;;671,53;
;;219;Otro inmovilizado material;;3,00;
;;22;Material, suministros y otros;;45.246,42;
;;220;Material de oficina;;301,13;
;;22000;  Ordinario no inventariable;56,13;;
;;22001;  Prensa, revistas, libros y otras publicaciones;200,00;;
;;22002;  Material informático no inventariable;45,00;;
;;221;Suministros;;12.906,30;
;;22100;  Energía eléctrica;7.000,00;;
;;22101;  Agua;428,31;;
;;22102;  Gas;1.500,00;;
;;22103;  Combustible;1.900,00;;
;;22104;  Vestuario;28,99;;
;;22105;  Alimentación;100,00;;
;;22106;  Productos farmacéuticos y material sanitario;30,00;;
;;22111;  Suministros de repuestos de maquinaria, utillaje y elementos de transporte;80,00;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;140,00;;
;;22199;  Otros suministros;1.699,00;;
;;222;Comunicaciones;;103,00;
;;22200;  Servicios de telecomunicaciones;100,00;;
;;22201;  Postales y mensajería;3,00;;
;;223;Transportes;;2,00;
;;224;Primas de seguros;;3,50;
;;225;Tributos;;330,00;
;;22500;  Estatales;30,00;;
v;;22502;  Locales;150,00;;
;;22503;  Ajustes negativos de la imposición indirecta;150,00;;
;;226;Gastos diversos;;927,97;
v;;22601;  Atenciones protocolarias y representativas;2,34;;
;;22602;  Publicidad y propaganda;15,00;;
;;22603;  Jurídicos, contenciosos;0,63;;
;;22606;  Reuniones, conferencias y cursos;110,00;;
;;22699;  Otros;800,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;30.672,52;
;;22700;  Limpieza y aseo;420,00;;
;;22701;  Seguridad;8.866,38;;
;;22706;  Estudios y trabajos técnicos;18.280,00;;
;;22799;  Otros;3.106,14;;
;;23;Indemnizaciones por razón del servicio;;735,00;
;;230;Dietas;;500,00;
;;231;Locomoción;;35,00;
;;233;Otras indemnizaciones;;200,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;56.399,13;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;310,00;
v;;352;Intereses de demora;;300,00;
v;;359;Otros gastos financieros;;10,00;
;;;TOTAL GASTOS FINANCIEROS;;310,00;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;1.317,65;
v;;480;A familias e instituciones sin fines de lucro;;1.250,00;
v;;485;A organismos específicos, servicios, etc;;67,05;
;;48500;  Cuotas a organismos nacionales;37,05;;
v;;48501;  Al Real Aeroclub de Lugo;30,00;;
v;;486;Pensiones e indemnizaciones;;0,60;
v;;49;Al exterior;;351,13;
v;;490;A organismos internacionales;;351,13;
;;49000;  Cuotas a organismos internacionales;81,13;;
;;49001;  Cuota a Cooperative Research Ships (CRS);70,00;;
;;49002;  A la Agencia Europea del Espacio (ESAC);200,00;;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;1.668,78;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;4.558,79;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;4.558,79;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.650,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.650,00;
;;64;Gastos de inversiones de carácter inmaterial;;45.528,35;
;;640;Gastos en inversiones de carácter inmaterial;;45.528,35;
;;65;Inversiones militares en infraestructura y otros bienes;;3.750,00;
;;650;Inversiones militares en infraestructura y otros bienes;;3.750,00;
;;66;Inversiones militares asociadas al funcionamiento operativo de los servicios;;500,00;
;;660;Inversiones militares asociadas al funcionamiento operativo de los servicios;;500,00;
;;67;Gastos militares de inversiones de carácter inmaterial;;2.865,00;
;;670;Gastos militares en inversiones de carácter inmaterial;;2.865,00;
;;;TOTAL INVERSIONES REALES;;58.852,14;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;250,00;
v;;831;Préstamos a largo plazo;;250,00;
;;83108;  Familias e instituciones sin fines de lucro;250,00;;
;;;TOTAL ACTIVOS FINANCIEROS;;250,00;
 ; ;;;;;
;;;TOTAL Investigación y estudios de las Fuerzas Armadas;;195.768,40;
 ; ;;;;;
 ; ;;;;;
v;000X;;Transferencias y libramientos internos;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;40;A la Administración del Estado;;1,00;
v;;404;Transferencias del INTA al EA;;1,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;1,00;
 ; ;;;;;
v;;9;PASIVOS FINANCIEROS;;;
v;;91;Amortización de préstamos en euros;;250,00;
v;;910;Amortización de préstamos a corto plazo de entes del Sector Público;;109,00;
;;91000;  A la Administración del Estado;109,00;;
v;;911;Amortización de préstamos a largo plazo de entes del Sector Público;;141,00;
;;91100;  A la Administración del Estado;141,00;;
;;;TOTAL PASIVOS FINANCIEROS;;250,00;
 ; ;;;;;
;;;TOTAL Transferencias y libramientos internos;;251,00;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS;;196.019,40;
;;



