Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
15.05;21;Reparaciones, mantenimiento y conservación;15,35;15.350,00
15.05;22;Material, suministros y otros;55,62;55.620,00
15.05;22601;Atenciones protocolarias y representativas;9,36;9.360,00
15.05;23;Indemnizaciones por razón del servicio;142,85;142.850,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;213,82;213.820,00
15.05;49;Al exterior;363,74;363.740,00
15.05;490;Aportación a la OCDE – Red fiscal y Foro Global;164,5;164.500,00
15.05;492;Aportación a la OCDE – Secretaría del Acuerdo Multilateral;7,24;7.240,00
15.05;493;Contribución – Protocolo contra comercio ilícito de tabaco;192;192.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;363,74;363.740,00
—;—;TOTAL SECRETARÍA DE ESTADO DE HACIENDA;11.584,22;11.584.220,00
15.06;10;Altos cargos;61,05;61.050,00
15.06;12;Funcionarios;3.280,00;3.280.000,00
15.06;13;Laborales;27,9;27.900,00
15.06;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;325;325.000,00
—;—;TOTAL GASTOS DE PERSONAL;3.693,95;3.693.950,00
15.06;22;Material, suministros y otros;372,71;372.710,00
15.06;22601;Atenciones protocolarias y representativas;2,34;2.340,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;372,71;372.710,00
—;—;TOTAL DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN;4.066,66;4.066.660,00
—;—;TOTAL Dirección y Servicios Generales de Hacienda y Función Pública;1.083.334,85;1.083.334.850,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
