Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
15.01;480;A familias e instituciones sin fines de lucro;515,85;515.850,00
15.01;481;Hermandad de Jubilados del Ministerio de Economía y Hacienda;17,88;17.880,00
15.01;483;Reclamaciones por responsabilidad patrimonial del Estado legislador;30.000,00;30.000.000,00
15.01;6;INVERSIONES REALES;10.931,80;10.931.800,00
15.01;8;ACTIVOS FINANCIEROS;3.604,35;3.604.350,00
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;1.063.106,35;1.063.106.350,00
15.02;10;Altos cargos;61,05;61.050,00
15.02;12;Funcionarios;8.242,47;8.242.470,00
15.02;13;Laborales;430,73;430.730,00
15.02;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;680;680.000,00
—;—;TOTAL GASTOS DE PERSONAL;9.414,25;9.414.250,00
15.02;20;Arrendamientos y cánones;19;19.000,00
15.02;202;Arrendamientos de edificios y otras construcciones;15;15.000,00
15.02;21;Reparaciones, mantenimiento y conservación;20;20.000,00
15.02;22;Material, suministros y otros;647,04;647.040,00
15.02;22601;Atenciones protocolarias y representativas;8,16;8.160,00
15.02;24;Gastos de publicaciones;218,23;218.230,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;904,27;904.270,00
15.02;6;INVERSIONES REALES;575,72;575.720,00
—;—;TOTAL SECRETARÍA GENERAL TÉCNICA;10.894,24;10.894.240,00
15.05;10;Altos cargos;80,31;80.310,00
15.05;11;Personal eventual;235,54;235.540,00
15.05;12;Funcionarios;2.436,73;2.436.730,00
15.05;13;Laborales;52,12;52.120,00
15.05;15;Incentivos al rendimiento;8.071,96;8.071.960,00
15.05;150;Productividad;8.046,12;8.046.120,00
15.05;151;Gratificaciones;25,84;25.840,00
15.05;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;130;130.000,00
—;—;TOTAL GASTOS DE PERSONAL;11.006,66;11.006.660,00
15.05;21;Reparaciones, mantenimiento y conservación;15,35;15.350,00
15.05;22;Material, suministros y otros;55,62;55.620,00
15.05;22601;Atenciones protocolarias y representativas;9,36;9.360,00
15.05;23;Indemnizaciones por razón del servicio;142,85;142.850,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;213,82;213.820,00
15.05;49;Al exterior;363,74;363.740,00
15.05;490;Aportación a la OCDE – Red fiscal y Foro Global;164,5;164.500,00
15.05;492;Aportación a la OCDE – Secretaría del Acuerdo Multilateral;7,24;7.240,00
15.05;493;Contribución – Protocolo contra comercio ilícito de tabaco;192;192.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;363,74;363.740,00
—;—;TOTAL SECRETARÍA DE ESTADO DE HACIENDA;11.584,22;11.584.220,00
15.06;10,00;Altos cargos;61,05;61.050,00
15.06;12,00;Funcionarios;3.280,00;3.280.000,00
15.06;13,00;Laborales;27,90;27.900,00
15.06;16,00;Cuotas, prestaciones y gastos sociales a cargo del empleador;325,00;325.000,00
—;—;TOTAL GASTOS DE PERSONAL;3.693,95;3.693.950,00
15.06;22,00;Material, suministros y otros;372,71;372.710,00
15.06;22.601,00;Atenciones protocolarias y representativas;2,34;2.340,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;372,71;372.710,00
—;—;TOTAL DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN;4.066,66;4.066.660,00
