;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Organismo: 105 CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;16204;  Acción social;10,00;;
;;16209;  Otros;15,30;;
;;;TOTAL GASTOS DE PERSONAL;;997,20;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;1,50;
;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;1,50;
;;21;Reparaciones, mantenimiento y conservación;;295,98;
;;210;Infraestructura y bienes naturales;;160,00;
;;212;Edificios y otras construcciones;;78,00;
;;213;Maquinaria, instalaciones y utillaje;;54,48;
;;215;Mobiliario y enseres;;3,50;
;;22;Material, suministros y otros;;2.032,81;
;;221;Suministros;;531,42;
;;22100;  Energía eléctrica;169,77;;
;;22101;  Agua;35,07;;
;;22102;  Gas;278,58;;
;;22111;  Suministros de repuestos de maquinaria, utillaje y elementos de transporte;2,50;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;1,00;;
;;22199;  Otros suministros;44,50;;
;;225;Tributos;;204,85;
;;227;Trabajos realizados por otras empresas y profesionales;;1.296,54;
;;22700;  Limpieza y aseo;145,31;;
;;22701;  Seguridad;1.069,35;;
;;22799;  Otros;81,88;;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.330,29;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;5,00;
v;;359;Otros gastos financieros;;5,00;
;;;TOTAL GASTOS FINANCIEROS;;5,00;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;990,00;
v;;485;Ayudas a las comunidades de los Reales Patronatos;;840,00;
v;;486;Subvención a Entidades o programas de apoyo a enfermos y familiares afectados por patologías degenerativas cerebrales;;150,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;990,00;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;50,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;50,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.101,52;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.101,52;
;;64;Gastos de inversiones de carácter inmaterial;;20,00;
;;640;Gastos en inversiones de carácter inmaterial;;20,00;
;;;TOTAL INVERSIONES REALES;;1.171,52;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;7,50;
v;;830;Préstamos a corto plazo;;2,50;
;;83008;  Familias e instituciones sin fines de lucro;2,50;;
v;;831;Préstamos a largo plazo;;5,00;
;;83108;  Familias e instituciones sin fines de lucro;5,00;;
;;;TOTAL ACTIVOS FINANCIEROS;;7,50;
 ; ;;;;;
v;;9;PASIVOS FINANCIEROS;;;
v;;94;Devolución de depósitos y fianzas;;10,00;
v;;941;Devolución de fianzas;;10,00;
;;;TOTAL PASIVOS FINANCIEROS;;10,00;
 ; ;;;;;
;;;TOTAL Administración de los Reales Patronatos;;5.511,51;
 ; ;;;;;
 ; ;;;;;
v;42KD;;C11.I04 Plan de Transición Energética en la Administración General del Estado;;;
;;6;INVERSIONES REALES;;;
;;69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;;22.050,98;
;;693;Inversión de reposición asociada al funcionamiento operativo de los servicios. Mecanismo de Recuperación y Resiliencia;;22.050,98;
;;;TOTAL INVERSIONES REALES;;22.050,98;
 ; ;;;;;
;;;TOTAL C11.I04 Plan de Transición Energética en la Administración General del Estado;;22.050,98;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;;148.694,21;
;;



