Servicio;Programa;Económica;Explicación;Total (miles €);Total (euros)
4;—;—;TOTAL JUNTA ELECTORAL CENTRAL;478,77;478.770,00
5;911N;10;Altos cargos;555,6;555.600,00
5;911N;101;Retribuciones básicas y otras remuneraciones de Altos Cargos;555,6;555.600,00
5;911N;12;Funcionarios;12.456,90;12.456.900,00
5;911N;125;Retribuciones básicas y complementarias de Funcionarios de las Cortes;12.456,90;12.456.900,00
5;911N;13;Laborales;650;650.000,00
5;911N;131;Laboral eventual;650;650.000,00
5;911N;13100;Contratados;650;650.000,00
5;911N;14;Otro personal;325,5;325.500,00
5;911N;145;Otro Personal del Defensor del Pueblo;325,5;325.500,00
5;911N;15;Incentivos al rendimiento;1;1.000,00
5;911N;150;Productividad;1;1.000,00
5;911N;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.976,50;2.976.500,00
5;911N;165;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.976,50;2.976.500,00
5;911N;—;TOTAL GASTOS DE PERSONAL;16.965,50;16.965.500,00
5;911N;20;Arrendamientos y cánones;203,1;203.100,00
5;911N;207;Alquileres;203,1;203.100,00
5;911N;21;Reparaciones, mantenimiento y conservación;678,5;678.500,00
5;911N;217;Gastos diversos de reparación y conservación;678,5;678.500,00
5;911N;22;Material, suministros y otros;1.898,50;1.898.500,00
5;911N;220;Material de oficina;1.898,50;1.898.500,00
5;911N;23;Indemnizaciones por razón del servicio;98;98.000,00
5;911N;234;Dietas, locomoción y otras indemnizaciones;98;98.000,00
5;911N;24;Gastos de publicaciones;10;10.000,00
5;911N;240;Gastos de edición y distribución;10;10.000,00
5;911N;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.888,10;2.888.100,00
5;911N;34;De depósitos y fianzas;2,5;2.500,00
5;911N;340;Intereses de depósitos;2,5;2.500,00
5;911N;—;TOTAL GASTOS FINANCIEROS;2,5;2.500,00
5;911N;48;A familias e instituciones sin fines de lucro;151,4;151.400,00
5;911N;480;A Familias e Instituciones sin fines de lucro;151,4;151.400,00
5;911N;49;Al exterior;13,3;13.300,00
5;911N;490;Al Exterior;13,3;13.300,00
5;911N;—;TOTAL TRANSFERENCIAS CORRIENTES;164,7;164.700,00
5;911N;61;Inversión de reposición en infraestructuras y bienes destinados al uso general;5;5.000,00
5;911N;611;Otras;5;5.000,00
5;911N;62;Inversión nueva asociada al funcionamiento operativo de los servicios;33,5;33.500,00
5;911N;620;Inversión nueva asociada al funcionamiento operativo de los servicios;33,5;33.500,00
5;911N;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;8,5;8.500,00
5;911N;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;8,5;8.500,00
5;911N;64;Gastos de inversiones de carácter inmaterial;850;850.000,00
5;911N;640;Gastos en inversiones de carácter inmaterial;850;850.000,00
5;911N;—;TOTAL INVERSIONES REALES;897;897.000,00
5;911N;—;TOTAL Actividad legislativa;20.917,80;20.917.800,00
5;—;—;TOTAL DEFENSOR DEL PUEBLO;20.917,80;20.917.800,00
;911N;;TOTAL CORTES GENERALES;268.007,17;268.007.170,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
