;PRESUPUESTOS GENERALES DEL ESTADO;
;RESTO DE ENTIDADES;
;Resumen general por artículos y secciones del presupuesto de gastos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;Secc. 12;Secc. 13;Secc. 14;Secc. 15;Secc. 17;Secc. 18;Secc. 19;Secc. 23;Secc. 24;Secc. 26;Secc. 27;Secc. 28;Secc. 33;;Total;
48; A familias e instituciones sin fines de lucro;136.591,19;116,60;;820,80;228,74;;1.512,45;932,58;515,00;1.519,00;502,08;2.093,69;10,00;;144.842,13;
49; Al exterior;413.863,71;;;160,00;;532,87;;9.833,11;3,00;80,00;188,30;3.223,19;;;427.884,18;
6;INVERSIONES REALES;14.103,12;2.814,27;63.124,85;103.191,79;12.266,94;318,93;1.249,97;21.196,00;34.716,10;3.881,39;4.079,74;459.362,68;77,00;;720.382,78;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;9.744,83;1.147,89;;170,00;171,87;20,54;101,75;5.339,02;10.350,00;1.995,00;1.048,01;106.617,10;27,00;;136.733,01;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;4.358,29;866,38;60.177,29;102.991,79;2.107,33;46,00;1.058,22;10.625,98;24.200,00;1.886,39;115,00;32.088,97;;;240.521,64;
64; Gastos de inversiones de carácter inmaterial;;800,00;;30,00;9.987,74;39,59;90,00;2.731,00;166,10;;2.916,73;170.929,62;50,00;;187.740,78;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;;;2.947,56;;;212,80;;2.500,00;;;;149.726,99;;;155.387,35;
7;TRANSFERENCIAS DE CAPITAL;45.157,02;;50,00;;;;;36.444,44;;;3.514.141,75;1.600.872,28;;;5.196.665,49;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;;;;;;;;;21.950,05;;;21.950,05;
75; A Comunidades Autónomas;;;;;;;;1.420,00;;;;1.138.963,46;;;1.140.383,46;
76; A Entidades Locales;;;;;;;;;;;;380,82;;;380,82;
77; A empresas privadas;;;;;;;;;;;3.514.141,75;18.421,30;;;3.532.563,05;
78; A familias e instituciones sin fines de lucro;;;;;;;;;;;;121.156,65;;;121.156,65;
79; Al exterior;45.157,02;;50,00;;;;;35.024,44;;;;300.000,00;;;380.231,46;
8;ACTIVOS FINANCIEROS;136,00;151,20;300,00;744,97;5,77;12,49;26,55;168,00;152,80;80,00;60,40;348,27;3,00;;2.189,45;
82; Concesión de préstamos al Sector Público;;;;;;;;;;;;15,00;;;15,00;
83; Concesión de préstamos fuera del Sector Público;121,00;151,20;300,00;744,97;5,77;12,49;26,55;167,00;152,80;80,00;60,40;333,27;3,00;;2.158,45;
84; Constitución de depósitos y fianzas;15,00;;;;;;;1,00;;;;;;;16,00;
;TOTAL CONSOLIDADO;847.612,50;50.545,48;337.055,60;1.406.452,79;99.085,87;6.643,89;9.220,85;181.689,83;116.559,43;58.762,62;3.686.434,40;2.856.742,49;3.379,38;;9.660.185,13;
4;TRANSFERENCIAS CORRIENTES;;1.319,70;;;1.094,63;;;968,31;;21.763,26;;1.494,31;;;26.640,21;
40; A la Administración del Estado;;1.319,70;;;1.094,63;;;968,31;;21.763,26;;;;;25.145,90;
41; A Organismos Autónomos;;;;;;;;;;;;1.494,31;;;1.494,31;
7;TRANSFERENCIAS DE CAPITAL;;;;;;;;;;;;88.686,40;;;88.686,40;
71; A Organismos Autónomos;;;;;;;;;;;;6.657,81;;;6.657,81;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;;;;;;;;;;82.028,59;;;82.028,59;
9;PASIVOS FINANCIEROS;;;;;;;;;;;;1.177,64;;;1.177,64;
91; Amortización de préstamos en euros;;;;;;;;;;;;1.177,64;;;1.177,64;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;1.319,70;;;1.094,63;;;968,31;;21.763,26;;91.358,35;;;116.504,25;
;TOTAL;847.612,50;51.865,18;337.055,60;1.406.452,79;100.180,50;6.643,89;9.220,85;182.658,14;116.559,43;80.525,88;3.686.434,40;2.948.100,84;3.379,38;;9.776.689,38;
;;



