Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
—;—;—;TOTAL Transferencias y libramientos internos;44.726.975,67;44.726.975.670,00
—;—;—;TOTAL SECRETARÍA DE ESTADO DE SEGURIDAD SOCIAL Y PENSIONES;44.743.844,32;44.743.844.320,00
3;231B;12;Funcionarios;1.385,56;1.385.560,00
3;231B;16;Seguridad Social;150,63;150.630,00
—;—;—;TOTAL GASTOS DE PERSONAL;1.536,19;1.536.190,00
3;231B;22;Reuniones, conferencias y otros trabajos;622,21;622.210,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;622,21;622.210,00
3;231B;48;Pensión asistencial y otras ayudas;8.780,00;8.780.000,00
3;231B;49;Prestaciones por razón de necesidad y ayudas al exterior;49.557,79;49.557.790,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;58.337,79;58.337.790,00
—;—;—;TOTAL Acciones en favor de los emigrantes;60.496,19;60.496.190,00
3;231H;10–16;Altos cargos, funcionarios, laborales, cuotas sociales;16.128,93;16.128.930,00
—;—;—;TOTAL GASTOS DE PERSONAL;16.128,93;16.128.930,00
3;231H;20–23;Arrendamientos, suministros, comunicaciones, tributos, concierto social;692.213,89;692.213.890,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;692.213,89;692.213.890,00
3;231H;45–49;Ayudas y subvenciones en favor de inmigrantes y refugiados;62.050,00;62.050.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;62.050,00;62.050.000,00
3;231H;62–63;Inversión nueva y reposición operativa;250;250.000,00
—;—;—;TOTAL INVERSIONES REALES;250;250.000,00
3;231H;78;Proyectos de atención a inmigrantes;300;300.000,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;300;300.000,00
—;—;—;TOTAL Acciones en favor de los inmigrantes;771.942,82;771.942.820,00
3;291M;10–16;Altos cargos, eventual, funcionarios, laborales, cuotas sociales;4.018,78;4.018.780,00
—;—;—;TOTAL GASTOS DE PERSONAL;4.018,78;4.018.780,00
—;—;—;TOTAL Dirección y Servicios Generales de la Inclusión, Seguridad Social y Migración;4.018,78;4.018.780,00
4;232E;10;Altos cargos;71,16;71.160,00
4;232E;10000;Retribuciones básicas;19,34;19.340,00
4;232E;10001;Retribuciones complementarias;51,82;51.820,00
4;232E;12;Funcionarios;1.824,42;1.824.420,00
4;232E;12000;Sueldos grupo A1 y A;203,67;203.670,00
4;232E;12001;Sueldos grupo A2 y B;205;205.000,00
4;232E;12002;Sueldos grupo C1 y C;52,3;52.300,00
4;232E;12003;Sueldos grupo C2 y D;75;75.000,00
4;232E;12005;Trienios;185,45;185.450,00
4;232E;12006;Pagas extraordinarias;123;123.000,00
4;232E;12100;Complemento de destino;412;412.000,00
4;232E;12101;Complemento específico;563;563.000,00
4;232E;13;Laborales;146,59;146.590,00
4;232E;13000;Retribuciones básicas;103,59;103.590,00
4;232E;13001;Otras remuneraciones;43;43.000,00
4;232E;16;Seguridad Social;296,66;296.660,00
4;232E;16000;Cuotas sociales;296,66;296.660,00
—;—;—;TOTAL GASTOS DE PERSONAL;2.338,83;2.338.830,00
4;232E;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones;90;90.000,00
4;232E;440;Subvenciones a universidades públicas para prácticas;90;90.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;90;90.000,00
—;—;—;TOTAL Análisis y definición de objetivos y políticas de Inclusión;2.428,83;2.428.830,00
—;—;—;TOTAL SECRETARÍA GENERAL DE INCLUSIÓN;2.428,83;2.428.830,00
;;;;109.989.034,05;109.989.034.050,00
