Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
50;26BA;75;A Comunidades Autónomas – rehabilitación edificatoria;880.000,00;880.000.000,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;880.000,00;880.000.000,00
50;26BA;82;Concesión de préstamos al Sector Público;1.100.000,00;1.100.000.000,00
—;—;—;TOTAL ACTIVOS FINANCIEROS;1.100.000,00;1.100.000.000,00
—;—;—;TOTAL Programa 26BA;1.980.000,00;1.980.000.000,00
50;26BB;75;A Comunidades Autónomas – construcción de viviendas en alquiler social;500.000,00;500.000.000,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;500.000,00;500.000.000,00
—;—;—;TOTAL Programa 26BB;500.000,00;500.000.000,00
50;;;Mecanismo de Recuperación y Resiliencia;2.480.000,00;2.480.000.000,00
;;;Ministerio de Vivienda y Agenda Urbana;3.481.834,65;3.481.834.650,00
