;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Organismo: 101 CENTRO DE ESTUDIOS JURÍDICOS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
;;23;Indemnizaciones por razón del servicio;;1.069,62;
;;230;Dietas;;356,81;
;;231;Locomoción;;417,86;
;;233;Otras indemnizaciones;;294,95;
;;24;Gastos de publicaciones;;46,03;
;;240;Gastos de edición y distribución;;46,03;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.942,81;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;4.287,76;
v;;481;Becas para la preparación de oposiciones de las carreras judicial y fiscal;;4.287,76;
v;;49;Al exterior;;25,03;
v;;491;Cuotas y aportaciones Organismos Internacionales;;15,03;
;;49100;  Aportación a la Red Europea de Formación Judicial (EJTN);12,53;;
;;49101;  Aportación anual a la Red Euroárabe de Formación Judicial;2,50;;
v;;493;Otras aportaciones a proyectos europeos;;10,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;4.312,79;
 ; ;;;;;
;;;TOTAL Formación de la Carrera Fiscal;;10.112,18;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL CENTRO DE ESTUDIOS JURÍDICOS;;20.267,15;
;;



