Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
—;—;—;TOTAL Programa 311O – Políticas de Salud y Ordenación Profesional;1.259,89;1.259.890,00
4;000X;41;A Organismos Autónomos;6.290,32;6.290.320,00
4;000X;42;A la Seguridad Social;2.855,00;2.855.000,00
4;000X;43;A otras entidades del Sector Público Administrativo Estatal;8,8;8.800,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;9.154,12;9.154.120,00
4;000X;71;A Organismos Autónomos;247,55;247.550,00
4;000X;72;A la Seguridad Social;20;20.000,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;267,55;267.550,00
—;—;—;TOTAL Programa 000X – Transferencias y libramientos internos;9.421,67;9.421.670,00
4;;;Secretaría de Estado de Sanidad;10.681,56;10.681.560,00
5;313E;10;Altos cargos;61,04;61.040,00
5;313E;12;Funcionarios;3.984,08;3.984.080,00
5;313E;13;Laborales;689,12;689.120,00
5;313E;16;Cuotas, prestaciones y gastos sociales;631,77;631.770,00
—;—;—;TOTAL GASTOS DE PERSONAL;5.366,01;5.366.010,00
5;313E;20;Arrendamientos y cánones;200,76;200.760,00
5;313E;21;Reparaciones, mantenimiento y conservación;1.500,00;1.500.000,00
5;313E;22;Material, suministros y otros;11.761,10;11.761.100,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;13.461,86;13.461.860,00
5;313E;62;Inversión nueva funcionamiento operativo;137,5;137.500,00
5;313E;63;Inversión de reposición funcionamiento operativo;61,94;61.940,00
5;313E;64;Gastos de inversiones de carácter inmaterial;661,6;661.600,00
—;—;—;TOTAL INVERSIONES REALES;861,04;861.040,00
—;—;—;TOTAL Programa 313E – Salud Digital, Información e Innovación del SNS;19.688,91;19.688.910,00
7;313B;10;Altos cargos;61,04;61.040,00
7;313B;12;Funcionarios;7.010,01;7.010.010,00
7;313B;13;Laborales;259,95;259.950,00
7;313B;16;Cuotas, prestaciones y gastos sociales;1.317,49;1.317.490,00
—;—;—;TOTAL GASTOS DE PERSONAL;8.648,49;8.648.490,00
7;313B;21;Reparaciones, mantenimiento y conservación;130;130.000,00
7;313B;22;Material, suministros y otros;30.485,21;30.485.210,00
7;313B;23;Indemnizaciones por razón del servicio;287,4;287.400,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;30.902,61;30.902.610,00
7;313B;45–49;Transferencias corrientes (CCAA, familias, exterior);108.758,84;108.758.840,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;108.758,84;108.758.840,00
7;313B;62;Inversión nueva funcionamiento operativo;451;451.000,00
7;313B;64;Gastos de inversiones de carácter inmaterial;18,15;18.150,00
—;—;—;TOTAL INVERSIONES REALES;469,15;469.150,00
7;313B;75;Transferencias de capital a Comunidades Autónomas y universidades;568.374,00;568.374.000,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;568.374,00;568.374.000,00
—;—;—;TOTAL Programa 313B – Salud pública, sanidad exterior y calidad;717.153,09;717.153.090,00
9;313A;10;Altos cargos;61,04;61.040,00
9;313A;12;Funcionarios;3.487,70;3.487.700,00
9;313A;13;Laborales;23,77;23.770,00
9;313A;16;Cuotas, prestaciones y gastos sociales;665,09;665.090,00
—;—;—;TOTAL GASTOS DE PERSONAL;4.237,60;4.237.600,00
9;313A;22;Material, suministros y otros;6.323,70;6.323.700,00
9;313A;228;Gastos COVID-19 en el SNS;5.771,70;5.771.700,00
9;313A;23;Indemnizaciones por razón del servicio;32;32.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.355,70;6.355.700,00
9;313A;45;A Comunidades Autónomas;112.593,00;112.593.000,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;112.593,00;112.593.000,00
9;313A;62;Inversión nueva funcionamiento operativo;24.303,00;24.303.000,00
9;313A;64;Gastos de inversiones de carácter inmaterial;3;3.000,00
—;—;—;TOTAL INVERSIONES REALES;24.306,00;24.306.000,00
—;—;—;TOTAL Programa 313A – Prestaciones sanitarias y farmacia;147.492,30;147.492.300,00
9;000X;41;A Organismos Autónomos;824,51;824.510,00
9;000X;42;A la Seguridad Social;283.047,94;283.047.940,00
9;000X;43;A otras entidades del Sector Público Administrativo Estatal;—;—
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;283.872,45;283.872.450,00
9;000X;72;A la Seguridad Social (capital);22.097,35;22.097.350,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;22.097,35;22.097.350,00
—;—;—;TOTAL Programa 000X – Transferencias y libramientos internos;305.969,80;305.969.800,00
9;;;Dirección General de Cartera Común del SNS y Farmacia;453.462,10;453.462.100,00
12;311O;10;Altos cargos;61,04;61.040,00
12;311O;12;Funcionarios;2.760,18;2.760.180,00
12;311O;13;Laborales;110,55;110.550,00
12;311O;16;Cuotas, prestaciones y gastos sociales;439,99;439.990,00
—;—;—;TOTAL GASTOS DE PERSONAL;3.371,76;3.371.760,00
12;311O;22;Material, suministros y otros;1.897,97;1.897.970,00
12;311O;23;Indemnizaciones por razón del servicio;1.270,10;1.270.100,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.168,07;3.168.070,00
12;311O;62;Inversión nueva funcionamiento operativo;3;3.000,00
12;311O;64;Gastos de inversiones de carácter inmaterial;3;3.000,00
—;—;—;TOTAL INVERSIONES REALES;6;6.000,00
—;—;—;TOTAL Programa 311O – Políticas de Salud y Ordenación Profesional;6.545,83;6.545.830,00
18;231A;10;Altos cargos;61,04;61.040,00
18;231A;12;Funcionarios;2.317,39;2.317.390,00
18;231A;13;Laborales;116,66;116.660,00
18;231A;16;Cuotas, prestaciones y gastos sociales;345,49;345.490,00
—;—;—;TOTAL GASTOS DE PERSONAL;2.840,58;2.840.580,00
18;231A;21;Reparaciones, mantenimiento y conservación;72;72.000,00
18;231A;22;Material, suministros y otros;926,73;926.730,00
18;231A;23;Indemnizaciones por razón del servicio;94,85;94.850,00
18;231A;24;Gastos de publicaciones;37;37.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.130,58;1.130.580,00
18;231A;45–49;Transferencias corrientes (CCAA, entidades locales, ONGs, exterior);10.530,89;10.530.890,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;10.530,89;10.530.890,00
18;231A;75;A Comunidades Autónomas (investigación);125,17;125.170,00
18;231A;78;A familias e instituciones sin fines de lucro (investigación);484,62;484.620,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;609,79;609.790,00
—;—;—;TOTAL Programa 231A – Plan Nacional sobre Drogas;15.111,84;15.111.840,00
18;;;Delegación del Gobierno para el Plan Nacional sobre Drogas;15.111,84;15.111.840,00
 ; ;;TOTAL MINISTERIO DE SANIDAD;1.271.959,23;1.271.959.230,00
 ; ;;;;
