;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Organismo: 102 CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
;;204;Arrendamientos de medios de transporte;;0,81;
;;205;Arrendamientos de mobiliario y enseres;;0,99;
;;206;Arrendamientos de equipos para procesos de información;;26,40;
;;209;Cánones;;0,99;
;;21;Reparaciones, mantenimiento y conservación;;401,02;
;;212;Edificios y otras construcciones;;6,66;
;;213;Maquinaria, instalaciones y utillaje;;0,99;
;;215;Mobiliario y enseres;;1,97;
;;216;Equipos para procesos de la información;;391,40;
;;22;Material, suministros y otros;;1.673,01;
;;220;Material de oficina;;40,63;
;;22000;  Ordinario no inventariable;7,44;;
;;22001;  Prensa, revistas, libros y otras publicaciones;1,49;;
;;22002;  Material informático no inventariable;31,70;;
;;221;Suministros;;675,29;
;;22100;  Energía eléctrica;10,42;;
;;22103;  Combustible;6,44;;
;;22111;  Suministros de repuestos de maquinaria, utillaje y elementos de transporte;30,99;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;476,31;;
;;22199;  Otros suministros;151,13;;
;;222;Comunicaciones;;9,09;
;;22201;  Postales y mensajería;9,09;;
;;223;Transportes;;42,45;
;;225;Tributos;;62,97;
;;22500;  Estatales;60,77;;
v;;22502;  Locales;2,20;;
;;226;Gastos diversos;;248,00;
v;;22601;  Atenciones protocolarias y representativas;1,64;;
;;22602;  Publicidad y propaganda;97,81;;
;;22606;  Reuniones, conferencias y cursos;130,31;;
;;22699;  Otros;18,24;;
;;227;Trabajos realizados por otras empresas y profesionales;;594,58;
;;22700;  Limpieza y aseo;8,45;;
;;22701;  Seguridad;45,34;;
;;22706;  Estudios y trabajos técnicos;374,06;;
;;22799;  Otros;166,73;;
;;23;Indemnizaciones por razón del servicio;;279,47;
;;230;Dietas;;159,70;
;;231;Locomoción;;99,77;
;;233;Otras indemnizaciones;;20,00;
;;24;Gastos de publicaciones;;140,61;
;;240;Gastos de edición y distribución;;140,61;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.523,30;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;31;De préstamos en euros;;0,45;
v;;310;Intereses;;0,45;
v;;35;Intereses de demora y otros gastos financieros;;12,33;
v;;352;Intereses de demora;;5,33;
v;;359;Otros gastos financieros;;7,00;
;;;TOTAL GASTOS FINANCIEROS;;12,78;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;26,00;
v;;480;Premio Nacional de Ciencias Geográficas;;20,00;
v;;486;Premios por jubilación al personal del Organismo;;6,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;26,00;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;7.739,36;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;7.739,36;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;50,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;50,00;
;;64;Gastos de inversiones de carácter inmaterial;;50,00;
;;640;Gastos en inversiones de carácter inmaterial;;50,00;
;;;TOTAL INVERSIONES REALES;;7.839,36;
 ; ;;;;;
;;;TOTAL Desarrollo y aplicación de la información geográfica española;;13.331,36;
 ; ;;;;;
 ; ;;;;;
v;000X;;Transferencias y libramientos internos;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;15,00;
v;;430;Al CSIC. Aportación EPOS-ERIC;;15,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;15,00;
 ; ;;;;;
v;;9;PASIVOS FINANCIEROS;;;
v;;91;Amortización de préstamos en euros;;27,60;
v;;911;Amortización de préstamos a largo plazo de entes del Sector Público;;27,60;
;;91100;  A la Administración del Estado;27,60;;
;;;TOTAL PASIVOS FINANCIEROS;;27,60;
 ; ;;;;;
;;;TOTAL Transferencias y libramientos internos;;42,60;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA;;13.373,96;
;;



