Servicio;Programa;Económica;Explicación;Total (miles €);Total (euros)
2;112A;16209;Otros gastos sociales;1.639,70;1.639.700,00
—;—;—;TOTAL GASTOS DE PERSONAL;1.323.862,38;1.323.862.380,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;122.850,44;122.850.440,00
—;—;—;TOTAL GASTOS FINANCIEROS;625,77;625.770,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;56.338,53;56.338.530,00
—;—;—;TOTAL INVERSIONES REALES;154.720,44;154.720.440,00
—;—;—;TOTAL ACTIVOS FINANCIEROS;536;536.000,00
—;—;—;TOTAL Tribunales de Justicia y Ministerio Fiscal;1.658.933,56;1.658.933.560,00
2;000X;411;Al Centro de Estudios Jurídicos de la Administración de Justicia;16.714,74;16.714.740,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;16.714,74;16.714.740,00
2;000X;711;Al Centro de Estudios Jurídicos de la Administración de Justicia (capital);777;777.000,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;777;777.000,00
—;—;—;TOTAL Transferencias y libramientos internos;17.491,74;17.491.740,00
—;—;—;TOTAL SECRETARÍA DE ESTADO DE JUSTICIA;1.676.425,30;1.676.425.300,00
3;113M;10000;Retribuciones básicas de altos cargos;18,91;18.910,00
3;113M;10001;Retribuciones complementarias de altos cargos;42,13;42.130,00
3;113M;12000;Sueldos grupo A1 y A;1.479,58;1.479.580,00
3;113M;12001;Sueldos grupo A2 y B;789,03;789.030,00
3;113M;12002;Sueldos grupo C1 y C;1.905,16;1.905.160,00
3;113M;12003;Sueldos grupo C2 y D;613,59;613.590,00
3;113M;12005;Trienios;1.539,00;1.539.000,00
3;113M;12006;Pagas extraordinarias;1.593,93;1.593.930,00
3;113M;12100;Complemento de destino;3.402,08;3.402.080,00
3;113M;12101;Complemento específico;2.274,60;2.274.600,00
3;113M;12102;Indemnización por residencia;37,82;37.820,00
3;113M;12103;Otros complementos;280,36;280.360,00
3;113M;125;Retribuciones a personal sustituto;207,09;207.090,00
3;113M;16000;Seguridad Social;1.653,84;1.653.840,00
—;—;—;TOTAL GASTOS DE PERSONAL;15.837,12;15.837.120,00
3;113M;216;Equipos para procesos de la información;172,87;172.870,00
3;113M;22000;Material de oficina – ordinario no inventariable;15,32;15.320,00
3;113M;22001;Prensa, revistas, libros y otras publicaciones;0,5;500
3;113M;22109;Labores Fábrica Nacional Moneda y Timbre;2.592,68;2.592.680,00
3;113M;22199;Otros suministros;300;300.000,00
3;113M;223;Transportes;1;1.000,00
3;113M;22502;Tributos – locales;40;40.000,00
3;113M;22603;Jurídicos, contenciosos;450;450.000,00
3;113M;22606;Reuniones, conferencias y cursos;1,06;1.060,00
3;113M;22607;Oposiciones y pruebas selectivas;3,16;3.160,00
3;113M;22699;Otros gastos diversos;1;1.000,00
3;113M;22706;Estudios y trabajos técnicos;325;325.000,00
3;113M;230;Dietas;30;30.000,00
3;113M;231;Locomoción;31;31.000,00
3;113M;233;Otras indemnizaciones;30;30.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.993,59;3.993.590,00
3;113M;352;Intereses de demora;15;15.000,00
—;—;—;TOTAL GASTOS FINANCIEROS;15;15.000,00
3;113M;620;Inversión nueva funcionamiento operativo;16.262,59;16.262.590,00
3;113M;640;Gastos en inversiones de carácter inmaterial;560,71;560.710,00
—;—;—;TOTAL INVERSIONES REALES;16.823,30;16.823.300,00
—;—;—;TOTAL Registros vinculados con la Fe Pública;36.669,01;36.669.010,00
—;—;—;TOTAL DIRECCIÓN GENERAL DE SEGURIDAD JURÍDICA Y FE PÚBLICA;36.669,01;36.669.010,00
4;921S;10000;Retribuciones básicas de altos cargos;57,13;57.130,00
4;921S;10001;Retribuciones complementarias de altos cargos;136,07;136.070,00
4;921S;12000;Sueldos grupo A1 y A;5.358,87;5.358.870,00
4;921S;12001;Sueldos grupo A2 y B;784,03;784.030,00
4;921S;12002;Sueldos grupo C1 y C;1.756,38;1.756.380,00
4;921S;12003;Sueldos grupo C2 y D;1.317,20;1.317.200,00
4;921S;12005;Trienios;1.938,48;1.938.480,00
4;921S;12006;Pagas extraordinarias;2.602,48;2.602.480,00
4;921S;12100;Complemento de destino;6.267,59;6.267.590,00
4;921S;12101;Complemento específico;11.409,00;11.409.000,00
4;921S;12102;Indemnización por residencia;13,78;13.780,00
4;921S;12300;Indemnización por destino en el extranjero;304,64;304.640,00
4;921S;12301;Indemnización por educación;5;5.000,00
4;921S;13000;Retribuciones básicas de laboral fijo;181,41;181.410,00
4;921S;13001;Otras remuneraciones de laboral fijo;7,78;7.780,00
4;921S;143;Otro personal;157,18;157.180,00
4;921S;150;Productividad;3.728,40;3.728.400,00
4;921S;16000;Seguridad Social;2.525,15;2.525.150,00
4;921S;16200;Formación y perfeccionamiento del personal;50;50.000,00
—;—;—;TOTAL GASTOS DE PERSONAL;38.600,57;38.600.570,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.948,25;3.948.250,00
4;921S;620;Inversión nueva funcionamiento operativo;56;56.000,00
4;921S;630;Inversión de reposición funcionamiento operativo;1.702,45;1.702.450,00
4;921S;640;Gastos en inversiones de carácter inmaterial;329,96;329.960,00
—;—;—;TOTAL INVERSIONES REALES;2.088,41;2.088.410,00
4;921S;83008;Préstamos a corto plazo – familias e instituciones sin fines de lucro;4,8;4.800,00
4;921S;83108;Préstamos a largo plazo – familias e instituciones sin fines de lucro;15,48;15.480,00
—;—;—;TOTAL ACTIVOS FINANCIEROS;20,28;20.280,00
—;—;—;TOTAL Asesoramiento y defensa de los intereses del Estado;44.657,51;44.657.510,00
—;—;—;TOTAL ABOGACÍA GENERAL DEL ESTADO;44.657,51;44.657.510,00
5;112A;10000;Retribuciones básicas de altos cargos;603,51;603.510,00
5;112A;10001;Retribuciones complementarias de altos cargos;1.287,02;1.287.020,00
5;112A;12000;Sueldos grupo A1 y A;936,51;936.510,00
5;112A;12001;Sueldos grupo A2 y B;319,67;319.670,00
5;112A;12002;Sueldos grupo C1 y C;773,58;773.580,00
5;112A;12003;Sueldos grupo C2 y D;266,2;266.200,00
5;112A;12004;Sueldos agrupaciones profesionales y grupo E;7,45;7.450,00
5;112A;12005;Trienios;940,51;940.510,00
5;112A;12006;Pagas extraordinarias;986,23;986.230,00
5;112A;12100;Complemento de destino;2.866,43;2.866.430,00
5;112A;12101;Complemento específico;1.027,25;1.027.250,00
5;112A;12103;Otros complementos;81,25;81.250,00
5;112A;13000;Retribuciones básicas de laboral fijo;93,95;93.950,00
5;112A;13001;Otras remuneraciones de laboral fijo;7,66;7.660,00
5;112A;16000;Seguridad Social;704,68;704.680,00
5;112A;16204;Acción social;3,14;3.140,00
—;—;—;TOTAL GASTOS DE PERSONAL;10.956,78;10.956.780,00
5;112A;212;Reparaciones en edificios;19,84;19.840,00
5;112A;213;Reparaciones en maquinaria;8;8.000,00
5;112A;215;Reparaciones en mobiliario;6;6.000,00
5;112A;22000;Material de oficina – ordinario no inventariable;1;1.000,00
5;112A;22001;Prensa, revistas, libros y otras publicaciones;10;10.000,00
5;112A;22002;Material informático no inventariable;2;2.000,00
5;112A;22101;Agua;6,4;6.400,00
5;112A;22102;Gas;13;13.000,00
5;112A;22104;Vestuario;0,5;500
5;112A;22112;Material electrónico, eléctrico y de comunicaciones;1;1.000,00
5;112A;22199;Otros suministros;2,9;2.900,00
5;112A;22200;Servicios de telecomunicaciones;1;1.000,00
5;112A;223;Transportes;0,8;800
5;112A;22502;Tributos – locales;4;4.000,00
5;112A;22601;Atenciones protocolarias y representativas;20,79;20.790,00
5;112A;22606;Reuniones, conferencias y cursos;26,7;26.700,00
5;112A;22700;Limpieza y aseo;4;4.000,00
5;112A;22701;Seguridad;0,77;770
5;112A;22702;Valoraciones y peritajes;1;1.000,00
5;112A;22704;Custodia, depósito y almacenaje;1;1.000,00
5;112A;22706;Estudios y trabajos técnicos;11,3;11.300,00
5;112A;22799;Otros trabajos externos;1;1.000,00
5;112A;230;Dietas;40;40.000,00
5;112A;231;Locomoción;95;95.000,00
5;112A;233;Otras indemnizaciones;66;66.000,00
5;112A;240;Gastos de edición y distribución;52;52.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;396;396.000,00
5;112A;620;Inversión nueva funcionamiento operativo;3.215,09;3.215.090,00
5;112A;640;Gastos en inversiones de carácter inmaterial;541,96;541.960,00
—;—;—;TOTAL INVERSIONES REALES;3.757,05;3.757.050,00
—;—;—;TOTAL Tribunales de Justicia y Ministerio Fiscal;15.109,83;15.109.830,00
—;—;—;TOTAL SECRETARÍA GENERAL PARA LA INNOVACIÓN Y CALIDAD DEL SERVICIO PÚBLICO DE JUSTICIA. FISCALÍA GENERAL;15.109,83;15.109.830,00
6;112A;10000;Retribuciones básicas de altos cargos;1.031,35;1.031.350,00
6;112A;10001;Retribuciones complementarias de altos cargos;1.984,61;1.984.610,00
6;112A;12000;Sueldos grupo A1 y A;60.609,52;60.609.520,00
6;112A;12001;Sueldos grupo A2 y B;1.250,02;1.250.020,00
6;112A;12002;Sueldos grupo C1 y C;3.984,37;3.984.370,00
6;112A;12003;Sueldos grupo C2 y D;1.397,87;1.397.870,00
6;112A;12005;Trienios;20.579,99;20.579.990,00
6;112A;12006;Pagas extraordinarias;33.350,66;33.350.660,00
6;112A;12100;Complemento de destino;131.782,23;131.782.230,00
6;112A;12101;Complemento específico;5.706,19;5.706.190,00
6;112A;12102;Indemnización por residencia;353,91;353.910,00
6;112A;12103;Otros complementos;1.531,50;1.531.500,00
6;112A;125;Retribuciones a personal sustituto;9.541,57;9.541.570,00
6;112A;151;Gratificaciones;324,17;324.170,00
6;112A;16000;Seguridad Social;15.682,80;15.682.800,00
6;112A;16204;Acción social;34,29;34.290,00
—;—;—;TOTAL GASTOS DE PERSONAL;289.145,05;289.145.050,00
7;912M;10000;Retribuciones básicas de altos cargos;449,69;449.690,00
7;912M;10001;Retribuciones complementarias de altos cargos;886,47;886.470,00
7;912M;11000;Retribuciones básicas de personal eventual;7.299,95;7.299.950,00
7;912M;11001;Retribuciones complementarias de personal eventual;10.730,05;10.730.050,00
7;912M;12000;Sueldos grupo A1 y A;475,65;475.650,00
7;912M;12001;Sueldos grupo A2 y B;154,24;154.240,00
7;912M;12002;Sueldos grupo C1 y C;598,3;598.300,00
7;912M;12003;Sueldos grupo C2 y D;425,7;425.700,00
7;912M;12005;Trienios;820;820.000,00
7;912M;12006;Pagas extraordinarias;530;530.000,00
7;912M;12100;Complemento de destino;1.022,70;1.022.700,00
7;912M;12101;Complemento específico;1.496,40;1.496.400,00
7;912M;12103;Otros complementos;22;22.000,00
7;912M;13000;Retribuciones básicas de laboral fijo;1.418,54;1.418.540,00
7;912M;13001;Otras remuneraciones de laboral fijo;84,22;84.220,00
7;912M;150;Productividad;5.899,00;5.899.000,00
7;912M;151;Gratificaciones;146,03;146.030,00
7;912M;16000;Seguridad Social;4.884,34;4.884.340,00
7;912M;16200;Formación y perfeccionamiento del personal;75;75.000,00
7;912M;16205;Seguros;106,88;106.880,00
—;—;—;TOTAL GASTOS DE PERSONAL;37.525,16;37.525.160,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;14.086,28;14.086.280,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;298,32;298.320,00
—;—;—;TOTAL INVERSIONES REALES;3.684,64;3.684.640,00
—;—;—;TOTAL Presidencia del Gobierno;55.594,40;55.594.400,00
7;921Q;10000;Retribuciones básicas de altos cargos;114,41;114.410,00
7;921Q;10001;Retribuciones complementarias de altos cargos;271;271.000,00
7;921Q;11000;Retribuciones básicas de personal eventual;684,21;684.210,00
7;921Q;11001;Retribuciones complementarias de personal eventual;1.232,47;1.232.470,00
7;921Q;12000;Sueldos grupo A1 y A;641,17;641.170,00
7;921Q;12001;Sueldos grupo A2 y B;151,21;151.210,00
7;921Q;12002;Sueldos grupo C1 y C;85,15;85.150,00
7;921Q;12003;Sueldos grupo C2 y D;267,72;267.720,00
7;921Q;12005;Trienios;347,77;347.770,00
7;921Q;12006;Pagas extraordinarias;286,04;286.040,00
7;921Q;12100;Complemento de destino;880,71;880.710,00
7;921Q;12101;Complemento específico;1.279,56;1.279.560,00
7;921Q;12103;Otros complementos;3,29;3.290,00
7;921Q;12300;Indemnización por destino en el extranjero;3.701,85;3.701.850,00
7;921Q;12301;Indemnización por educación;21,5;21.500,00
7;921Q;13000;Retribuciones básicas de laboral fijo;3.968,71;3.968.710,00
7;921Q;13001;Otras remuneraciones de laboral fijo;205,36;205.360,00
7;921Q;150;Productividad;772,68;772.680,00
7;921Q;16000;Seguridad Social;1.865,27;1.865.270,00
7;921Q;16205;Seguros;110;110.000,00
—;—;—;TOTAL GASTOS DE PERSONAL;16.890,08;16.890.080,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;59.753,52;59.753.520,00
7;921Q;620;Inversión nueva funcionamiento operativo;195;195.000,00
7;921Q;630;Inversión de reposición funcionamiento operativo;325;325.000,00
7;921Q;640;Gastos en inversiones de carácter inmaterial;1.200,00;1.200.000,00
—;—;—;TOTAL INVERSIONES REALES;1.720,00;1.720.000,00
—;—;—;TOTAL Cobertura informativa;78.363,60;78.363.600,00
—;—;—;TOTAL PRESIDENTE DEL GOBIERNO;133.958,00;133.958.000,00
8;467G;620;Inversión nueva funcionamiento operativo;620,26;620.260,00
8;467G;630;Inversión de reposición funcionamiento operativo;31,37;31.370,00
8;467G;640;Gastos en inversiones de carácter inmaterial;931;931.000,00
—;—;—;TOTAL INVERSIONES REALES;1.582,63;1.582.630,00
—;—;—;TOTAL Investigación y desarrollo de la Sociedad de la Información;1.582,63;1.582.630,00
8;911Q;11000;Retribuciones básicas de personal eventual;173,25;173.250,00
8;911Q;11001;Retribuciones complementarias de personal eventual;414,4;414.400,00
8;911Q;12000;Sueldos grupo A1 y A;398,86;398.860,00
8;911Q;12001;Sueldos grupo A2 y B;445,56;445.560,00
8;911Q;12002;Sueldos grupo C1 y C;642,95;642.950,00
8;911Q;12003;Sueldos grupo C2 y D;16,06;16.060,00
8;911Q;12005;Trienios;433,56;433.560,00
8;911Q;12006;Pagas extraordinarias;398,99;398.990,00
8;911Q;12100;Complemento de destino;1.063,18;1.063.180,00
8;911Q;12101;Complemento específico;2.421,73;2.421.730,00
8;911Q;12103;Otros complementos;21,75;21.750,00
8;911Q;12201;Retribuciones en especie – vestuario;19,91;19.910,00
8;911Q;150;Productividad;815,61;815.610,00
8;911Q;151;Gratificaciones;58,19;58.190,00
8;911Q;16000;Seguridad Social;267,81;267.810,00
8;911Q;16204;Acción social;0,98;980
—;—;—;TOTAL GASTOS DE PERSONAL;7.592,79;7.592.790,00
8;911Q;230;Dietas;61,02;61.020,00
8;911Q;231;Locomoción;122,02;122.020,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;183,04;183.040,00
—;—;—;TOTAL Apoyo a la gestión administrativa de la Jefatura del Estado;7.775,83;7.775.830,00
8;912O;10000;Retribuciones básicas de altos cargos;229,5;229.500,00
8;912O;10001;Retribuciones complementarias de altos cargos;374,69;374.690,00
8;912O;11000;Retribuciones básicas de personal eventual;264,54;264.540,00
8;912O;11001;Retribuciones complementarias de personal eventual;484,6;484.600,00
8;912O;12000;Sueldos grupo A1 y A;1.367,49;1.367.490,00
8;912O;12001;Sueldos grupo A2 y B;784,03;784.030,00
8;912O;12002;Sueldos grupo C1 y C;993,95;993.950,00
8;912O;12003;Sueldos grupo C2 y D;883,52;883.520,00
8;912O;12005;Trienios;1.140,50;1.140.500,00
8;912O;12006;Pagas extraordinarias;1.293,99;1.293.990,00
8;912O;12100;Complemento de destino;2.806,85;2.806.850,00
8;912O;12101;Complemento específico;4.144,89;4.144.890,00
8;912O;12103;Otros complementos;4,88;4.880,00
8;912O;12181;Necesidades adicionales;7.964,00;7.964.000,00
8;912O;13000;Retribuciones básicas de laboral fijo;2.466,67;2.466.670,00
8;912O;13001;Otras remuneraciones de laboral fijo;104,51;104.510,00
8;912O;150;Productividad;3.701,80;3.701.800,00
8;912O;151;Gratificaciones;68,79;68.790,00
8;912O;16000;Seguridad Social;2.466,32;2.466.320,00
8;912O;16200;Formación y perfeccionamiento del personal;80,79;80.790,00
8;912O;16201;Economatos y comedores;275;275.000,00
8;912O;16202;Transporte de personal;43;43.000,00
8;912O;16204;Acción social;161,49;161.490,00
8;912O;16205;Seguros;28,05;28.050,00
8;912O;16209;Otros gastos sociales;101,03;101.030,00
—;—;—;TOTAL GASTOS DE PERSONAL;32.234,88;32.234.880,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.937,68;7.937.680,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;3.890,31;3.890.310,00
—;—;—;TOTAL INVERSIONES REALES;4.207,00;4.207.000,00
—;—;—;TOTAL ACTIVOS FINANCIEROS;72,12;72.120,00
—;—;—;TOTAL Relaciones con las Cortes Generales, Secretariado del Gobierno y apoyo a la Alta Dirección;48.341,99;48.341.990,00
8;000X;410;Al Centro de Estudios Políticos y Constitucionales;2.774,99;2.774.990,00
8;000X;411;Al Centro de Investigaciones Sociológicas;11.450,76;11.450.760,00
8;000X;417;Al Consejo de Administración del Patrimonio Nacional;66.986,46;66.986.460,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;81.212,21;81.212.210,00
8;000X;710;Al Centro de Estudios Políticos y Constitucionales (capital);335;335.000,00
8;000X;711;Al Centro de Investigaciones Sociológicas (capital);50,98;50.980,00
8;000X;717;Al Consejo de Administración del Patrimonio Nacional (capital);19.071,27;19.071.270,00
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;19.457,25;19.457.250,00
—;—;—;TOTAL Transferencias y libramientos internos;100.669,46;100.669.460,00
—;—;—;TOTAL SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;158.369,91;158.369.910,00
—;—;—;TOTAL MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;2.489.275,95;2.489.275.950,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
