Económica;Explicación;28.01;28.02;28.06;28.07;28.08;28.09;28.50;Total (miles euros);Total (euros)
35; Intereses de demora y otros gastos financieros;;;1;;5;30;;;36
4;TRANSFERENCIAS CORRIENTES;19.120,79;;14.260,42;196.381,09;17.422,64;91.043,88;;;338.228,82
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;1.106,00;;13.460,42;39.877,29;11.748,07;71.796,26;;;137.988,04
45; A Comunidades Autónomas;;;;7.735,00;;14.923,58;;;22.658,58
46; A Entidades Locales;;;;;5.153,85;;;;5.153,85
47; A empresas privadas;;;;;50;;;;50
48; A familias e instituciones sin fines de lucro;18.014,79;;800;176;250;2.298,10;;;21.538,89
49; Al exterior;;;;148.592,80;220,72;2.025,94;;;150.839,46
6;INVERSIONES REALES;4.850,59;;300;543,14;545,75;145;;;6.384,48
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.850,59;;300;3,14;;60;;;2.213,73
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.500,00;;;;;80;;;2.580,00
64; Gastos de inversiones de carácter inmaterial;500;;;540;545,75;5;;;1.590,75
7;TRANSFERENCIAS DE CAPITAL;5.016,85;;110.774,50;53.715,75;526.231,05;133.632,60;643.330,00;;1.472.700,75
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;100;;510;24.875,73;513.831,05;6.125,26;490.210,00;;1.035.652,04
75; A Comunidades Autónomas;;;49.264,50;8.500,00;8.000,00;17.325,00;153.120,00;;236.209,50
76; A Entidades Locales;;;;13.000,00;;;;;13.000,00
77; A empresas privadas;;;;;3.000,00;;;;3.000,00
78; A familias e instituciones sin fines de lucro;4.916,85;;61.000,00;;1.400,00;110.182,34;;;177.499,19
79; Al exterior;;;;7.340,02;;;;;7.340,02
8;ACTIVOS FINANCIEROS;20;;;1.857.464,56;938.270,00;;230.000,00;;3.025.754,56
82;Concesión de préstamos al Sector Público;—;—;1.404.696,94;253.000,00;—;—;—;1.657.696,94;1.657.696.940,00
83;Concesión de préstamos fuera del Sector Público;20;—;—;452.767,62;—;—;—;452.787,62;452.787.620,00
87;Aportaciones patrimoniales;—;—;685.270,00;—;230.000,00;—;—;915.270,00;915.270.000,00
—;TOTAL CONSOLIDADO;78.671,44;3.093,49;138.044,75;2.111.248,94;1.487.455,58;238.203,33;873.330,00;4.930.047,53;4.930.047.530,00
4;TRANSFERENCIAS CORRIENTES;—;—;656.917,31;44;—;57.134,96;—;714.096,27;714.096.270,00
41;A Organismos Autónomos;—;—;186.828,18;—;—;57.134,96;—;243.963,14;243.963.140,00
43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;—;—;470.089,13;44;—;—;—;470.133,13;470.133.130,00
7;TRANSFERENCIAS DE CAPITAL;—;—;932.062,96;15;—;1.453,03;866.436,11;1.799.967,10;1.799.967.100,00
71;A Organismos Autónomos;—;—;98.710,70;—;—;1.453,03;185.608,02;285.771,75;285.771.750,00
73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;—;—;833.352,26;15;—;—;680.828,09;1.514.195,35;1.514.195.350,00
8;ACTIVOS FINANCIEROS;—;—;—;—;4.163,97;—;—;4.163,97;4.163.970,00
82;Concesión de préstamos al Sector Público;—;—;—;—;4.163,97;—;—;4.163,97;4.163.970,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;—;—;1.588.980,27;4.222,97;—;58.587,99;866.436,11;2.518.227,34;2.518.227.340,00
—;TOTAL FINAL;78.671,44;3.093,49;1.727.025,02;2.115.471,91;1.487.455,58;296.791,32;1.739.766,11;7.448.274,87;7.448.274.870,00
