64; Gastos de inversiones de carácter inmaterial;1.671,87;485,88;8.694,50;;;;17.101,16;;1.646,56;;;2.270,87;9,00;818,00;;;;32.697,84;
7;TRANSFERENCIAS DE CAPITAL;;;;;;;;;;;;142.000,00;;;;;;142.000,00;
77; A empresas privadas;;;;;;;;;;;;142.000,00;;;;;;142.000,00;
8;ACTIVOS FINANCIEROS;3.604,35;;170.250,00;;;;;;;;;;;16.000.000,00;30.410,76;;;16.204.265,11;
83; Concesión de préstamos fuera del Sector Público;604,35;;;;;;;;;;;;;;;;;604,35;
85; Adquisición de acciones y participaciones del Sector Público;;;170.000,00;;;;;;;;;;;;30.410,76;;;200.410,76;
86; Adquisición de acciones y participaciones de fuera del Sector Público;;;250,00;;;;;;;;;;;;;;;250,00;
87; Aportaciones patrimoniales;3.000,00;;;;;;;;;;;;;16.000.000,00;;;;16.003.000,00;
;TOTAL CONSOLIDADO;1.076.785,25;10.894,24;235.982,29;11.584,22;4.066,66;5.969,21;114.037,93;31.297,26;133.885,24;7.018,92;6.388,33;160.119,69;6.021,33;16.008.898,70;30.877,76;;;17.843.827,03;
4;TRANSFERENCIAS CORRIENTES;35.381,00;;;1.256.657,70;;;;;;;;;;;2.941,00;;;1.294.979,70;
41; A Organismos Autónomos;35.381,00;;;25.078,60;;;;;;;;;;;2.941,00;;;63.400,60;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;;1.231.579,10;;;;;;;;;;;;;;1.231.579,10;
7;TRANSFERENCIAS DE CAPITAL;1.124,00;;;104.421,79;;;;;;;;;;;;;;105.545,79;
71; A Organismos Autónomos;1.124,00;;;1.430,00;;;;;;;;;;;;;;2.554,00;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;;102.991,79;;;;;;;;;;;;;;102.991,79;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;36.505,00;;;1.361.079,49;;;;;;;;;;;2.941,00;;;1.400.525,49;
;TOTAL;1.113.290,25;10.894,24;235.982,29;1.372.663,71;4.066,66;5.969,21;114.037,93;31.297,26;133.885,24;7.018,92;6.388,33;160.119,69;6.021,33;16.008.898,70;33.818,76;;;19.244.352,52;
;;



