Servicio;Programa;Económica;Explicación;Total (miles €);Total en euros (€)
1;322A;12101;Complemento específico;12.488,85;12.488.850,00
1;322A;12102;Indemnización por residencia;14.180,72;14.180.720
1;322A;122;Retribuciones en especie;5,13;5.130,00
1;322A;12200;Casa vivienda;5,13;5.130,00
1;322A;13;Laborales;90.496,82;90.496.820,00
1;322A;130;Laboral fijo;86.159,46;86.159.460
1;322A;13000;Retribuciones básicas;54.726,36;54.726.360
1;322A;13001;Otras remuneraciones;31.433,10;31.433.100
1;322A;131;Laboral eventual;4.337,36;4.337.360
1;322A;16;Cuotas, prestaciones y gastos sociales;29.631,68;29.631.680,00
1;322A;160;Cuotas sociales;29.631,68;29.631.680,00
1;322A;16000;Seguridad Social;29.631,68;29.631.680
1;322A;—;TOTAL GASTOS DE PERSONAL;178.677,71;178.677.710
1;322A;—;TOTAL Educación Infantil y Primaria;178.677,71;178.677.710
1;322B;12;Funcionarios;79.047,01;79.047.010,00
1;322B;120;Retribuciones básicas;32.727,04;32.727.040
1;322B;12000;Sueldos grupo A1 y grupo A;19.962,57;19.962.570
1;322B;12001;Sueldos grupo A2 y grupo B;3.573,06;3.573.060
1;322B;12002;Sueldos grupo C1 y grupo C;67,55;67.550
1;322B;12003;Sueldos grupo C2 y grupo D;128,51;128.510
1;322B;12005;Trienios;3.892,86;3.892.860
1;322B;12006;Pagas extraordinarias;5.102,49;5.102.490
1;322B;121;Retribuciones complementarias;46.319,97;46.319.970
1;322B;12100;Complemento de destino;12.759,74;12.759.740,00
1;322B;12101;Complemento específico;15.650,98;15.650.980,00
1;322B;12102;Indemnización por residencia;17.895,69;17.895.690
1;322B;12103;Otros complementos;13,56;13.560
1;322B;13;Laborales;2.600,09;2.600.090,00
1;322B;130;Laboral fijo;2.010,76;2.010.760,00
1;322B;13000;Retribuciones básicas;1.371,05;1.371.050
1;322B;13001;Otras remuneraciones;639,71;639.710,00
1;322B;131;Laboral eventual;589,33;589.330,00
1;322B;16;Cuotas, prestaciones y gastos sociales;10.630,41;10.630.410,00
1;322B;160;Cuotas sociales;10.630,41;10.630.410
1;322B;16000;Seguridad Social;10.630,41;10.630.410
1;322B;48;A familias e instituciones sin fines de lucro;0,15;150
1;322B;488;Pensiones a funcionarios civiles;0,15;150,00
1;322B;—;TOTAL GASTOS DE PERSONAL;92.277,51;92.277.510
1;322B;—;TOTAL TRANSFERENCIAS CORRIENTES;0,15;150
1;322B;—;TOTAL Educación Secundaria, FP y EOI;92.277,66;92.277.660
1;322E;12;Funcionarios;3.645,91;3.645.910
1;322E;120;Retribuciones básicas;1.440,57;1.440.570,00
1;322E;12000;Sueldos grupo A1 y A;921,58;921.580
1;322E;12001;Sueldos grupo A2 y B;115,67;115.670
1;322E;12002;Sueldos grupo C1 y C;9,65;9.650
1;322E;12003;Sueldos grupo C2 y D;8,03;8.030
1;322E;12005;Trienios;166,43;166.430
1;322E;12006;Pagas extraordinarias;219,21;219.210
1;322E;121;Retribuciones complementarias;2.205,34;2.205.340
1;322E;12100;Complemento de destino;564,08;564.080
1;322E;12101;Complemento específico;704,89;704.890
1;322E;12102;Indemnización por residencia;936,37;936.370
1;322E;13;Laborales;187,36;187.360
1;322E;130;Laboral fijo;187,36;187.360
1;322E;13000;Retribuciones básicas;136,68;136.680
1;322E;13001;Otras remuneraciones;50,68;50.680
1;322E;16;Cuotas, prestaciones y gastos sociales;625,87;625.870
1;322E;160;Cuotas sociales;625,87;625.870
1;322E;16000;Seguridad Social;625,87;625.870
1;322E;—;TOTAL GASTOS DE PERSONAL;4.459,14;4.459.140
1;322E;—;TOTAL Enseñanzas artísticas;4.459,14;4.459.140
1;322G;12;Funcionarios;1.649,14;1.649.140
1;322G;120;Retribuciones básicas;705,79;705.790
1;322G;12001;Sueldos grupo A2 y B;539,81;539.810
1;322G;12005;Trienios;63,11;63.110
1;322G;12006;Pagas extraordinarias;102,87;102.870
1;322G;121;Retribuciones complementarias;943,35;943.350
1;322G;12100;Complemento de destino;287,02;287.020
1;322G;12101;Complemento específico;330,25;330.250
1;322G;12102;Indemnización por residencia;326,08;326.080
1;322G;16;Cuotas, prestaciones y gastos sociales;428,92;428.920
1;322G;160;Cuotas sociales;428,92;428.920
1;322G;16000;Seguridad Social;428,92;428.920
1;322G;—;TOTAL GASTOS DE PERSONAL;2.078,06;2.078.060
1;322G;—;TOTAL Educación compensatoria;2.078,06;2.078.060
1;322L;12;Funcionarios;17.333,67;17.333.670
1;322L;120;Retribuciones básicas;7.172,46;7.172.460
1;322L;12000;Sueldos grupo A1 y A;1.233,73;1.233.730
1;322L;12001;Sueldos grupo A2 y B;3.778,70;3.778.700
1;322L;12005;Trienios;1.004,52;1.004.520
1;322L;12006;Pagas extraordinarias;1.155,51;1.155.510
1;322L;121;Retribuciones complementarias;10.161,11;10.161.110
1;322L;12100;Complemento de destino;2.534,27;2.534.270
1;322L;12101;Complemento específico;3.426,24;3.426.240
1;322L;12102;Indemnización por residencia;4.177,33;4.177.330
1;322L;12103;Otros complementos;23,27;23.270
1;322L;122;Retribuciones en especie;0,1;100
1;322L;12200;Casa vivienda;0,1;100
1;322L;13;Laborales;1.885,70;1.885.700
1;322L;130;Laboral fijo;1.571,52;1.571.520
1;322L;13000;Retribuciones básicas;1.138,94;1.138.940
1;322L;13001;Otras remuneraciones;432,58;432.580
1;322L;131;Laboral eventual;314,18;314.180
1;322L;16;Cuotas, prestaciones y gastos sociales;2.089,60;2.089.600
1;322L;160;Cuotas sociales;2.089,60;2.089.600
1;322L;16000;Seguridad Social;2.089,60;2.089.600
1;322L;48;A familias e instituciones sin fines de lucro;91,64;91.640
1;322L;485;Fomento de la participación sindical;91,64;91.640
1;322L;—;TOTAL GASTOS DE PERSONAL;21.308,97;21.308.970,00
1;322L;—;TOTAL TRANSFERENCIAS CORRIENTES;91,64;91.640,00
1;322L;—;TOTAL Inversiones en centros educativos y otras actividades educativas;21.400,61;21.400.610,00
1;000X;41;A Organismos Autónomos;142.208,19;142.208.190,00
1;000X;410;Al Consejo Superior de Deportes;97.551,69;97.551.690
1;000X;412;Al CSD para obligaciones derivadas de la Ley 13/2011;42.952,50;42.952.500,00
1;000X;418;A la Gerencia de Infraestructuras y Equipamientos de Cultura;1.704,00;1.704.000,00
1;000X;43;A otras entidades del Sector Público Administrativo Estatal;4.299,25;4.299.250,00
1;000X;431;A la Agencia Estatal Comisión Española para la Lucha Antidopaje;4.299,25;4.299.250
1;000X;—;TOTAL TRANSFERENCIAS CORRIENTES;146.507,44;146.507.440
1;000X;71;A Organismos Autónomos;37.034,19;37.034.190
1;000X;710;Al Consejo Superior de Deportes;34.986,69;34.986.690
1;000X;712;Al CSD para obligaciones derivadas de la Ley 13/2011;2.047,50;2.047.500
1;000X;73;A otras entidades del Sector Público Administrativo Estatal;106,14;106.140,00
1;000X;731;A la Agencia Estatal Comisión Española para la Lucha Antidopaje;106,14;106.140
1;000X;—;TOTAL TRANSFERENCIAS DE CAPITAL;37.140,33;37.140.330
2;321M;10;Altos cargos;61,04;61.040
2;321M;100;Retribuciones básicas y otras remuneraciones;61,04;61.040
2;321M;10000;Retribuciones básicas;18,91;18.910,00
2;321M;10001;Retribuciones complementarias;42,13;42.130
2;321M;12;Funcionarios;4.163,05;4.163.050
2;321M;120;Retribuciones básicas;2.052,17;2.052.170
2;321M;12000;Sueldos grupo A1 y A;460,79;460.790
2;321M;12001;Sueldos grupo A2 y B;308,47;308.470
2;321M;12002;Sueldos grupo C1 y C;250,91;250.910
2;321M;12003;Sueldos grupo C2 y D;289,14;289.140
2;321M;12005;Trienios;375,39;375.390
2;321M;12006;Pagas extraordinarias;367,47;367.470
2;321M;121;Retribuciones complementarias;2.110,88;2.110.880
2;321M;12100;Complemento de destino;899,01;899.010
2;321M;12101;Complemento específico;1.211,87;1.211.870
2;321M;13;Laborales;530,9;530.900
2;321M;130;Laboral fijo;530,9;530.900
2;321M;13000;Retribuciones básicas;504,62;504.620
2;321M;13001;Otras remuneraciones;26,28;26.280
2;321M;16;Cuotas, prestaciones y gastos sociales;271,19;271.190
2;321M;160;Cuotas sociales;271,19;271.190
2;321M;16000;Seguridad Social;271,19;271.190
2;321M;—;TOTAL GASTOS DE PERSONAL;5.026,18;5.026.180
2;321M;22;Material, suministros y otros;733,1;733.100
2;321M;22001;Prensa, revistas, libros y otras publicaciones;20;20.000
2;321M;226;Gastos diversos;15,34;15.340
2;321M;22601;Atenciones protocolarias y representativas;2,34;2.340
2;321M;22606;Reuniones, conferencias y cursos;13;13.000
2;321M;227;Trabajos realizados por otras empresas;697,76;697.760
2;321M;22706;Estudios y trabajos técnicos;697,76;697.760
2;321M;23;Indemnizaciones por razón del servicio;20,98;20.980
2;321M;230;Dietas;10,34;10.340
2;321M;231;Locomoción;10,64;10.640
2;321M;24;Gastos de publicaciones;100;100.000
2;321M;240;Gastos de edición y distribución;100;100.000
2;321M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;854,08;854.080
2;321M;48;A familias e instituciones sin fines de lucro;138;138.000
2;321M;483;Becas para formación y prácticas;18;18.000
2;321M;48302;Becas para personas con discapacidad intelectual;18;18.000
2;321M;484;Becas para especialistas en documentación e informática;120;120.000
2;321M;—;TOTAL TRANSFERENCIAS CORRIENTES;138;138.000
2;321M;62;Inversión nueva asociada al funcionamiento;65;65.000
2;321M;620;Inversión nueva asociada al funcionamiento;65;65.000
2;321M;64;Gastos de inversiones de carácter inmaterial;36;36.000
2;321M;640;Gastos en inversiones de carácter inmaterial;36;36.000
2;321M;—;TOTAL INVERSIONES REALES;101;101.000
3;321M;10;Altos cargos;141,34;141.340
3;321M;11;Personal eventual;253,05;253.050
3;321M;12;Funcionarios;1.117,89;1.117.890
3;321M;16;Cuotas, prestaciones y gastos sociales;43,31;43.310,00
3;321M;—;TOTAL GASTOS DE PERSONAL;1.555,59;1.555.590
3;321M;22;Material, suministros y otros;287,74;287.740
3;321M;23;Indemnizaciones por razón del servicio;240,26;240.260
3;321M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;528;528.000
3;321M;44;A Sociedades, Entidades Públicas…;175;175.000
3;321M;48;A familias e instituciones sin fines de lucro;161;161.000
3;321M;49;Al exterior;3;3.000
3;321M;—;TOTAL TRANSFERENCIAS CORRIENTES;339;339.000
3;322L;48;A familias e instituciones sin fines de lucro;20;20.000
3;322L;—;TOTAL TRANSFERENCIAS CORRIENTES;20;20.000
3;322L;—;TOTAL Inversiones en centros educativos;20;20.000
3;000X;41;A Organismos Autónomos;1.023,00;1.023.000
3;000X;—;TOTAL TRANSFERENCIAS CORRIENTES;1.023,00;1.023.000
3;000X;71;A Organismos Autónomos;11.119,98;11.119.980
3;000X;—;TOTAL TRANSFERENCIAS DE CAPITAL;11.119,98;11.119.980
4;321M;10;Altos cargos;61,04;61.040
4;321M;12;Funcionarios;2.394,40;2.394.400
4;321M;16;Cuotas, prestaciones y gastos sociales;145,41;145.410
4;321M;—;TOTAL GASTOS DE PERSONAL;2.600,85;2.600.850
4;321M;22;Material, suministros y otros;462,87;462.870
4;321M;23;Indemnizaciones por razón del servicio;160,65;160.650
4;321M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;623,52;623.520
4;321N;16;Cuotas, prestaciones y gastos sociales;3,87;3.870
4;321N;—;TOTAL GASTOS DE PERSONAL;3,87;3.870
4;321N;21;Reparaciones, mantenimiento y conservación;8,88;8.880
4;321N;22;Material, suministros y otros;419,43;419.430
4;321N;23;Indemnizaciones por razón del servicio;372,3;372.300
4;321N;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;800,61;800.610
4;321N;48;A familias e instituciones sin fines de lucro;1.032,96;1.032.960
4;321N;—;TOTAL TRANSFERENCIAS CORRIENTES;1.032,96;1.032.960
4;321N;62;Inversión nueva asociada al funcionamiento;10;10.000
4;321N;—;TOTAL INVERSIONES REALES;10;10.000
4;322B;82;Concesión de préstamos al Sector Público;210.868,68;210.868.680
4;322E;22;Material, suministros y otros;2,08;2.080
4;322G;22;Material, suministros y otros;322,31;322.310
4;322G;23;Indemnizaciones por razón del servicio;46,6;46.600
4;322G;48;A familias e instituciones sin fines de lucro;207,61;207.610
4;322G;—;TOTAL Educación compensatoria;576,52;576.520
4;322L;1;GASTOS DE PERSONAL;1.693,61;1.693.610
4;322L;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.396,11;7.396.110
4;322L;4;TRANSFERENCIAS CORRIENTES;51.286,54;51.286.540
4;322L;6;INVERSIONES REALES;2.582,30;2.582.300
4;322L;7;TRANSFERENCIAS DE CAPITAL;301.000,00;301.000.000
4;322L;—;TOTAL Inversiones en centros educativos;363.958,56;363.958.560
4;323M;4;TRANSFERENCIAS CORRIENTES;58.649,61;58.649.610
4;323M;—;TOTAL Becas y ayudas a estudiantes;58.649,61;58.649.610
5;241B;12;Funcionarios;967,36;967.360
5;241B;13;Laborales;328,23;328.230
5;241B;16;Cuotas, prestaciones y gastos sociales;657,91;657.910
5;241B;—;TOTAL GASTOS DE PERSONAL;1.953,50;1.953.500
5;241B;22;Material, suministros y otros;18.820,12;18.820.120
5;241B;23;Indemnizaciones por razón del servicio;1.720,06;1.720.060
5;241B;24;Gastos de publicaciones;247,35;247.350
5;241B;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;20.787,53;20.787.530
5;241B;44;A entidades del Sector Público Estatal;2.245,73;2.245.730
5;241B;45;A Comunidades Autónomas;974.959,97;974.959.970
5;241B;48;A familias e instituciones sin fines de lucro;173.370,63;173.370.630
5;241B;—;TOTAL TRANSFERENCIAS CORRIENTES;1.150.576,33;1.150.576.330
5;241B;62;Inversión nueva;2.534,45;2.534.450
5;241B;63;Inversión de reposición;2.534,45;2.534.450
5;241B;—;TOTAL INVERSIONES REALES;5.068,90;5.068.900
5;321M;10;Altos cargos;71,16;71.160
5;321M;12;Funcionarios;372,23;372.230
5;321M;—;TOTAL GASTOS DE PERSONAL;443,39;443.390
5;321M;22;Material, suministros y otros;271,56;271.560
5;321M;23;Indemnizaciones por razón del servicio;240,26;240.260
5;321M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;511,82;511.820
5;322B;12;Funcionarios;1.347,88;1.347.880
5;322B;16;Cuotas sociales;68,09;68.090
5;322B;—;TOTAL GASTOS DE PERSONAL;1.415,97;1.415.970
5;322B;22–23;Gastos corrientes en bienes y servicios;12.554,61;12.554.610
5;322B;45–49;Transferencias corrientes;33.750,08;33.750.080
5;322B;62;Inversiones reales;991,84;991.840
5;322B;82;Activos financieros;221.222,02;221.222.020
5;322B;—;TOTAL Programa 322B;269.934,52;269.934.520
5;322L;12–13–16;Gastos de personal;586,71;586.710
5;322L;22–23;Gastos corrientes en bienes y servicios;2.792,11;2.792.110
5;322L;46–48;Transferencias corrientes;787,67;787.670
5;322L;62;Inversiones reales;200;200.000,00
5;322L;—; TOTAL Programa 322L;4.366,49;4.366.490,00
5;323M;48;Becas y otras ayudas;160;160.000
5;323M;—; TOTAL Programa 323M;160;160.000,00
8;144B;12;Funcionarios;1.232,23;1.232.230
8;144B;13;Laborales;88,07;88.070
8;144B;16;Cuotas, prestaciones y gastos sociales;28,49;28.490
8;144B;—;TOTAL GASTOS DE PERSONAL;1.348,79;1.348.790
8;144B;22;Material, suministros y otros;601,54;601.540
8;144B;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;601,54;601.540
8;144B;48;A familias e instituciones sin fines de lucro;8.844,87;8.844.870
8;144B;49;Al exterior;448,05;448.050
8;144B;—;TOTAL TRANSFERENCIAS CORRIENTES;9.292,92;9.292.920
8;144B;—;TOTAL Cooperación, promoción y difusión educativa en el exterior;11.243,25;11.243.250
8;321M;10;Altos cargos;61,04;61.040
8;321M;12;Funcionarios;2.547,29;2.547.290
8;321M;13;Laborales;33,08;33.080
8;321M;16;Cuotas, prestaciones y gastos sociales;45,66;45.660
8;321M;—;TOTAL GASTOS DE PERSONAL;2.687,07;2.687.070
8;321M;21;Reparaciones, mantenimiento y conservación;144,02;144.020
8;321M;22;Material, suministros y otros;2.769,67;2.769.670
8;321M;23;Indemnizaciones por razón del servicio;537,63;537.630
8;321M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.451,32;3.451.320
8;321M;—;TOTAL Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;6.138,39;6.138.390
8;322A;22;Material, suministros y otros;531,78;531.780
8;322A;45;A Comunidades Autónomas;1.231,50;1.231.500
8;322A;48;A familias e instituciones sin fines de lucro;14.254,39;14.254.390
8;322A;489;Otras actuaciones;362,4;362.400
8;322A;—;TOTAL Educación Infantil y Primaria;16.017,67;16.017.670
8;322B;22;Material, suministros y otros;2.852,71;2.852.710
8;322B;48;A familias e instituciones sin fines de lucro;7.814,93;7.814.930
8;322B;—;TOTAL Educación Secundaria, Formación Profesional y Escuelas Oficiales de Idiomas;10.667,64;10.667.640
8;322E;22;Material, suministros y otros;296,75;296.750
8;322E;—;TOTAL Enseñanzas artísticas;296,75;296.750
8;322F;12;Funcionarios;88.453,25;88.453.250
8;322F;13;Laborales;7.640,84;7.640.840
8;322F;16;Cuotas, prestaciones y gastos sociales;4.482,47;4.482.470
8;322F;—;TOTAL GASTOS DE PERSONAL;100.576,56;100.576.560
8;322F;20–24;Gastos corrientes en bienes y servicios;9.484,83;9.484.830
8;322F;35;Gastos financieros;42,28;42.280
8;322F;49;Transferencias corrientes al exterior;28;28.000
8;322F;62–64;Inversiones reales;25;25.000,00
8;322F;—;TOTAL Educación en el exterior;110.156,67;110.156.670
8;322G;22–23;Gastos corrientes en bienes y servicios;21;21.000
8;322G;45–48;Transferencias corrientes;1.468,49;1.468.490
8;322G;—;TOTAL Educación compensatoria;1.489,49;1.489.490
8;322L;21–22;Gastos corrientes en bienes y servicios;609,17;609.170
8;322L;48–49;Transferencias corrientes;6.268,61;6.268.610
8;322L;62;Inversiones reales;83;83.000
8;322L;—;TOTAL Inversiones en centros educativos y otras actividades educativas;6.960,78;6.960.780
8;323M;12–16;Gastos de personal;1.136,35;1.136.350
8;323M;22;Gastos corrientes en bienes y servicios;172,02;172.020
8;323M;35;Gastos financieros;1;1.000
8;323M;48;Transferencias corrientes;2.489.665,12;2.489.665.120
8;323M;—;TOTAL Becas y ayudas a estudiantes;2.490.974,49;2.490.974.490
8;000X;41;Transferencias corrientes;8.223,58;8.223.580
8;000X;—;TOTAL Transferencias y libramientos internos;8.223,58;8.223.580
50;14SB;29;Gastos corrientes en bienes y servicios. MRR;72,6;72.600
50;14SB;69;Inversiones reales. MRR;251,51;251.510
50;14SB;—;TOTAL C19.I02 Transformación Digital de la Educación. Política Exterior;324,11;324.110
50;24TA;45;A Comunidades Autónomas;12.250,00;12.250.000
50;24TA;46;A Entidades Locales;12.250,00;12.250.000
50;24TA;47;A empresas privadas;24.500,00;24.500.000
50;24TA;48;A familias e instituciones sin fines de lucro;24.500,00;24.500.000
50;24TA;—;TOTAL C20.I01 Reskilling y upskilling;73.500,00;73.500.000
50;32SA;45;A Comunidades Autónomas;42.000,00;42.000.000
50;32SA;—;TOTAL C19.I01 Competencias digitales transversales;42.000,00;42.000.000
50;32SB;19;Gastos de personal. MRR;1.292,82;1.292.820
50;32SB;29;Gastos corrientes en bienes y servicios. MRR;769,55;769.550
50;32SB;69;Inversiones reales. MRR;57.741,64;57.741.640
50;32SB;—;TOTAL C19.I02 Transformación Digital de la Educación. Educación;59.804,01;59.804.010
50;32TA;29;Gastos corrientes en bienes y servicios. MRR;5.647,13;5.647.130
50;32TA;45;A Comunidades Autónomas;398.510,99;398.510.990
50;32TA;46;A Entidades Locales;3.960,00;3.960.000
50;32TA;48;A familias e instituciones sin fines de lucro;30.682,30;30.682.300
50;32TA;—;TOTAL C20.I01 Reskilling y upskilling;438.800,42;438.800.420,00
50;32TB;45;A Comunidades Autónomas;18.358,90;18.358.900
50;32TB;47;A empresas privadas;25.333,89;25.333.890
50;32TB;48;A familias e instituciones sin fines de lucro;98.922,88;98.922.880,00
50;32TB;69;Inversiones reales. MRR;444,2;444.200
50;32TB;—;TOTAL C20.I02 Transformación Digital FP;143.059,87;143.059.870
50;32TC;19;Gastos de personal. MRR;6.020,06;6.020.060,00
50;32TC;29;Gastos corrientes en bienes y servicios. MRR;1.047,60;1.047.600,00
50;32TC;44;A entidades del Sector Público Estatal;202,86;202.860
50;32TC;45;A Comunidades Autónomas;160.042,16;160.042.160
50;32TC;46;A Entidades Locales;386,5;386.500,00
50;32TC;47;A empresas privadas;5.597,30;5.597.300,00
50;32TC;48;A familias e instituciones sin fines de lucro;19.906,75;19.906.750
50;32TC;—;TOTAL C20.I03 Innovación e internacionalización FP;193.203,23;193.203.230
50;32TR;19–29;Plan de modernización FP – Personal y bienes;400;400.000
50;32UA;45;Creación de plazas Educación Infantil – Corrientes;134.774,30;134.774.300
50;32UA;75;Creación de plazas Educación Infantil – Capital;1.435,70;1.435.700
50;32UB;19;PROA+ – Gastos de personal;1.435,71;1.435.710
50;32UB;45–48;PROA+ – Transferencias corrientes;119.190,79;119.190.790
50;32UC;19;Unidades de Acompañamiento – Personal;895,52;895.520
50;32UC;45;Unidades de Acompañamiento – Transferencias;55.039,40;55.039.400,00
50;32US;29;Nuevo modelo curricular – Bienes y servicios;400;400.000
50;000X;41–43;Transferencias internas – Corrientes;60.240,67;60.240.670
50;000X;71–73;Transferencias internas – Capital;82.149,45;82.149.450
 ; ;;TOTAL MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;6.730.813,30;6.730.813.300,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
