;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Organismo: 107 INSTITUTO DE VIVIENDA, INFRAESTRUCTURA Y EQUIPAMIENTO DE LA DEFENSA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
;;22299;  Otras;3,00;;
;;223;Transportes;;5,00;
;;224;Primas de seguros;;50,00;
;;225;Tributos;;7.552,00;
;;22500;  Estatales;50,00;;
;;22501;  Autonómicos;2,00;;
v;;22502;  Locales;7.500,00;;
;;226;Gastos diversos;;976,14;
v;;22601;  Atenciones protocolarias y representativas;2,34;;
;;22602;  Publicidad y propaganda;41,60;;
;;22603;  Jurídicos, contenciosos;920,00;;
;;22606;  Reuniones, conferencias y cursos;7,00;;
;;22699;  Otros;5,20;;
;;227;Trabajos realizados por otras empresas y profesionales;;7.701,91;
;;22700;  Limpieza y aseo;146,91;;
;;22701;  Seguridad;2.600,00;;
;;22702;  Valoraciones y peritajes;150,00;;
;;22706;  Estudios y trabajos técnicos;4.000,00;;
;;22799;  Otros;805,00;;
;;23;Indemnizaciones por razón del servicio;;445,25;
;;230;Dietas;;235,25;
;;231;Locomoción;;200,00;
;;232;Traslado;;5,00;
;;233;Otras indemnizaciones;;5,00;
;;24;Gastos de publicaciones;;10,40;
;;240;Gastos de edición y distribución;;10,40;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;34.940,25;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;70,00;
v;;352;Intereses de demora;;60,00;
v;;359;Otros gastos financieros;;10,00;
;;;TOTAL GASTOS FINANCIEROS;;70,00;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;55.000,00;
v;;481;Indemnización por desalojo de vivienda;;1.000,00;
v;;482;Compensación económica por carencia de vivienda;;54.000,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;55.000,00;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;263,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;263,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;31.161,59;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;31.161,59;
;;64;Gastos de inversiones de carácter inmaterial;;165,00;
;;640;Gastos en inversiones de carácter inmaterial;;165,00;
;;;TOTAL INVERSIONES REALES;;31.589,59;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;120,00;
v;;831;Préstamos a largo plazo;;120,00;
;;83108;  Familias e instituciones sin fines de lucro;120,00;;
v;;84;Constitución de depósitos y fianzas;;10,00;
v;;840;Depósitos;;5,00;
;;84001;  A largo plazo;5,00;;
v;;841;Fianzas;;5,00;
;;84101;  A largo plazo;5,00;;
;;;TOTAL ACTIVOS FINANCIEROS;;130,00;
 ; ;;;;;
;;;TOTAL Apoyo Logístico;;136.298,28;
 ; ;;;;;
 ; ;;;;;
v;000X;;Transferencias y libramientos internos;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;40;A la Administración del Estado;;388,25;
v;;402;Al Estado, para compensar gastos de gestión centralizada;;388,25;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;388,25;
 ; ;;;;;
v;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;70;A la Administración del Estado;;100,00;
v;;700;Para Modernización de las FAS;;100,00;
;;;TOTAL TRANSFERENCIAS DE CAPITAL;;100,00;
 ; ;;;;;
;;;TOTAL Transferencias y libramientos internos;;488,25;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL INSTITUTO DE VIVIENDA, INFRAESTRUCTURA Y EQUIPAMIENTO DE LA DEFENSA;;255.109,19;
;;



