Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros);
1;334A;487;Fundaciones y asociaciones vinculadas a partidos políticos;350;350.000,00;
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;210.350,00;210.350.000,00;36,5
1;000X;41;A Organismos Autónomos;330.305,12;330.305.120,00;36,5
1;000X;412;A la Biblioteca Nacional de España;24.134,90;24.134.900,00;
1;000X;413;Al ICAA – promoción cinematográfica en lenguas oficiales;39.000,00;39.000.000,00;
1;000X;414;Al ICAA – funcionamiento general;9.927,34;9.927.340,00;150
1;000X;415;Al ICAA – Fondo de Protección a la Cinematografía;105.771,61;105.771.610,00;150
1;000X;416;Al INAEM – Artes Escénicas y Música;144.900,82;144.900.820,00;1.673,00
1;000X;417;A la Gerencia de Infraestructuras y Equipamientos de Cultura;6.570,45;6.570.450,00;1.673,00
1;000X;43;A otras entidades del Sector Público Administrativo Estatal;45.831,06;45.831.060,00;1.724,00
1;000X;437;Al Museo Nacional del Prado;20.948,90;20.948.900,00;1.724,00
1;000X;438;Al Museo Nacional Centro de Arte Reina Sofía;24.882,16;24.882.160,00;3.547,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;376.136,18;376.136.180,00;
1;000X;71;A Organismos Autónomos;89.806,58;89.806.580,00;133,94
1;000X;712;A la Biblioteca Nacional de España;5.094,18;5.094.180,00;10,37
1;000X;714;Al ICAA – inversiones;585;585.000,00;
1;000X;716;Al INAEM – inversiones;15.726,33;15.726.330,00;123,57
1;000X;717;A la Gerencia de Infraestructuras y Equipamientos de Cultura;68.401,07;68.401.070,00;
1;000X;73;A otras entidades del Sector Público Administrativo Estatal;33.682,25;33.682.250,00;133,94
1;000X;737;Al Museo Nacional del Prado;27.082,25;27.082.250,00;
1;000X;738;Al Museo Nacional Centro de Arte Reina Sofía;6.600,00;6.600.000,00;35.047,41
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;123.488,83;123.488.830,00;
1;000X;;Transferencias y libramientos internos;499.625,01;499.625.010,00;
1;;;Ministerio, Subsecretaría y Servicios Generales;745.022,42;745.022.420,00;
2;331M;10;Altos cargos;61,04;61.040,00;
2;331M;100;Retribuciones básicas y otras remuneraciones;61,04;61.040,00;
2;331M;10000;Retribuciones básicas;18,91;18.910,00;
2;331M;10001;Retribuciones complementarias;42,13;42.130,00;61,04
2;331M;12;Funcionarios;3.002,78;3.002.780,00;61,04
2;331M;120;Retribuciones básicas;1.474,40;1.474.400,00;
2;331M;12000;Sueldos del grupo A1 y grupo A;343,44;343.440,00;
2;331M;12001;Sueldos del grupo A2 y grupo B;283,52;283.520,00;3.002,78
2;331M;12002;Sueldos del grupo C1 y grupo C;163,32;163.320,00;1.474,40
2;331M;12003;Sueldos del grupo C2 y grupo D;155,91;155.910,00;
2;331M;12005;Trienios;261,83;261.830,00;
2;331M;12006;Pagas extraordinarias;266,38;266.380,00;
2;331M;121;Retribuciones complementarias;1.528,38;1.528.380,00;
2;331M;12100;Complemento de destino;657,8;657.800,00;
2;331M;12101;Complemento específico;870,58;870.580,00;
2;331M;13;Laborales;214,88;214.880,00;1.528,38
2;331M;130;Laboral fijo;153,5;153.500,00;
2;331M;13000;Retribuciones básicas;139,34;139.340,00;
2;331M;13001;Otras remuneraciones;14,16;14.160,00;214,88
2;331M;131;Laboral eventual;61,38;61.380,00;153,5
2;331M;16;Cuotas, prestaciones y gastos sociales;272,08;272.080,00;
2;331M;160;Cuotas sociales;272,08;272.080,00;
2;331M;16000;Seguridad Social;272,08;272.080,00;61,38
2;331M;22;Material, suministros y otros;423;423.000,00;272,08
2;331M;220;Material de oficina;20;20.000,00;
2;331M;22001;Prensa, revistas, libros y otras publicaciones;20;20.000,00;3.550,78
2;331M;226;Gastos diversos;1,17;1.170,00;
2;331M;22601;Atenciones protocolarias y representativas;1,17;1.170,00;
2;331M;227;Trabajos realizados por otras empresas y profesionales;401,83;401.830,00;423
2;331M;22706;Estudios y trabajos técnicos;401,83;401.830,00;20
2;331M;23;Indemnizaciones por razón del servicio;14,02;14.020,00;
2;331M;230;Dietas;8,66;8.660,00;1,17
2;331M;231;Locomoción;5,36;5.360,00;
2;331M;24;Gastos de publicaciones;155,88;155.880,00;401,83
2;331M;240;Gastos de edición y distribución;155,88;155.880,00;
2;331M;62;Inversión nueva asociada al funcionamiento operativo de los servicios;22;22.000,00;14,02
2;331M;620;Inversión nueva asociada al funcionamiento operativo de los servicios;22;22.000,00;8,66
2;331M;64;Gastos de inversiones de carácter inmaterial;22;22.000,00;5,36
2;331M;640;Gastos en inversiones de carácter inmaterial;22;22.000,00;155,88
2;331M;;Dirección y Servicios Generales de Cultura;4.187,68;4.187.680,00;155,88
3;144A;22;Material, suministros y otros;359,81;359.810,00;592,9
3;144A;220;Material de oficina;22,8;22.800,00;
3;144A;22001;Prensa, revistas, libros y otras publicaciones;22,4;22.400,00;
3;144A;22002;Material informático no inventariable;0,4;400;22
3;144A;221;Suministros;0,8;800;22
3;144A;22199;Otros suministros;0,8;800;22
3;144A;222;Comunicaciones;0,4;400;22
3;144A;22201;Postales y mensajería;0,4;400;44
3;144A;223;Transportes;13,6;13.600,00;
3;144A;226;Gastos diversos;189,27;189.270,00;4.187,68
3;144A;22606;Reuniones, conferencias y cursos;170,27;170.270,00;
3;144A;22615;Gastos diversos en el exterior;15;15.000,00;4.187,68
3;144A;22699;Otros;4;4.000,00;
3;144A;227;Trabajos realizados por otras empresas y profesionales;132,94;132.940,00;
3;144A;22706;Estudios y trabajos técnicos;115,74;115.740,00;
3;144A;22715;Trabajos realizados en el exterior;10;10.000,00;
3;144A;22799;Otros;7,2;7.200,00;
3;144A;23;Indemnizaciones por razón del servicio;100;100.000,00;359,81
3;144A;230;Dietas;50;50.000,00;22,8
3;144A;231;Locomoción;50;50.000,00;
3;144A;48;A familias e instituciones sin fines de lucro;176,6;176.600,00;0,8
3;144A;488;Ayudas relacionadas con el libro;176,6;176.600,00;
3;144A;48801;A la OEPLI;5;5.000,00;0,4
3;144A;48802;A la Federación de Gremios de Editores de España;171,6;171.600,00;
3;144A;49;Al exterior;482;482.000,00;13,6
3;144A;490;Cuotas y ayudas para difusión cultural exterior;482;482.000,00;189,27
3;144A;49012;Cuotas al CERLALC;82;82.000,00;
3;144A;49013;Ayudas para traducción de libros;400;400.000,00;
3;144A;;Cooperación, promoción y difusión cultural;1.118,41;1.118.410,00;
3;332B;12;Funcionarios;1.977,36;1.977.360,00;132,94
3;332B;120;Retribuciones básicas;1.237,11;1.237.110,00;
3;332B;12000;Sueldos del grupo A1 y grupo A;240,45;240.450,00;
3;332B;12001;Sueldos del grupo A2 y grupo B;664,69;664.690,00;
3;332B;12002;Sueldos del grupo C1 y grupo C;63,86;63.860,00;100
3;332B;12003;Sueldos del grupo C2 y grupo D;15,75;15.750,00;50
3;332B;12005;Trienios;63,45;63.450,00;50
3;332B;12006;Pagas extraordinarias;188,91;188.910,00;459,81
3;332B;121;Retribuciones complementarias;740,25;740.250,00;
3;332B;12100;Complemento de destino;370,74;370.740,00;
3;332B;12101;Complemento específico;369,51;369.510,00;176,6
3;332B;13;Laborales;35,11;35.110,00;176,6
3;332B;131;Laboral eventual;35,11;35.110,00;
3;332B;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;370,89;370.890,00;
3;332B;160;Cuotas sociales;370,89;370.890,00;482
3;332B;16000;Seguridad Social;370,89;370.890,00;482
3;332B;20;Arrendamientos y cánones;1;1.000,00;
3;332B;205;Arrendamientos de mobiliario y enseres;1;1.000,00;
3;332B;21;Reparaciones, mantenimiento y conservación;235;235.000,00;658,6
3;332B;216;Equipos para procesos de la información;235;235.000,00;
3;332B;22;Material, suministros y otros;1.322,76;1.322.760,00;1.118,41
3;332B;220;Material de oficina;300;300.000,00;
3;332B;22001;Prensa, revistas, libros y otras publicaciones;300;300.000,00;
3;332B;221;Suministros;2,33;2.330,00;
3;332B;22101;Agua;0,93;930;1.977,36
3;332B;22199;Otros suministros;1,4;1.400,00;1.237,11
3;332B;223;Transportes;1,23;1.230,00;
3;332B;225;Tributos;15;15.000,00;
3;332B;22502;Locales;15;15.000,00;
3;332B;226;Gastos diversos;489;489.000,00;
3;332B;22606;Reuniones, conferencias y cursos;410;410.000,00;
3;332B;22616;Remuneración por préstamos bibliotecarios (Directiva 2006/115/CE);65;65.000,00;
3;332B;22699;Otros;14;14.000,00;740,25
3;332B;227;Trabajos realizados por otras empresas y profesionales;515,2;515.200,00;
3;332B;22706;Estudios y trabajos técnicos;500;500.000,00;
3;332B;22799;Otros;15,2;15.200,00;35,11
3;332B;23;Indemnizaciones por razón del servicio;14,75;14.750,00;35,11
3;332B;230;Dietas;7,4;7.400,00;370,89
3;332B;231;Locomoción;7,35;7.350,00;370,89
3;332B;45;A Comunidades Autónomas;450;450.000,00;
3;332B;451;Ayudas al Catálogo Colectivo del Patrimonio Bibliográfico Español;95;95.000,00;2.383,36
3;332B;454;Ayudas para el Patrimonio Bibliográfico Español y Patrimonio Digital;355;355.000,00;
3;332B;45402;Ayudas a CCAA y universidades para la preservación del Patrimonio Digital;355;355.000,00;
3;332B;46;A Entidades Locales;100;100.000,00;1
3;332B;463;Ayudas para la preservación del Patrimonio Digital;100;100.000,00;1
3;332B;48;A familias e instituciones sin fines de lucro;239;239.000,00;235
3;332B;480;Ayudas a entidades privadas sin fines de lucro y reales academias;100;100.000,00;235
3;332B;484;Ayudas a instituciones y asociaciones profesionales;139;139.000,00;1.322,76
3;332B;48406;A FESABID para actividades relacionadas con bibliotecas;89;89.000,00;300
3;332B;48407;A ANABAD para actividades relacionadas con bibliotecas;25;25.000,00;
3;332B;48408;A SEDIC para actividades relacionadas con bibliotecas;25;25.000,00;2,33
3;332B;49;Al exterior;51,45;51.450,00;
3;332B;491;Cuotas a organismos internacionales y cooperación internacional;51,45;51.450,00;
3;332B;49104;Cuota al CERLALC – Iberbibliotecas;50;50.000,00;1,23
3;332B;49105;Cuota a IFLA;0,75;750;15
3;332B;49106;Cuota a EBLIDA;0,7;700;
3;332B;62;Inversión nueva asociada al funcionamiento operativo;1.166,15;1.166.150,00;489
3;332B;620;Inversión nueva asociada al funcionamiento operativo;1.166,15;1.166.150,00;
3;332B;63;Inversión de reposición asociada al funcionamiento operativo;50;50.000,00;
3;332B;630;Inversión de reposición asociada al funcionamiento operativo;50;50.000,00;
3;332B;64;Gastos de inversiones de carácter inmaterial;1.070,00;1.070.000,00;515,2
3;332B;640;Gastos en inversiones de carácter inmaterial;1.070,00;1.070.000,00;
3;332B;;Bibliotecas;7.083,47;7.083.470,00;
3;334B;10;Altos cargos;61,04;61.040,00;14,75
3;334B;100;Retribuciones básicas y otras remuneraciones;61,04;61.040,00;7,4
3;334B;10000;Retribuciones básicas;18,91;18.910,00;7,35
3;334B;10001;Retribuciones complementarias;42,13;42.130,00;1.573,51
3;334B;12;Funcionarios;1.467,86;1.467.860,00;
3;334B;120;Retribuciones básicas;752,06;752.060,00;
3;334B;12000;Sueldos del grupo A1 y grupo A;161,77;161.770,00;450
3;334B;12001;Sueldos del grupo A2 y grupo B;228,89;228.890,00;95
3;334B;12002;Sueldos del grupo C1 y grupo C;91,5;91.500,00;355
3;334B;12003;Sueldos del grupo C2 y grupo D;39,73;39.730,00;
3;334B;12005;Trienios;93,94;93.940,00;100
3;334B;12006;Pagas extraordinarias;136,23;136.230,00;100
3;334B;121;Retribuciones complementarias;715,8;715.800,00;239
3;334B;12100;Complemento de destino;348,06;348.060,00;100
3;334B;12101;Complemento específico;367,74;367.740,00;139
3;334B;13;Laborales;265,76;265.760,00;
3;334B;130;Laboral fijo;185,28;185.280,00;
3;334B;13000;Retribuciones básicas;175,84;175.840,00;
3;334B;13001;Otras remuneraciones;9,44;9.440,00;51,45
3;334B;131;Laboral eventual;80,48;80.480,00;51,45
3;334B;16;Cuotas, prestaciones y gastos sociales;250,68;250.680,00;
3;334B;160;Cuotas sociales;250,68;250.680,00;
3;334B;16000;Seguridad Social;250,68;250.680,00;
3;334B;21;Reparaciones, mantenimiento y conservación;156;156.000,00;840,45
3;334B;212;Edificios y otras construcciones;54;54.000,00;
3;334B;213;Maquinaria, instalaciones y utillaje;25;25.000,00;
3;334B;215;Mobiliario y enseres;7;7.000,00;1.166,15
3;334B;216;Equipos para procesos de la información;70;70.000,00;1.166,15
3;334B;22;Material, suministros y otros;1.241,84;1.241.840,00;50
3;334B;220;Material de oficina;77;77.000,00;50
3;334B;22001;Prensa, revistas, libros y otras publicaciones;70;70.000,00;1.070,00
3;334B;22002;Material informático no inventariable;7;7.000,00;1.070,00
3;334B;221;Suministros;58,5;58.500,00;2.286,15
3;334B;22101;Agua;6,5;6.500,00;
3;334B;22111;Repuestos de maquinaria, utillaje y transporte;8;8.000,00;7.083,47
3;334B;22112;Material electrónico, eléctrico y comunicaciones;14;14.000,00;
3;334B;22199;Otros suministros;30;30.000,00;
3;334B;223;Transportes;4;4.000,00;
3;334B;226;Gastos diversos;852,34;852.340,00;61,04
3;334B;22601;Atenciones protocolarias y representativas;2,34;2.340,00;61,04
3;334B;22602;Publicidad y propaganda;150;150.000,00;
3;334B;22606;Reuniones, conferencias y cursos;700;700.000,00;
3;334B;227;Trabajos realizados por otras empresas y profesionales;250;250.000,00;1.467,86
3;334B;22706;Estudios y trabajos técnicos;250;250.000,00;752,06
3;334B;23;Indemnizaciones por razón del servicio;183;183.000,00;
3;334B;230;Dietas;50;50.000,00;
3;334B;231;Locomoción;38;38.000,00;
3;334B;233;Otras indemnizaciones;95;95.000,00;
3;334B;45;A Comunidades Autónomas;200;200.000,00;
3;334B;450;A les Illes Balears para fomento del uso de la lengua catalana;200;200.000,00;
3;334B;46;A Entidades Locales;1.580,00;1.580.000,00;715,8
3;334B;460;Ayudas para actividades de Promoción de la Lectura;1.400,00;1.400.000,00;
3;334B;461;Al Consell de Mallorca – producción editorial en lengua catalana;150;150.000,00;
3;334B;462;Fundación Max Aub – proyectos de fomento de la lectura;30;30.000,00;265,76
3;334B;47;A empresas privadas;1.900,00;1.900.000,00;185,28
3;334B;477;Ayudas a editoras de revistas culturales;700;700.000,00;
3;334B;478;Traducción de libros entre lenguas del Estado;200;200.000,00;
3;334B;479;Promoción de la lectura y difusión de las letras españolas;1.000,00;1.000.000,00;80,48
3;334B;48;A familias e instituciones sin fines de lucro;3.185,00;3.185.000,00;250,68
3;334B;481;Ayudas para la acción y promoción cultural;3.060,00;3.060.000,00;250,68
3;334B;48115;Promoción de la lectura y difusión de letras españolas;1.258,00;1.258.000,00;
3;334B;48116;Ayudas a editoras sin fines de lucro de revistas culturales;300;300.000,00;2.045,34
3;334B;48118;Premios literarios de ámbito nacional;652;652.000,00;
3;334B;48119;Ayudas a entidades que fortalecen la industria editorial;350;350.000,00;
3;334B;48120;Ayudas a la creación literaria;500;500.000,00;156
3;334B;482;Reial Academia de Bones Lletres de Barcelona;15;15.000,00;54
3;334B;483;Fundación Francisco Brines;30;30.000,00;25
3;334B;485;Fundación María Zambrano;30;30.000,00;7
3;334B;486;Fundación Ortega y Gasset-Gregorio Marañón;50;50.000,00;70
3;334B;62;Inversión nueva asociada al funcionamiento operativo;10;10.000,00;1.241,84
3;334B;620;Inversión nueva asociada al funcionamiento operativo;10;10.000,00;77
3;334B;63;Inversión de reposición asociada al funcionamiento operativo;10;10.000,00;
3;334B;630;Inversión de reposición asociada al funcionamiento operativo;10;10.000,00;
3;334B;64;Gastos de inversiones de carácter inmaterial;25;25.000,00;58,5
3;334B;640;Gastos en inversiones de carácter inmaterial;25;25.000,00;
3;334B;76;A Entidades Locales;1.100,00;1.100.000,00;
3;334B;763;Campaña “María Moliner” – animación lectora en municipios pequeños;1.100,00;1.100.000,00;
3;334B;77;A empresas privadas;1.690,88;1.690.880,00;
3;334B;772;Actividades del Plan de Fomento de la Lectura;40,88;40.880,00;4
3;334B;775;Ayudas para la edición de libros;1.150,00;1.150.000,00;852,34
3;334B;776;Revalorización cultural y modernización de librerías;500;500.000,00;
3;334B;78;A familias e instituciones sin fines de lucro;565;565.000,00;
3;334B;781;A CEGAL – desarrollo tecnológico de Todostuslibros.com;135;135.000,00;
3;334B;782;Centre de Lectura de Reus – rehabilitación de sede;150;150.000,00;250
3;334B;783;Concurso de lectura para jóvenes;30;30.000,00;
3;334B;784;Programa de animación a la lectura en mundo rural;250;250.000,00;183
3;334B;;Promoción del libro y publicaciones culturales;13.892,06;13.892.060,00;50
3;;;Dirección General del Libro, del Cómic y de la Lectura;22093,94;22093940;95
4;331M;12;Funcionarios;560,79;560.790,00;1.580,84
4;331M;120;Retribuciones básicas;226,45;226.450,00;
4;331M;12000;Sueldos grupo A1 y A;92,11;92.110,00;200
4;331M;12001;Sueldos grupo A2 y B;82,96;82.960,00;200
4;331M;12003;Sueldos grupo C2 y D;24,88;24.880,00;1.580,00
4;331M;12005;Trienios;22,54;22.540,00;1.400,00
4;331M;12006;Pagas extraordinarias;3,96;3.960,00;150
4;331M;121;Retribuciones complementarias;334,34;334.340,00;30
4;331M;12100;Complemento de destino;143,78;143.780,00;1.900,00
4;331M;12101;Complemento específico;190,56;190.560,00;700
4;331M;16;Cuotas, prestaciones y gastos sociales;86,78;86.780,00;200
4;331M;160;Cuotas sociales;86,78;86.780,00;1.000,00
4;331M;16000;Seguridad Social;86,78;86.780,00;3.185,00
4;334A;10;Altos cargos;61,04;61.040,00;
4;334A;100;Retribuciones básicas y otras remuneraciones;61,04;61.040,00;
4;334A;10000;Retribuciones básicas;18,91;18.910,00;
4;334A;10001;Retribuciones complementarias;42,13;42.130,00;
4;334A;12;Funcionarios;1.306,38;1.306.380,00;
4;334A;120;Retribuciones básicas;628,22;628.220,00;15
4;334A;12000;Sueldos grupo A1 y A;160,64;160.640,00;30
4;334A;12001;Sueldos grupo A2 y B;129,21;129.210,00;30
4;334A;12002;Sueldos grupo C1 y C;29,1;29.100,00;50
4;334A;12003;Sueldos grupo C2 y D;86,8;86.800,00;6.865,00
4;334A;12005;Trienios;104,16;104.160,00;
4;334A;12006;Pagas extraordinarias;118,31;118.310,00;
4;334A;121;Retribuciones complementarias;678,16;678.160,00;10
4;334A;12100;Complemento de destino;290,79;290.790,00;10
4;334A;12101;Complemento específico;387,37;387.370,00;10
4;334A;13;Laborales;193;193.000,00;10
4;334A;131;Laboral eventual;193;193.000,00;25
4;334A;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;222,11;222.110,00;25
4;334A;160;Cuotas sociales;222,11;222.110,00;45
4;334A;16000;Seguridad Social;222,11;222.110,00;
4;334A;20;Arrendamientos y cánones;18;18.000,00;
4;334A;205;Arrendamientos de mobiliario y enseres;2;2.000,00;1.100,00
4;334A;209;Cánones;16;16.000,00;1.100,00
4;334A;22;Material, suministros y otros;1.659,29;1.659.290,00;1.690,88
4;334A;220;Material de oficina;11,59;11.590,00;40,88
4;334A;22000;Ordinario no inventariable;1;1.000,00;1.150,00
4;334A;22001;Prensa, revistas, libros y otras publicaciones;9,59;9.590,00;500
4;334A;22002;Material informático no inventariable;1;1.000,00;565
4;334A;221;Suministros;1;1.000,00;135
4;334A;22199;Otros suministros;1;1.000,00;150
4;334A;222;Comunicaciones;2;2.000,00;30
4;334A;22201;Postales y mensajería;2;2.000,00;250
4;334A;223;Transportes;7;7.000,00;3.355,88
4;334A;226;Gastos diversos;702,06;702.060,00;
4;334A;22601;Atenciones protocolarias y representativas;2;2.000,00;13.892,06
4;334A;22602;Publicidad y propaganda;8,5;8.500,00;
4;334A;22606;Reuniones, conferencias y cursos;662,06;662.060,00;22.093,94
4;334A;22615;Gastos diversos en el exterior;5,5;5.500,00;
4;334A;22699;Otros;24;24.000,00;
4;334A;227;Trabajos realizados por otras empresas y profesionales;935,64;935.640,00;
4;334A;22706;Estudios y trabajos técnicos;934,64;934.640,00;
4;334A;22799;Otros;1;1.000,00;
4;334A;23;Indemnizaciones por razón del servicio;65;65.000,00;560,79
4;334A;230;Dietas;25;25.000,00;226,45
4;334A;231;Locomoción;40;40.000,00;
4;334A;44;A entidades del Sector Público Estatal;460;460.000,00;
4;334A;445;Fundación Instituto de Cultura Gitana;350;350.000,00;
4;334A;446;Fundación Residencia de Estudiantes;110;110.000,00;
4;334A;45;A Comunidades Autónomas;100;100.000,00;334,34
4;334A;455;Fundación Centro Cultural Internacional Oscar Niemeyer;100;100.000,00;
4;334A;46;A Entidades Locales;15.600,00;15.600.000,00;
4;334A;460–468;Ayuntamientos y consorcios culturales;15.600,00;15.600.000,00;86,78
4;334A;48;A familias e instituciones sin fines de lucro;4.550,42;4.550.420,00;86,78
4;334A;480;Instituciones culturales;1.665,00;1.665.000,00;
4;334A;48001–48016;Fundaciones, patronatos, institutos y entidades culturales;—;—;647,57
4;334A;489;Otras ayudas y subvenciones;2.885,42;2.885.420,00;
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;20.710,42;20.710.420,00;
4;334A;62;Inversión nueva asociada al funcionamiento operativo;13;13.000,00;436,5
4;334A;620;Inversión nueva asociada al funcionamiento operativo;13;13.000,00;306,5
4;334A;64;Gastos de inversiones de carácter inmaterial;30;30.000,00;
4;334A;640;Gastos en inversiones de carácter inmaterial;30;30.000,00;
