;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Organismo: 101 INSTITUTO DE ESTUDIOS FISCALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
;;;TOTAL C19.I03 Competencias digitales para el empleo. Servicios de carácter general;;2.941,00;
 ; ;;;;;
 ; ;;;;;
v;923N;;Formación del personal de Economía y Hacienda;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;11.753,80;
;;120;Retribuciones básicas;;746,39;
;;12000;  Sueldos del grupo A1 y grupo A;148,64;;
;;12001;  Sueldos del grupo A2 y grupo B;269,91;;
;;12002;  Sueldos del grupo C1 y grupo C;38,60;;
;;12003;  Sueldos del grupo C2 y grupo D;32,13;;
;;12005;  Trienios;125,17;;
;;12006;  Pagas extraordinarias;131,94;;
;;121;Retribuciones complementarias;;849,01;
;;12100;  Complemento de destino;344,45;;
;;12101;  Complemento específico;504,56;;
;;124;Retribuciones de funcionarios en prácticas;;10.158,40;
;;12400;  Sueldos del grupo A1 y grupo A;2.792,60;;
;;12401;  Sueldos del grupo A2 y grupo B;6.298,90;;
;;12406;  Pagas extraordinarias;1.066,90;;
v;;15;Incentivos al rendimiento;;292,40;
v;;150;Productividad;;292,40;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.900,33;
;;160;Cuotas sociales;;3.866,37;
v;;16000;  Seguridad Social;3.866,37;;
;;162;Gastos sociales del personal;;33,96;
v;;16200;  Formación y perfeccionamiento del personal;17,00;;
v;;16204;  Acción social;12,89;;
;;16205;  Seguros;4,07;;
;;;TOTAL GASTOS DE PERSONAL;;15.946,53;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;59,98;
v;;202;Arrendamientos de edificios y otras construcciones;;57,92;
;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;1,10;
;;206;Arrendamientos de equipos para procesos de información;;0,96;
;;21;Reparaciones, mantenimiento y conservación;;243,98;
;;210;Infraestructura y bienes naturales;;21,65;
;;212;Edificios y otras construcciones;;135,38;
;;213;Maquinaria, instalaciones y utillaje;;43,00;
;;215;Mobiliario y enseres;;28,60;
;;216;Equipos para procesos de la información;;15,35;
;;22;Material, suministros y otros;;1.327,07;
;;220;Material de oficina;;82,17;
;;22000;  Ordinario no inventariable;34,67;;
;;22001;  Prensa, revistas, libros y otras publicaciones;1,45;;
;;22002;  Material informático no inventariable;46,05;;
;;221;Suministros;;367,83;
;;22100;  Energía eléctrica;200,30;;
;;22101;  Agua;15,35;;
;;22102;  Gas;4,38;;
;;22103;  Combustible;127,10;;
;;22104;  Vestuario;2,00;;
;;22106;  Productos farmacéuticos y material sanitario;2,00;;
;;22111;  Suministros de repuestos de maquinaria, utillaje y elementos de transporte;2,00;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;8,96;;
;;22199;  Otros suministros;5,74;;
;;223;Transportes;;1,50;
;;225;Tributos;;23,46;
v;;22502;  Locales;23,46;;
;;226;Gastos diversos;;695,33;
;;22602;  Publicidad y propaganda;2,00;;
;;22606;  Reuniones, conferencias y cursos;564,41;;
;;22695;  Para gastos derivados del funcionamiento del Centro Institucional de la UNED;126,96;;
;;22699;  Otros;1,96;;
;;227;Trabajos realizados por otras empresas y profesionales;;156,78;
;;22706;  Estudios y trabajos técnicos;144,04;;
;;22799;  Otros;12,74;;
;;23;Indemnizaciones por razón del servicio;;6.480,01;
;;230;Dietas;;1.908,41;
;;231;Locomoción;;110,00;
;;233;Otras indemnizaciones;;4.461,60;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;8.111,04;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;6,75;
v;;359;Otros gastos financieros;;6,75;
;;;TOTAL GASTOS FINANCIEROS;;6,75;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;210,00;
v;;480;Becas;;210,00;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;210,00;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;17,53;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;17,53;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;792,47;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;792,47;
;;;TOTAL INVERSIONES REALES;;810,00;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;35,74;
v;;830;Préstamos a corto plazo;;35,74;
;;83008;  Familias e instituciones sin fines de lucro;35,74;;
;;;TOTAL ACTIVOS FINANCIEROS;;35,74;
 ; ;;;;;
;;;TOTAL Formación del personal de Economía y Hacienda;;25.120,06;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL INSTITUTO DE ESTUDIOS FISCALES;;34.573,08;
;;



