;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Organismo: 103 CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
;;22199;  Otros suministros;1,00;;
;;222;Comunicaciones;;16,28;
;;22200;  Servicios de telecomunicaciones;6,28;;
;;22201;  Postales y mensajería;10,00;;
;;223;Transportes;;20,00;
;;225;Tributos;;12,00;
v;;22502;  Locales;12,00;;
;;226;Gastos diversos;;234,00;
v;;22601;  Atenciones protocolarias y representativas;2,34;;
;;22602;  Publicidad y propaganda;8,66;;
;;22606;  Reuniones, conferencias y cursos;220,00;;
;;22699;  Otros;3,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;397,00;
;;22700;  Limpieza y aseo;2,00;;
;;22701;  Seguridad;65,00;;
;;22706;  Estudios y trabajos técnicos;320,00;;
;;22799;  Otros;10,00;;
;;23;Indemnizaciones por razón del servicio;;30,29;
;;230;Dietas;;14,00;
;;231;Locomoción;;16,29;
;;24;Gastos de publicaciones;;340,00;
;;240;Gastos de edición y distribución;;340,00;
;;25;Conciertos de asistencia sanitaria;;6,31;
;;259;Otros conciertos de asistencia sanitaria;;6,31;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.424,20;
 ; ;;;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;48;A familias e instituciones sin fines de lucro;;166,10;
v;;481;A familias e Instituciones sin fines de lucro.;;138,00;
v;;482;Premios concedidos por el CEPC;;23,00;
v;;483;A entidades culturales;;5,10;
v;;48301;  A la Unión de Editoriales Universitarias Españolas (UNE);3,10;;
v;;48302;  A la Red de Bibliotecas Universitarias Españolas (REBIUN);1,30;;
v;;48303;  A la Asociación Española de Ciencia Política y de la Administración (AECPA);0,40;;
v;;48304;  A la Sociedad Española de Documentación e Información Científica (SEDIC);0,30;;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;166,10;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;150,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;150,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;150,00;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;150,00;
;;;TOTAL INVERSIONES REALES;;300,00;
 ; ;;;;;
v;;8;ACTIVOS FINANCIEROS;;;
v;;83;Concesión de préstamos fuera del Sector Público;;10,03;
v;;830;Préstamos a corto plazo;;5,03;
;;83008;  Familias e instituciones sin fines de lucro;5,03;;
v;;831;Préstamos a largo plazo;;5,00;
;;83108;  Familias e instituciones sin fines de lucro;5,00;;
;;;TOTAL ACTIVOS FINANCIEROS;;10,03;
 ; ;;;;;
;;;TOTAL Investigación y estudios sociológicos y constitucionales;;4.518,64;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES;;4.518,64;
;;



