Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
29.102;16000;Seguridad Social;40;40.000,00
29.102;16200;Formación y perfeccionamiento del personal;2,73;2.730,00
29.102;16204;Acción social;1,56;1.560,00
29.102;22502;Locales;46;46.000,00
29.102;22601;Atenciones protocolarias y representativas;2;2.000,00
29.102;45;Universidad Carlos III – subtitulado y audiodescripción;333,36;333.360,00
29.102;48;A familias e instituciones sin fines de lucro;8.445,55;8.445.550,00
29.102;78;Fundación ONCE – accesibilidad universal;200;200.000,00
29.102;831;Préstamos a largo plazo fuera del sector público;6,51;6.510,00
29.102;45;Universidad Carlos III – Centro Español de Subtitulado y Audiodescripción;333,36;333.360,00
29.102;48;A familias e instituciones sin fines de lucro;8.445,55;8.445.550,00
29.102;480;Fundación Eguía-Careaga – Centro Español de Documentación sobre Discapacidad;268,85;268.850,00
29.102;482;Fundación CNSE – Centro de Normalización Lingüística de la Lengua de Signos;208,24;208.240,00
29.102;484;Comité Paralímpico Español – Plan ADOP;88,46;88.460,00
29.102;485;CERMI – Observatorio Estatal de la Discapacidad;80;80.000,00
29.102;486;Fundación ONCE – Programa de accesibilidad universal;300;300.000,00
29.102;487;Programa para mejora de condiciones educativas de personas con discapacidad;5.500,00;5.500.000,00
29.102;488;Plena Inclusión – Centro Español de Accesibilidad Cognitiva;1.500,00;1.500.000,00
29.102;489;Autismo España – Centro Español sobre Trastornos del Espectro Autista;500;500.000,00
;;Total Transferencias Corrientes – Real Patronato;8.778.910;8.779,00
