;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por artículos y secciones del presupuesto de gastos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Secc. 13;Secc. 14;Secc. 15;Secc. 16;Secc. 17;Secc. 18;Secc. 19;Secc. 20;Secc. 21;Secc. 23;Secc. 24;Secc. 26;Secc. 27;Secc. 28;Secc. 29;Secc. 30;Secc. 31;Secc. 33;;;Total;
67; Gastos militares de inversiones de carácter inmaterial;;2.865,00;;;;;;;;;;;;;;;;;;;2.865,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;22.050,98;;;;4,47;27.641,65;;18.410,00;;117.526,15;;;;93.052,16;;;;1.834,46;;;280.519,87;
7;TRANSFERENCIAS DE CAPITAL;500,00;;;2.000,00;;72.127,66;678,89;;1.593.307,29;356.529,88;7.631,00;;2.312,46;261.054,38;200,00;100,00;50,00;;;;2.296.491,56;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;500,00;;;;;;678,89;;12.643,11;26.257,41;;;;6.224,97;;;;;;;46.304,38;
75; A Comunidades Autónomas;;;;;;19.687,00;;;229,22;173.671,14;2.176,00;;;244.520,80;;;;;;;440.284,16;
76; A Entidades Locales;;;;2.000,00;;37.043,16;;;;90.600,00;4.955,00;;818,00;20,00;;100,00;;;;;135.536,16;
77; A empresas privadas;;;;;;80,00;;;1.570.584,03;65.826,33;500,00;;;;;;;;;;1.636.990,36;
78; A familias e instituciones sin fines de lucro;;;;;;15.317,50;;;9.850,93;75,00;;;1.494,46;9.682,61;200,00;;50,00;;;;36.670,50;
79; Al exterior;;;;;;;;;;100,00;;;;606,00;;;;;;;706,00;
8;ACTIVOS FINANCIEROS;484,44;578,20;173,00;608,31;38,32;642,51;1.103,19;215,76;135,49;1.675,11;575,72;25,00;267,62;400,63;36,51;23,71;29,95;230,30;;;7.243,77;
83; Concesión de préstamos fuera del Sector Público;484,44;552,18;173,00;608,31;38,32;642,51;1.103,19;117,79;135,49;1.675,11;575,72;25,00;267,62;372,63;36,51;23,71;29,95;230,30;;;7.091,78;
84; Constitución de depósitos y fianzas;;26,02;;;;;;97,97;;;;;;25,00;;;;;;;148,99;
86; Adquisición de acciones y participaciones de fuera del Sector Público;;;;;;;;;;;;;;3,00;;;;;;;3,00;
9;PASIVOS FINANCIEROS;60,00;2,00;;;;;;;;35.500,00;;;;;;;;;;;35.562,00;
91; Amortización de préstamos en euros;;;;;;;;;;35.500,00;;;;;;;;;;;35.500,00;
94; Devolución de depósitos y fianzas;60,00;2,00;;;;;;;;;;;;;;;;;;;62,00;
;TOTAL CONSOLIDADO;314.311,94;1.287.890,42;91.825,31;863.057,84;47.731,38;384.332,10;28.632.045,57;185.123,58;7.673.168,50;1.710.514,75;494.266,81;6.456,76;203.303,48;725.072,05;29.622,51;27.511,01;54.276,59;2.056.982,97;;;44.787.493,57;
4;TRANSFERENCIAS CORRIENTES;;1.364,16;21.453,66;136.154,92;15,00;;237.257,21;916,28;;4.398,10;;;393,46;;;;;432,02;;;402.384,81;
40; A la Administración del Estado;;1.364,16;21.453,66;136.154,92;;;144.770,47;916,28;;1.685,33;;;393,46;;;;;432,02;;;307.170,30;
41; A Organismos Autónomos;;;;;;;89.656,95;;;2.712,77;;;;;;;;;;;92.369,72;
42; A la Seguridad Social;;;;;;;132,50;;;;;;;;;;;;;;132,50;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;;;15,00;;2.697,29;;;;;;;;;;;;;;2.712,29;
7;TRANSFERENCIAS DE CAPITAL;;100,00;;;;;;;16.179,72;1.500,00;;;;277,31;;;;;;;18.057,03;
70; A la Administración del Estado;;100,00;;;;;;;15.209,12;1.500,00;;;;;;;;;;;16.809,12;
71; A Organismos Autónomos;;;;;;;;;970,60;;;;;19,36;;;;;;;989,96;
73; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;;;;;;;;;;;;;257,95;;;;;;;257,95;
9;PASIVOS FINANCIEROS;;250,00;;;27,60;;;;;;;;;450,00;;;;;;;727,60;
91; Amortización de préstamos en euros;;250,00;;;27,60;;;;;;;;;450,00;;;;;;;727,60;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;1.714,16;21.453,66;136.154,92;42,60;;237.257,21;916,28;16.179,72;5.898,10;;;393,46;727,31;;;;432,02;;;421.169,44;
;TOTAL;314.311,94;1.289.604,58;113.278,97;999.212,76;47.773,98;384.332,10;28.869.302,78;186.039,86;7.689.348,22;1.716.412,85;494.266,81;6.456,76;203.696,94;725.799,36;29.622,51;27.511,01;54.276,59;2.057.414,99;;;45.208.663,01;
;;



