ervicio;Programa;Económica;Explicación;Total (miles €);Total (€)
1;232M;216;Equipos para procesos de la información;20;20.000
1;232M;22;Material, suministros y otros;2.498,12;2.498.120
1;232M;220;Material de oficina;108,5;108.500
1;232M;22000;Ordinario no inventariable;50;50.000
1;232M;22001;Prensa, revistas, libros y otras publicaciones;28,5;28.500
1;232M;22002;Material informático no inventariable;30;30.000
1;232M;221;Suministros;262,62;262.620
1;232M;22100;Energía eléctrica;90,62;90.620
1;232M;22101;Agua;4;4.000
1;232M;22102;Gas;100;100.000
1;232M;22104;Vestuario;20;20.000
1;232M;22106;Productos farmacéuticos y material sanitario;3;3.000
1;232M;22111;Repuestos de maquinaria, utillaje y transporte;15;15.000
1;232M;22199;Otros suministros;30;30.000
1;232M;222;Comunicaciones;30;30.000
1;232M;22201;Postales y mensajería;30;30.000
1;232M;223;Transportes;85;85.000
1;232M;225;Tributos;225;225.000
1;232M;22502;Locales;225;225.000
1;232M;226;Gastos diversos;267;267.000
1;232M;22601;Atenciones protocolarias y representativas;75,5;75.500
1;232M;22602;Publicidad y propaganda;80;80.000
1;232M;22603;Jurídicos, contenciosos;1,5;1.500
1;232M;22606;Reuniones, conferencias y cursos;80;80.000
1;232M;22699;Otros;30;30.000
1;232M;227;Trabajos realizados por otras empresas y profesionales;1.520,00;1.520.000
1;232M;22700;Limpieza y aseo;20;20.000
1;232M;22706;Estudios y trabajos técnicos;1.405,00;1.405.000
1;232M;22799;Otros;95;95.000
1;232M;23;Indemnizaciones por razón del servicio;375;375.000
1;232M;230;Dietas;150;150.000
1;232M;231;Locomoción;150;150.000
1;232M;233;Otras indemnizaciones;75;75.000
1;232M;24;Gastos de publicaciones;150;150.000
1;232M;240;Edición y distribución;150;150.000
1;232M;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.470,37;3.470.370
1;232M;62;Inversión nueva asociada al funcionamiento operativo;117;117.000
1;232M;620;Inversión nueva operativa;117;117.000
1;232M;63;Inversión de reposición operativa;303,1;303.100
1;232M;630;Reposición operativa;303,1;303.100
1;232M;64;Gastos de inversiones de carácter inmaterial;200,1;200.100
1;232M;640;Inversiones inmateriales;200,1;200.100,00
1;232M;—;TOTAL INVERSIONES REALES;620,2;620.200
1;232M;83;Concesión de préstamos fuera del Sector Público;25;25.000
1;232M;830;Préstamos a corto plazo;5;5.000
1;232M;83008;A familias e instituciones sin fines de lucro;5;5.000
1;232M;831;Préstamos a largo plazo;20;20.000
1;232M;83108;A familias e instituciones sin fines de lucro;20;20.000
1;232M;—;TOTAL ACTIVOS FINANCIEROS;25;25.000
1;232M;—;TOTAL Dirección y Servicios Generales de Igualdad;13.300,72;13.300.720
1;232M;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;13.300,72;13.300.720
2;232B;10;Altos cargos;80,3;80.300
2;232B;100;Retribuciones básicas y otras remuneraciones;80,3;80.300
2;232B;10000;Retribuciones básicas;19,91;19.910
2;232B;10001;Retribuciones complementarias;60,39;60.390
2;232B;11;Personal eventual;253,23;253.230
2;232B;11000;Retribuciones básicas;86,42;86.420
2;232B;11001;Retribuciones complementarias;166,81;166.810
2;232B;12;Funcionarios;741,14;741.140
2;232B;120;Retribuciones básicas;349,95;349.950
2;232B;12000–12006;Sueldos, trienios, pagas extraordinarias;(desglosado arriba);—
2;232B;121;Retribuciones complementarias;391,19;391.190
2;232B;12100;Complemento de destino;167,4;167.400
2;232B;12101;Complemento específico;223,79;223.790
2;232B;16;Cuotas sociales;201,26;201.260
2;232B;16000;Seguridad Social;201,26;201.260
—;—;—;TOTAL GASTOS DE PERSONAL;1.275,93;1.275.930
2;232B;22;Material, suministros y otros;4.730,00;4.730.000
2;232B;226;Gastos diversos;130;130.000
2;232B;22602;Publicidad y propaganda;5;5.000
2;232B;22606;Reuniones, conferencias y cursos;120;120.000
2;232B;22699;Otros;5;5.000
2;232B;227;Trabajos realizados por otras empresas y profesionales;4.600,00;4.600.000
2;232B;22706;Estudios y trabajos técnicos;4.600,00;4.600.000
2;232B;23;Indemnizaciones por razón del servicio;74,54;74.540
2;232B;230;Dietas;35;35.000
2;232B;231;Locomoción;39,54;39.540
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.804,54;4.804.540
2;232B;45;A Comunidades Autónomas;190.000,00;190.000.000
2;232B;451;Para el desarrollo del Plan Corresponsables;190.000,00;190.000.000
2;232B;48;A familias e instituciones sin fines de lucro;1.000,00;1.000.000
2;232B;482;Promoción de la conciliación y la corresponsabilidad;1.000,00;1.000.000
2;232B;48200;A CCOO;370;370.000
2;232B;48201;A UGT;300;300.000
2;232B;48202;A MenEngage Iberia;330;330.000
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;191.000,00;191.000.000,00
2;232B;64;Gastos de inversiones de carácter inmaterial;7.000,00;7.000.000
2;232B;640;Gastos en inversiones de carácter inmaterial;7.000,00;7.000.000
—;—;—;TOTAL INVERSIONES REALES;7.000,00;7.000.000
—;—;—;TOTAL Igualdad de oportunidades entre mujeres y hombres;204.080,47;204.080.470
2;232C;45;A Comunidades Autónomas;130.202,02;130.202.020
2;232C;450;Competencias autonómicas — Pacto de Estado;90.000,00;90.000.000
2;232C;452;Atención a mujeres víctimas de todas las violencias;40.202,02;40.202.020
2;232C;45200;Atención a mujeres víctimas de todas las violencias;40.202,02;40.202.020
2;232C;46;A Entidades Locales;40.000,00;40.000.000
2;232C;460;Competencias locales — Pacto de Estado;40.000,00;40.000.000
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;170.202,02;170.202.020
2;232C;75;A Comunidades Autónomas;10.000,00;10.000.000
2;232C;750;Competencias autonómicas — Pacto de Estado (capital);10.000,00;10.000.000
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;10.000,00;10.000.000
—;—;—;TOTAL Prevención integral de la violencia de género;180.202,02;180.202.020
2;232D;10;Altos cargos;122,08;122.080
2;232D;100;Retribuciones básicas y otras remuneraciones;122,08;122.080
2;232D;10000;Retribuciones básicas;37,82;37.820
2;232D;10001;Retribuciones complementarias;84,26;84.260
2;232D;12;Funcionarios;1.136,04;1.136.040
2;232D;120;Retribuciones básicas;524,13;524.130
2;232D;12000–12006;Sueldos, trienios, pagas extraordinarias;(desglosado arriba);—
2;232D;121;Retribuciones complementarias;611,91;611.910
2;232D;12100;Complemento de destino;254,18;254.180
2;232D;12101;Complemento específico;357,73;357.730
2;232D;16;Cuotas sociales;257,55;257.550,00
2;232D;16000;Seguridad Social;257,55;257.550
—;—;—;TOTAL GASTOS DE PERSONAL;1.515,67;1.515.670
2;232D;22;Material, suministros y otros;2.102,50;2.102.500
2;232D;226;Gastos diversos;530,5;530.500
2;232D;22602;Publicidad y propaganda;130;130.000
2;232D;22606;Reuniones, conferencias y cursos;310,5;310.500
2;232D;22609;Actividades culturales y deportivas;90;90.000
2;232D;227;Trabajos realizados por otras empresas y profesionales;1.572,00;1.572.000
2;232D;22706;Estudios y trabajos técnicos;1.572,00;1.572.000
2;232D;23;Indemnizaciones por razón del servicio;118;118.000
2;232D;230;Dietas;53;53.000
2;232D;231;Locomoción;58;58.000
2;232D;233;Otras indemnizaciones;7;7.000
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.220,50;2.220.500
2;232D;48;A familias e instituciones sin fines de lucro;677;677.000
2;232D;480;Formación y sensibilización en igualdad y diversidad;62;62.000
2;232D;483;Transferencias en materia de igualdad LGTBI;615;615.000
2;232D;48300–48307;Entidades beneficiarias (CEPAIM, ASNUCI, Cruz Roja, etc.);(desglosado arriba);—
2;232D;49;Al exterior;3;3.000
2;232D;492;Cuotas a Equinet;3;3.000
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;680;680.000
2;232D;64;Gastos de inversiones de carácter inmaterial;2.510,00;2.510.000
2;232D;640;Gastos en inversiones de carácter inmaterial;2.510,00;2.510.000
—;—;—;TOTAL INVERSIONES REALES;2.510,00;2.510.000
—;—;—;TOTAL Igualdad de trato y diversidad;6.926,17;6.926.170
2;000X;41;A Organismos Autónomos;18.542,45;18.542.450
2;000X;416;Al Instituto de las Mujeres;18.542,45;18.542.450
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;18.542,45;18.542.450
2;000X;71;A Organismos Autónomos;365;365.000
2;000X;716;Al Instituto de las Mujeres;365;365.000
—;—;—;TOTAL TRANSFERENCIAS DE CAPITAL;365;365.000
—;—;—;TOTAL Transferencias y libramientos internos;18.907,45;18.907.450
3;232C;10;Altos cargos;61,04;61.040
3;232C;100;Retribuciones básicas y otras remuneraciones;61,04;61.040
3;232C;10000;Retribuciones básicas;18,91;18.910
3;232C;10001;Retribuciones complementarias;42,13;42.130
3;232C;12;Funcionarios;2.138,89;2.138.890
3;232C;120;Retribuciones básicas;994,58;994.580
3;232C;12000–12006;Sueldos, trienios, pagas extraordinarias;(desglosado arriba);—
3;232C;121;Retribuciones complementarias;1.144,31;1.144.310,00
3;232C;12100;Complemento de destino;490,3;490.300
3;232C;12101;Complemento específico;653,9;653.900
3;232C;12103;Otros complementos;0,11;110
3;232C;16;Cuotas sociales;356,13;356.130
3;232C;16000;Seguridad Social;356,13;356.130
—;—;—;TOTAL GASTOS DE PERSONAL;2.556,06;2.556.060
3;232C;22;Material, suministros y otros;6.602,27;6.602.270
3;232C;226;Gastos diversos;2.500,00;2.500.000
3;232C;22602;Publicidad y propaganda;150;150.000
3;232C;22606;Reuniones, conferencias y cursos;250;250.000
3;232C;22610;Actividades realizadas mediante convenio;2.100,00;2.100.000
3;232C;227;Trabajos realizados por otras empresas y profesionales;4.102,27;4.102.270
3;232C;22706;Estudios y trabajos técnicos;4.102,27;4.102.270
3;232C;23;Indemnizaciones por razón del servicio;115;115.000
3;232C;230;Dietas;20;20.000
3;232C;231;Locomoción;35;35.000
3;232C;233;Otras indemnizaciones;60;60.000
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.717,27;6.717.270
3;232C;45;A Comunidades Autónomas;19.800,00;19.800.000
3;232C;450;Asistencia social a mujeres víctimas;8.500,00;8.500.000
3;232C;451;Coordinación y planes personalizados;1.000,00;1.000.000
3;232C;455;Apoyo a víctimas de agresiones y abusos sexuales;9.500,00;9.500.000
3;232C;456;Prevención de abusos sexuales en menores tuteladas;800;800.000
3;232C;48;A familias e instituciones sin fines de lucro;33.768,00;33.768.000
3;232C;480;Ayudas sociales (art. 27 LO 1/2004);8.000,00;8.000.000
3;232C;481;Becas Observatorio Estatal;100;100.000
3;232C;482;Convenio con FEMP;80;80.000
3;232C;483;Teleasistencia móvil a víctimas;8.200,00;8.200.000
3;232C;484;Atención a víctimas de trata;7.000,00;7.000.000
3;232C;485;Premios a tesis doctorales;8;8.000
3;232C;486;Subvenciones nominativas contra violencias machistas;1.380,00;1.380.000
3;232C;48600–48606;Entidades beneficiarias (ANAR, THEMIS, EMET, etc.);(desglosado arriba);—
3;232C;487;Ayudas sociales (art. 41 LO 10/2022);1.000,00;1.000.000
3;232C;488;Subvenciones en concurrencia competitiva;7.000,00;7.000.000
3;232C;489;Otros programas de lucha contra la violencia de género;1.000,00;1.000.000
3;232C;48900;Otros programas de lucha contra la violencia de género;1.000,00;1.000.000
3;232C;49;Al exterior;50;50.000
3;232C;490;Iniciativa Iberoamericana (SEGIB);50;50.000
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;53.618,00;53.618.000
3;232C;63;Inversión de reposición operativa;7.573,54;7.573.540
3;232C;630;Reposición operativa;7.573,54;7.573.540
3;232C;64;Gastos de inversiones de carácter inmaterial;9.050,00;9.050.000
3;232C;640;Inversiones inmateriales;9.050,00;9.050.000
—;—;—;TOTAL INVERSIONES REALES;16.623,54;16.623.540
—;—;—;TOTAL Actuaciones para la prevención integral de la violencia de género;79.514,87;79.514.870
—;—;—;TOTAL DELEGACIÓN DEL GOBIERNO CONTRA LA VIOLENCIA DE GÉNERO;79.514,87;79.514.870
;;;TOTAL MINISTERIO DE IGUALDAD;502.931,70;50.293.170,00
