Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
—;—;—;TOTAL GASTOS DE PERSONAL;2.616,93;2.616.930,00
7;463B;22–23;Gastos corrientes en bienes y servicios;527,47;527.470,00
7;463B;44–49;Transferencias corrientes (Red.es, consorcios, CCAA, exterior);196.381,09;196.381.090,00
7;463B;;Fomento y coordinación de la investigación científica y técnica;199.525,49;199.525.490,00
7;463B;10;Altos cargos;61,04;61.040,00
7;463B;12;Funcionarios;2.020,27;2.020.270,00
7;463B;13;Laborales;91,33;91.330,00
7;463B;16;Cuotas, prestaciones y gastos sociales;444,29;444.290,00
—;—;—;TOTAL GASTOS DE PERSONAL;2.616,93;2.616.930,00
7;463B;22–23;Gastos corrientes en bienes y servicios;527,47;527.470,00
7;463B;62–64;Inversiones reales;543,14;543.140,00
7;463B;74–79;Transferencias de capital (consorcios, CCAA, entidades locales, exterior);53.715,75;53.715.750,00
7;463B;82–83;Activos financieros (préstamos sector público y privado);1.857.464,56;1.857.464.560,00
—;—;—;TOTAL Programa 463B;2.111.248,94;2.111.248.940,00
7;000X;43;Transferencias corrientes – AEMET;44;44.000,00
7;000X;73;Transferencias de capital – AEMET;15;15.000,00
7;000X;82;Activos financieros – préstamos sector público;4.163,97;4.163.970,00
—;—;—;TOTAL Programa 000X;4.222,97;4.222.970,00
7;;;Dirección General de Planificación de la Investigación;2.115.471,91;2.115.471.910,00
8;467C;10;Altos cargos;71,16;71.160,00
8;467C;12;Funcionarios;1.891,98;1.891.980,00
8;467C;13;Laborales;219,4;219.400,00
8;467C;16;Cuotas, prestaciones y gastos sociales;259,92;259.920,00
—;—;—;TOTAL GASTOS DE PERSONAL;2.442,46;2.442.460,00
8;467C;22–23;Gastos corrientes en bienes y servicios;2.538,68;2.538.680,00
8;467C;35;Intereses de demora;5;5.000,00
8;467C;44–49;Transferencias corrientes (FECYT, CDTI, Red Innpulso, EUREKA);17.422,64;17.422.640,00
8;467C;64;Inversiones reales – inmateriales;545,75;545.750,00
8;467C;74–78;Transferencias de capital (CDTI, CCAA, empresas, universidades);526.231,05;526.231.050,00
8;467C;82;Préstamos al sector público;253.000,00;253.000.000,00
8;467C;87;Aportaciones patrimoniales – CDTI;685.270,00;685.270.000,00
8;467C;;Investigación y desarrollo tecnológico-industrial;1487455,58;1.487.455.580,00
9;322C;10;Altos cargos;71,16;71.160,00
9;322C;12;Funcionarios;6.457,54;6.457.540,00
9;322C;13;Laborales;498,91;498.910,00
9;322C;16;Cuotas, prestaciones y gastos sociales;663,43;663.430,00
—;—;—;TOTAL GASTOS DE PERSONAL;7.691,04;7.691.040,00
9;322C;21–23;Gastos corrientes en bienes y servicios;4.814,21;4.814.210,00
9;322C;35;Gastos financieros – intereses de demora;15;15.000,00
9;322C;44–49;Transferencias corrientes (UNED, CCAA, CRUE, FOM, exterior);86.939,78;86.939.780,00
9;322C;62–64;Inversiones reales;145;145.000,00
9;322C;74–78;Transferencias de capital (UNED, CCAA, fundaciones);6.110,26;6.110.260,00
9;322C;;Enseñanzas universitarias;105.715,29;105.715.290,00
9;323M;45;A Comunidades Autónomas – Campus Inclusivos;80;80.000,00
9;323M;48;A familias e instituciones sin fines de lucro;949,1;949.100,00
—;—;—;TOTAL TRANSFERENCIAS CORRIENTES;1.029,10;1.029.100,00
9;463A;22–23;Gastos corrientes en bienes y servicios;846,6;846.600,00
9;463A;35;Intereses de demora;15;15.000,00
9;463A;45–48;Transferencias corrientes (prácticas, certámenes);3.075,00;3.075.000,00
9;463A;74–78;Transferencias de capital (Beatriz Galindo, Canarias, Fullbright);127.522,34;127.522.340,00
—;—;—;TOTAL Programa 463A;131.458,94;131.458.940,00
9;000X;41;Transferencias corrientes – UIMP, SEPIE, ANECA;57.134,96;57.134.960,00
9;000X;71;Transferencias de capital – UIMP, SEPIE, ANECA;1.453,03;1.453.030,00
—;—;—;TOTAL Programa 000X;58.587,99;58.587.990,00
9;;;Secretaría General de Universidades;296.791,32;296.791.320,00
50;46OE;74;PERTE Chip – Transferencias de capital;100.000,00;100.000.000,00
50;46QA;75;Plan Complementario Biotecnología – CCAA;32.600,00;32.600.000,00
50;46QC;74;Alianzas para la Innovación – CDTI;100.000,00;100.000.000,00
50;46QE;74;Ayudas NEOTEC y Ecosistemas Cervera – CDTI;41.680,00;41.680.000,00
50;46QF;74;IPCEI Salud – CDTI;200.000,00;200.000.000,00
50;46QF;87;PERTE Salud – CDTI;30.000,00;30.000.000,00
50;46QI;74;Plan Tecnológico Aeronáutico – CDTI;40.000,00;40.000.000,00
50;46QI;87;Innovación aeroespacial – CDTI;200.000,00;200.000.000,00
50;46UD;75;Recualificación y movilidad PDI – CCAA;120.520,00;120.520.000,00
50;46UE;74;Modernización UNED;8.530,00;8.530.000,00
50;000X;71;CIEMAT / ISCIII – Transferencias de capital;185.608,02;185.608.020,00
50;000X;73;CSIC / AEI – Transferencias de capital;680.828,09;680.828.090,00
50;;;Mecanismo de Recuperación y Resiliencia;1.739.766,11;1.739.766.110,00
28;;;Ministerio de Ciencia, Innovación y Universidades;7.448.274,87;7.448.274.870,00
